Year	Region	Area	Commodity	Product	Volume
2004	Alaska	Beaufort Sea	Oil	Oil (bbl)	4474000.27
2004	Gulf	Central Gulf of Mexico	Gas	Fuel Gas (mcf)	12846440.85
2004	Gulf	Central Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	1411169145.70
2004	Gulf	Central Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	1374646284.63
2004	Gulf	Central Gulf of Mexico	NGL	Gas Plant Products (gal)	2106344748.91
2004	Gulf	Central Gulf of Mexico	Oil	Condensate (bbl)	40775947.97
2004	Gulf	Central Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	1097246.58
2004	Gulf	Central Gulf of Mexico	Oil	Inlet Scrubber (bbl)	32135.13
2004	Gulf	Central Gulf of Mexico	Oil	Oil (bbl)	413668296.09
2004	Gulf	Central Gulf of Mexico	Gas	Flash Gas (mcf)	2718444.89
2004	Gulf	Central Gulf of Mexico	Gas	Gas Lost - Flared or Vented (mcf)	238150.40
2004	Gulf	Central Gulf of Mexico	Other	Salt (ton)	33299.00
2004	Gulf	Central Gulf of Mexico	Oil	Other Liquid Hydrocarbons (bbl)	16766.46
2004	Gulf	Central Gulf of Mexico	Other	Sulfur (lton)	8761.13
2004	Gulf	Central Gulf of Mexico	Geothermal	Geothermal - Commercially Demineralized H2O (cgal)	16451.00
2004	Gulf	Central Gulf of Mexico	Geothermal	Geothermal - Direct Utilization, Other (cgal)	16451.00
2004	Gulf	Eastern Gulf of Mexico	Gas	Flash Gas (mcf)	7962.00
2004	Gulf	Eastern Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	11826963.66
2004	Gulf	Eastern Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	1001502.62
2004	Gulf	Eastern Gulf of Mexico	NGL	Gas Plant Products (gal)	1115574.17
2004	Gulf	Eastern Gulf of Mexico	Oil	Condensate (bbl)	19949.17
2004	Gulf	Eastern Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	356.93
2004	Gulf	Western Gulf of Mexico	Gas	Processed (Residue) Gas (mcf)	426509042.96
2004	Gulf	Western Gulf of Mexico	Gas	Unprocessed (Wet) Gas (mcf)	686244607.78
2004	Gulf	Western Gulf of Mexico	NGL	Gas Plant Products (gal)	501730825.10
2004	Gulf	Western Gulf of Mexico	Oil	Oil (bbl)	75976283.05
2004	Gulf	Western Gulf of Mexico	Gas	Flash Gas (mcf)	934815.65
2004	Gulf	Western Gulf of Mexico	Oil	Condensate (bbl)	9063080.46
2004	Gulf	Western Gulf of Mexico	Oil	Drip or Scrubber Condensate (bbl)	148195.50
2004	Gulf	Western Gulf of Mexico	Oil	Inlet Scrubber (bbl)	83.66
2004	Gulf	Western Gulf of Mexico	Gas	Fuel Gas (mcf)	17712.00
2004	Gulf		Gas	Unprocessed (Wet) Gas (mcf)	-0.01
