Year	State	Resource	Revenue
2004	AL	oilgas	1564832.28
2004	AL	minerals	12267.93
2004	AL	coal	8165.29
2005	AL	oilgas	1724344.65
2005	AL	minerals	12854.36
2005	AL	coal	822574.71
2006	AL	oilgas	1662181.33
2006	AL	minerals	21392.20
2006	AL	coal	70724.33
2007	AL	oilgas	2340066.22
2007	AL	minerals	13385.34
2007	AL	coal	84220.75
2008	AL	oilgas	1818642.26
2008	AL	minerals	12382.80
2008	AL	coal	1501926.62
2009	AL	oilgas	815654.86
2009	AL	minerals	3000.54
2009	AL	coal	4351314.70
2010	AL	oilgas	908978.17
2010	AL	minerals	1571.44
2010	AL	coal	10403463.27
2011	AL	oilgas	1283265.58
2011	AL	minerals	4488.73
2011	AL	coal	9735675.57
2012	AL	oilgas	1516030.12
2012	AL	minerals	3997.52
2012	AL	coal	6567765.50
2013	AL	oilgas	646088.37
2013	AL	minerals	2064.68
2013	AL	coal	3690556.59
