Year	State	Resource	Revenue
2004	AZ	oilgas	100248.50
2004	AZ	minerals	158.85
2005	AZ	oilgas	170081.00
2005	AZ	minerals	257.65
2006	AZ	oilgas	61945.50
2006	AZ	renewables	4168.00
2006	AZ	minerals	88.47
2007	AZ	oilgas	529234.00
2007	AZ	renewables	2084.00
2007	AZ	minerals	839.88
2008	AZ	oilgas	527492.00
2008	AZ	renewables	2084.00
2008	AZ	minerals	327.67
2009	AZ	oilgas	85552.50
2009	AZ	renewables	2084.00
2009	AZ	minerals	1914.66
2010	AZ	oilgas	36056.00
2010	AZ	renewables	2084.00
2010	AZ	minerals	4849.53
2011	AZ	oilgas	20804.00
2011	AZ	renewables	2084.00
2011	AZ	minerals	7341.28
2012	AZ	oilgas	16520.00
2012	AZ	renewables	2084.00
2012	AZ	minerals	-2038.31
2013	AZ	oilgas	59603.00
2013	AZ	minerals	4224.65
