Year	State	County	FIPS	Resource	Revenue
2004	CA	Contra Costa	06013	oilgas	2162.49
2004	CA	Fresno	06019	oilgas	474892.14
2004	CA	Glenn	06021	oilgas	4094.69
2004	CA	Kern	06029	oilgas	21230580.10
2004	CA	Kings	06031	oilgas	187384.95
2004	CA	Los Angeles	06037	oilgas	1893315.42
2004	CA	Merced	06047	oilgas	1444.50
2004	CA	Monterey	06053	oilgas	20916.10
2004	CA	San Benito	06069	oilgas	32376.19
2004	CA	San Joaquin	06077	oilgas	2815.80
2004	CA	San Luis Ob.	06079	oilgas	93781.34
2004	CA	Santa Barbar	06083	oilgas	488993.93
2004	CA	Solano	06095	oilgas	2545355.49
2004	CA	Stanislaus	06099	oilgas	158.00
2004	CA	Sutter	06101	oilgas	80.00
2004	CA	Tulare	06107	oilgas	484.50
2004	CA	Ventura	06111	oilgas	1080794.46
2004	CA	Yolo	06113	oilgas	966.00
2004	CA		06	renewables	17582795.50
2004	CA		06	minerals	1038123.76
2004	CA		06	other	2459083.07
2005	CA	Contra Costa	06013	oilgas	13574.08
2005	CA	Fresno	06019	oilgas	599514.75
2005	CA	Glenn	06021	oilgas	5880.92
2005	CA	Kern	06029	oilgas	29203771.66
2005	CA	Kings	06031	oilgas	310137.82
2005	CA	Los Angeles	06037	oilgas	2038753.33
2005	CA	Merced	06047	oilgas	1444.50
2005	CA	Monterey	06053	oilgas	22427.31
2005	CA	San Benito	06069	oilgas	26867.95
2005	CA	San Joaquin	06077	oilgas	3534.11
2005	CA	San Luis Ob.	06079	oilgas	153118.87
2005	CA	Santa Barbar	06083	oilgas	471708.85
2005	CA	Solano	06095	oilgas	2550431.59
2005	CA	Sutter	06101	oilgas	80.00
2005	CA	Ventura	06111	oilgas	1494896.10
2005	CA	Yolo	06113	oilgas	1917.00
2005	CA		06	renewables	7497025.82
2005	CA		06	minerals	282435.44
2005	CA		06	other	3275775.47
2006	CA	Contra Costa	06013	oilgas	11836.73
2006	CA	Fresno	06019	oilgas	632312.56
2006	CA	Glenn	06021	oilgas	5152.59
2006	CA	Kern	06029	oilgas	91184567.39
2006	CA	Kings	06031	oilgas	413159.17
2006	CA	Los Angeles	06037	oilgas	3415729.01
2006	CA	Merced	06047	oilgas	4884.50
2006	CA	Monterey	06053	oilgas	37546.48
2006	CA	San Benito	06069	oilgas	240186.68
2006	CA	San Joaquin	06077	oilgas	3950.33
2006	CA	San Luis Ob.	06079	oilgas	193558.49
2006	CA	Santa Barbar	06083	oilgas	653622.31
2006	CA	Solano	06095	oilgas	2120903.02
2006	CA	Sutter	06101	oilgas	80.00
2006	CA	Ventura	06111	oilgas	2707805.06
2006	CA	Yolo	06113	oilgas	966.00
2006	CA		06	renewables	11370284.97
2006	CA		06	minerals	331493.37
2006	CA		06	other	4561399.21
2007	CA	Colusa	06011	oilgas	2383.50
2007	CA	Contra Costa	06013	oilgas	8470.47
2007	CA	Fresno	06019	oilgas	568757.97
2007	CA	Glenn	06021	oilgas	23432.60
2007	CA	Kern	06029	oilgas	101165584.72
2007	CA	Kings	06031	oilgas	374536.97
2007	CA	Los Angeles	06037	oilgas	3431313.00
2007	CA	Merced	06047	oilgas	1684.50
2007	CA	Monterey	06053	oilgas	34168.79
2007	CA	San Benito	06069	oilgas	110516.58
2007	CA	San Joaquin	06077	oilgas	2912.37
2007	CA	San Luis Ob.	06079	oilgas	164042.49
2007	CA	Santa Barbar	06083	oilgas	742119.26
2007	CA	Solano	06095	oilgas	1919173.54
2007	CA	Ventura	06111	oilgas	2872331.07
2007	CA	Yolo	06113	oilgas	11518.50
2007	CA		06	renewables	17193085.75
2007	CA		06	minerals	876404.81
2007	CA		06	other	940805.89
2008	CA	Colusa	06011	oilgas	1021.50
2008	CA	Contra Costa	06013	oilgas	13248.11
2008	CA	Fresno	06019	oilgas	597830.87
2008	CA	Glenn	06021	oilgas	11747.86
2008	CA	Kern	06029	oilgas	157172885.83
2008	CA	Kings	06031	oilgas	293608.46
2008	CA	Los Angeles	06037	oilgas	5020922.26
2008	CA	Merced	06047	oilgas	2166.00
2008	CA	Monterey	06053	oilgas	133006.03
2008	CA	Sacramento	06067	oilgas	92.67
