Year	State	County	FIPS	Resource	Revenue
2004	FL	Okaloosa	12091	oilgas	8080.50
2004	FL	Santa Rosa	12113	oilgas	1935.55
2004	FL		12	minerals	1364.00
2004	FL		12	other	-0.02
2005	FL	Okaloosa	12091	oilgas	5053.50
2005	FL		12	minerals	122.00
2005	FL		12	other	837228.40
2006	FL	Okaloosa	12091	oilgas	12116.50
2006	FL		12	other	1398.10
2007	FL	Okaloosa	12091	oilgas	9089.50
2007	FL		12	minerals	884.00
2008	FL	Okaloosa	12091	oilgas	10774.00
2008	FL		12	minerals	-82.00
2008	FL		12	other	1570.27
2009	FL	Okaloosa	12091	oilgas	-8397.00
2009	FL		12	minerals	9363.00
2010	FL	Okaloosa	12091	oilgas	3200.00
2010	FL		12	minerals	1768.00
2010	FL		12	other	90567.06
2011	FL	Okaloosa	12091	oilgas	3200.00
2011	FL		12	minerals	1768.00
2011	FL		12	other	521357.53
2012	FL	Okaloosa	12091	oilgas	3200.00
2012	FL		12	minerals	1366.00
2012	FL		12	other	2169985.21
2013	FL		12	minerals	989.00
2013	FL		12	other	285731.37
