Year	State	Resource	Revenue
2004	ID	oilgas	7605.50
2004	ID	minerals	680249.50
2004	ID	renewables	2467.00
2005	ID	minerals	89541.81
2005	ID	oilgas	1730.50
2005	ID	renewables	2467.00
2006	ID	oilgas	2712.50
2006	ID	minerals	123816.85
2007	ID	oilgas	115238.00
2007	ID	renewables	5727012.00
2007	ID	minerals	158718.40
2008	ID	oilgas	80769.25
2008	ID	minerals	129743.30
2008	ID	renewables	30874.70
2009	ID	oilgas	38609.00
2009	ID	minerals	118843.88
2009	ID	renewables	108271.00
2010	ID	oilgas	10414.50
2010	ID	minerals	135720.00
2010	ID	renewables	84800.00
2011	ID	oilgas	18228.00
2011	ID	minerals	870917.50
2011	ID	renewables	206277.00
2012	ID	minerals	913174.04
2012	ID	oilgas	14718.00
2012	ID	renewables	168288.00
2013	ID	minerals	113968.37
2013	ID	renewables	160841.00
2013	ID	oilgas	8274.00
2004	ID	other	3451909.95
2005	ID	other	2986698.10
2006	ID	other	2064495.78
2007	ID	other	2152071.29
2008	ID	other	2485359.85
2009	ID	other	3566737.10
2010	ID	other	9053379.95
2011	ID	other	8534799.04
2012	ID	other	9431323.92
2013	ID	other	9817745.73
