Year	State	County	FIPS	Resource	Revenue
2004	KY	Clay	21051	oilgas	36079.05
2004	KY	Edmonson	21061	oilgas	2439.73
2004	KY	Floyd	21071	oilgas	3856.22
2004	KY	Grayson	21085	oilgas	17433.27
2004	KY	Harlan	21095	coal	4820.33
2004	KY	Henderson	21101	oilgas	2987.98
2004	KY	Johnson	21115	oilgas	195.82
2004	KY	Lawrence	21127	oilgas	1676.85
2004	KY	Leslie	21131	coal	5175.67
2004	KY	Leslie	21131	oilgas	22633.70
2004	KY	Mccreary	21147	oilgas	4069.65
2004	KY	Meade	21163	oilgas	20246.24
2004	KY	Morgan	21175	oilgas	467.18
2004	KY	Owsley	21189	oilgas	46.70
2004	KY	Pike	21195	oilgas	6326.98
2004	KY	Whitley	21235	oilgas	18127.49
2005	KY	Clay	21051	oilgas	55290.76
2005	KY	Edmonson	21061	oilgas	1045.60
2005	KY	Floyd	21071	oilgas	11965.13
2005	KY	Grayson	21085	oilgas	7471.40
2005	KY	Harlan	21095	coal	6427.10
2005	KY	Henderson	21101	oilgas	4148.34
2005	KY	Johnson	21115	oilgas	195.82
2005	KY	Lawrence	21127	oilgas	3608.77
2005	KY	Leslie	21131	coal	10061.90
2005	KY	Leslie	21131	oilgas	49858.76
2005	KY	Letcher	21133	oilgas	1267.50
2005	KY	Mccreary	21147	oilgas	3106.84
2005	KY	Meade	21163	oilgas	3459.74
2005	KY	Morgan	21175	oilgas	467.18
2005	KY	Owsley	21189	oilgas	1352.91
2005	KY	Pike	21195	oilgas	42315.40
2005	KY	Whitley	21235	oilgas	45693.21
2006	KY	Bell	21013	coal	22380.00
2006	KY	Clay	21051	coal	10395.00
2006	KY	Clay	21051	oilgas	104300.23
2006	KY	Floyd	21071	oilgas	12494.04
2006	KY	Grayson	21085	oilgas	3111.00
2006	KY	Harlan	21095	coal	8033.88
2006	KY	Henderson	21101	oilgas	4606.36
2006	KY	Johnson	21115	oilgas	214.42
2006	KY	Lawrence	21127	oilgas	2173.52
2006	KY	Leslie	21131	coal	1941683.14
2006	KY	Leslie	21131	oilgas	38673.65
2006	KY	Letcher	21133	oilgas	3032.50
2006	KY	Mccreary	21147	oilgas	3098.93
2006	KY	Meade	21163	oilgas	19099.93
2006	KY	Morgan	21175	oilgas	511.58
2006	KY	Owsley	21189	oilgas	1214.97
2006	KY	Pike	21195	oilgas	22222.76
2006	KY	Whitley	21235	oilgas	52550.37
2007	KY	Clay	21051	oilgas	68496.47
2007	KY	Floyd	21071	oilgas	11877.00
2007	KY	Harlan	21095	coal	6427.10
2007	KY	Henderson	21101	oilgas	149256.83
2007	KY	Johnson	21115	oilgas	379.23
2007	KY	Lawrence	21127	oilgas	2305.84
2007	KY	Leslie	21131	coal	2624583.82
2007	KY	Leslie	21131	oilgas	32537.82
2007	KY	Letcher	21133	oilgas	1689.92
2007	KY	Mccreary	21147	oilgas	1116.85
2007	KY	Meade	21163	oilgas	12661.43
2007	KY	Morgan	21175	oilgas	904.77
2007	KY	Owsley	21189	oilgas	791.34
2007	KY	Pike	21195	oilgas	22196.19
2007	KY	Whitley	21235	oilgas	33720.30
2008	KY	Bell	21013	coal	28701.00
2008	KY	Clay	21051	coal	20790.00
2008	KY	Clay	21051	oilgas	84794.47
2008	KY	Estill	21065	oilgas	827.75
2008	KY	Floyd	21071	oilgas	17102.57
2008	KY	Harlan	21095	coal	4820.33
2008	KY	Henderson	21101	oilgas	128923.43
2008	KY	Johnson	21115	oilgas	379.23
2008	KY	Lawrence	21127	oilgas	2465.01
2008	KY	Lee	21129	oilgas	827.75
2008	KY	Leslie	21131	coal	921065.53
2008	KY	Leslie	21131	oilgas	54914.14
2008	KY	Letcher	21133	oilgas	1690.08
2008	KY	Mccreary	21147	oilgas	2916.98
2008	KY	Meade	21163	oilgas	16246.29
2008	KY	Morgan	21175	oilgas	904.77
2008	KY	Owsley	21189	oilgas	1258.26
2008	KY	Pike	21195	oilgas	32159.40
2008	KY	Whitley	21235	oilgas	53578.80
2009	KY	Bell	21013	coal	1845.00
2009	KY	Clay	21051	coal	945.00
2009	KY	Clay	21051	oilgas	34141.68
2009	KY	Floyd	21071	oilgas	8656.85
2009	KY	Henderson	21101	oilgas	69764.68
2009	KY	Johnson	21115	oilgas	379.23
2009	KY	Lawrence	21127	oilgas	1438.79
2009	KY	Leslie	21131	coal	1347782.04
2009	KY	Leslie	21131	oilgas	30226.37
2009	KY	Letcher	21133	oilgas	3380.00
