Year	State	County	FIPS	Resource	Revenue
2004	LA	Beauregard	22011	oilgas	930.75
2004	LA	Bienville	22013	oilgas	39980.56
2004	LA	Bossier	22015	oilgas	10035386.48
2004	LA	Caddo	22017	oilgas	65955.85
2004	LA	Calcasieu	22019	oilgas	9987.87
2004	LA	Caldwell	22021	oilgas	1383.00
2004	LA	Claiborne	22027	oilgas	304115.69
2004	LA	De Soto	22031	oilgas	20430.21
2004	LA	E Btn Rouge	22033	oilgas	124938.12
2004	LA	Grant	22043	oilgas	3769.50
2004	LA	Iberville	22047	oilgas	160.00
2004	LA	Jackson	22049	oilgas	552.22
2004	LA	Jefferson	22051	oilgas	38519.77
2004	LA	La Salle	22059	oilgas	8442.05
2004	LA	Lafourche	22057	oilgas	7882.05
2004	LA	Lincoln	22061	oilgas	1316.96
2004	LA	Livingston	22063	oilgas	637.00
2004	LA	Morehouse	22067	oilgas	929.68
2004	LA	Natchitoches	22069	oilgas	16358.17
2004	LA	Ouachita	22073	oilgas	472.62
2004	LA	Plaquemines	22075	oilgas	1108650.01
2004	LA	Rapides	22079	oilgas	471558.10
2004	LA	South Pass	22721	oilgas	2662.67
2004	LA	St Bernard	22087	oilgas	120.00
2004	LA	St Martin	22099	oilgas	76066.00
2004	LA	Terrebonne	22109	oilgas	3937.53
2004	LA	Union	22111	oilgas	2692.32
2004	LA	Vermilion	22113	oilgas	43028.90
2004	LA	Vernon	22115	oilgas	176260.09
2004	LA	Webster	22119	oilgas	106709.73
2004	LA	West Delta	22719	oilgas	42.40
2004	LA	Winn	22127	oilgas	126397.46
2005	LA	Beauregard	22011	oilgas	849.99
2005	LA	Bienville	22013	oilgas	31359.50
2005	LA	Bossier	22015	oilgas	39550725.40
2005	LA	Caddo	22017	oilgas	108379.49
2005	LA	Calcasieu	22019	oilgas	3812.14
2005	LA	Caldwell	22021	oilgas	52565.00
2005	LA	Cameron	22023	oilgas	12746.50
2005	LA	Claiborne	22027	oilgas	351222.98
2005	LA	Concordia	22029	oilgas	3426.00
2005	LA	De Soto	22031	oilgas	19332.39
2005	LA	E Btn Rouge	22033	oilgas	224474.70
2005	LA	Grant	22043	oilgas	1258.00
2005	LA	Iberville	22047	oilgas	160.00
2005	LA	Jackson	22049	oilgas	489.80
2005	LA	Jefferson	22051	oilgas	85877.05
2005	LA	La Salle	22059	oilgas	4637.24
2005	LA	Lafourche	22057	oilgas	6772.60
2005	LA	Lincoln	22061	oilgas	958.25
2005	LA	Livingston	22063	oilgas	637.00
2005	LA	Morehouse	22067	oilgas	1206.19
2005	LA	Natchitoches	22069	oilgas	9496.77
2005	LA	Ouachita	22073	oilgas	636.86
2005	LA	Plaquemines	22075	oilgas	1861563.10
2005	LA	Rapides	22079	oilgas	135173.47
2005	LA	South Pass	22721	oilgas	2703.51
2005	LA	St Bernard	22087	oilgas	160.00
2005	LA	St Martin	22099	oilgas	99396.83
2005	LA	Terrebonne	22109	oilgas	538.40
2005	LA	Union	22111	oilgas	5420.44
2005	LA	Vermilion	22113	oilgas	30897.32
2005	LA	Vernon	22115	oilgas	176337.86
2005	LA	Webster	22119	oilgas	97906.01
2005	LA	West Delta	22719	oilgas	31.30
2005	LA	Winn	22127	oilgas	95707.26
2006	LA	Beauregard	22011	oilgas	203.22
2006	LA	Bienville	22013	oilgas	26876.73
2006	LA	Bossier	22015	oilgas	35535976.64
2006	LA	Caddo	22017	oilgas	187032.69
2006	LA	Calcasieu	22019	oilgas	84.00
2006	LA	Caldwell	22021	oilgas	1712.48
2006	LA	Cameron	22023	oilgas	2395.28
2006	LA	Claiborne	22027	oilgas	406960.46
2006	LA	Concordia	22029	oilgas	253.50
2006	LA	De Soto	22031	oilgas	13573.34
2006	LA	E Btn Rouge	22033	oilgas	102042.07
2006	LA	Grant	22043	oilgas	133392.00
2006	LA	Jackson	22049	oilgas	406.44
2006	LA	Jefferson	22051	oilgas	95335.72
2006	LA	La Salle	22059	oilgas	3085.92
2006	LA	Lafourche	22057	oilgas	6547.91
2006	LA	Lincoln	22061	oilgas	1706.31
2006	LA	Livingston	22063	oilgas	637.00
2006	LA	Morehouse	22067	oilgas	973.39
2006	LA	Natchitoches	22069	oilgas	6514.76
2006	LA	Orleans	22071	oilgas	76.00
2006	LA	Ouachita	22073	oilgas	542.58
2006	LA	Plaquemines	22075	oilgas	1351538.67
2006	LA	Rapides	22079	oilgas	229327.97
2006	LA	South Pass	22721	oilgas	0.79
2006	LA	St Bernard	22087	oilgas	160.00
2006	LA	St Martin	22099	oilgas	108586.83
2006	LA	Terrebonne	22109	oilgas	351.78
2006	LA	Union	22111	oilgas	4428.68
2006	LA	Vermilion	22113	oilgas	79541.74
2006	LA	Vernon	22115	oilgas	140339.07
2006	LA	Webster	22119	oilgas	89274.96
2006	LA	Winn	22127	oilgas	70669.50
2007	LA	Beauregard	22011	oilgas	389.51
2007	LA	Bienville	22013	oilgas	19146.38
2007	LA	Bossier	22015	oilgas	36319614.78
