Year	State	Resource	Revenue
2004	ND	oilgas	30870583.63
2004	ND	minerals	298.70
2004	ND	coal	503971.13
2005	ND	oilgas	77968281.57
2005	ND	minerals	35.03
2005	ND	coal	567955.07
2006	ND	oilgas	66296191.72
2006	ND	minerals	91.57
2006	ND	coal	904580.35
2007	ND	oilgas	68884771.69
2007	ND	minerals	0.82
2007	ND	coal	1069253.02
2008	ND	oilgas	120426866.71
2008	ND	coal	1139261.35
2009	ND	oilgas	140726676.01
2009	ND	minerals	16815.01
2009	ND	coal	347487.37
2010	ND	oilgas	99819402.51
2010	ND	coal	264870.15
2011	ND	oilgas	213915362.43
2011	ND	coal	1097272.54
2012	ND	oilgas	193170579.80
2012	ND	minerals	2726.00
2012	ND	coal	1441457.36
2013	ND	oilgas	253180112.76
2013	ND	coal	1941033.85
2006	ND	other	13538.71
2009	ND	other	15526.55
2010	ND	other	15925.63
2011	ND	other	897.98
2012	ND	other	20100.83
2013	ND	other	49709.67
