Year	State	County	FIPS	Resource	Revenue
2004	NM	Bernalillo	35001	oilgas	15537.54
2004	NM	Catron	35003	oilgas	356671.70
2004	NM	Chaves	35005	oilgas	11811849.78
2004	NM	Cibola	35006	oilgas	12368.80
2004	NM	De Baca	35011	oilgas	2166.00
2004	NM	Eddy	35015	oilgas	195978670.27
2004	NM	Eddy	35015	minerals	295323.48
2004	NM	Guadalupe	35019	oilgas	124873.98
2004	NM	Harding	35021	oilgas	152118.65
2004	NM	Harding	35021	other	319353.34
2004	NM	Hidalgo	35023	renewables	56000.00
2004	NM	Hidalgo	35023	oilgas	33079.50
2004	NM	Lea	35025	oilgas	82315892.64
2004	NM	Lea	35025	minerals	47534.65
2004	NM	Luna	35029	oilgas	39066.00
2004	NM	Mckinley	35031	oilgas	116162.14
2004	NM	Mckinley	35031	coal	899564.28
2004	NM	Otero	35035	oilgas	26168.50
2004	NM	Quay	35037	oilgas	266896.68
2004	NM	Quay	35037	other	32362.53
2004	NM	Rio Arriba	35039	oilgas	169503804.54
2004	NM	Roosevelt	35041	oilgas	1330715.08
2004	NM	San Juan	35045	coal	13657053.80
2004	NM	San Juan	35045	oilgas	293455932.98
2004	NM	San Miguel	35047	oilgas	28648.50
2004	NM	Sandoval	35043	oilgas	697924.01
2004	NM	Socorro	35053	oilgas	117457.00
2004	NM	Taos	35055	oilgas	1080.00
2004	NM	Union	35059	oilgas	103.65
2004	NM	Union	35059	other	148797.34
2005	NM	Bernalillo	35001	oilgas	26150.08
2005	NM	Catron	35003	coal	-111653.97
2005	NM	Catron	35003	oilgas	151261.50
2005	NM	Chaves	35005	oilgas	16381947.21
2005	NM	Cibola	35006	coal	-4320.03
2005	NM	Cibola	35006	oilgas	3172.50
2005	NM	Curry	35009	oilgas	1111.50
2005	NM	De Baca	35011	oilgas	279319.50
2005	NM	Dona Ana	35013	renewables	6560.00
2005	NM	Eddy	35015	oilgas	254958450.66
2005	NM	Eddy	35015	minerals	629183.70
2005	NM	Eddy	35015	other	4117991.17
2005	NM	Guadalupe	35019	oilgas	112769.48
2005	NM	Harding	35021	oilgas	191690.75
2005	NM	Harding	35021	other	327945.03
2005	NM	Hidalgo	35023	oilgas	21118.50
2005	NM	Lea	35025	oilgas	108309736.48
2005	NM	Lea	35025	minerals	65918.49
2005	NM	Luna	35029	oilgas	28143.00
2005	NM	Mckinley	35031	oilgas	265365.16
2005	NM	Mckinley	35031	coal	937818.33
2005	NM	Otero	35035	oilgas	33276.50
2005	NM	Quay	35037	oilgas	119926.18
2005	NM	Quay	35037	other	35740.18
2005	NM	Rio Arriba	35039	oilgas	226138993.61
2005	NM	Roosevelt	35041	oilgas	1805413.62
2005	NM	San Juan	35045	coal	17128267.50
2005	NM	San Juan	35045	oilgas	388916603.04
2005	NM	San Miguel	35047	oilgas	28648.50
2005	NM	Sandoval	35043	oilgas	1075833.24
2005	NM	Socorro	35053	oilgas	67981.00
2005	NM	Taos	35055	oilgas	2880.00
2005	NM	Torrance	35057	oilgas	28171.50
2005	NM	Union	35059	oilgas	94.41
2005	NM	Union	35059	other	165862.61
2006	NM	Bernalillo	35001	oilgas	23110.00
2006	NM	Catron	35003	oilgas	184163.86
2006	NM	Chaves	35005	oilgas	24482137.51
2006	NM	Cibola	35006	oilgas	6043.14
2006	NM	Colfax	35007	oilgas	4859.98
2006	NM	Curry	35009	oilgas	576.00
2006	NM	De Baca	35011	oilgas	38227.50
2006	NM	Dona Ana	35013	renewables	3280.00
2006	NM	Eddy	35015	oilgas	287242663.48
2006	NM	Eddy	35015	minerals	655833.19
2006	NM	Eddy	35015	other	5920542.34
2006	NM	Guadalupe	35019	oilgas	91089.19
2006	NM	Harding	35021	oilgas	217565.08
2006	NM	Harding	35021	other	403926.45
2006	NM	Hidalgo	35023	oilgas	105845.50
2006	NM	Hidalgo	35023	renewables	-7956.86
2006	NM	Lea	35025	oilgas	126762982.06
2006	NM	Lea	35025	minerals	88019.84
2006	NM	Luna	35029	oilgas	14386.50
2006	NM	Mckinley	35031	oilgas	133677.97
2006	NM	Mckinley	35031	coal	901457.12
2006	NM	Otero	35035	oilgas	31560.56
2006	NM	Quay	35037	oilgas	109055.52
2006	NM	Quay	35037	other	45183.79
2006	NM	Rio Arriba	35039	oilgas	244901768.38
2006	NM	Roosevelt	35041	oilgas	2197927.56
2006	NM	San Juan	35045	coal	9223867.26
2006	NM	San Juan	35045	oilgas	363539470.36
2006	NM	San Miguel	35047	oilgas	37677.50
2006	NM	Sandoval	35043	oilgas	1311257.65
2006	NM	Socorro	35053	oilgas	57079.50
2006	NM	Taos	35055	oilgas	1440.00
2006	NM	Torrance	35057	oilgas	5566.50
