Year	State	County	FIPS	Resource	Revenue
2004	NV	Churchill	32001	renewables	2673713.47
2004	NV	Clark	32003	oilgas	8052.00
2004	NV	Clark	32003	minerals	-320.00
2004	NV	Elko	32007	oilgas	500560.59
2004	NV	Elko	32007	renewables	11956.00
2004	NV	Esmeralda	32009	renewables	42760.00
2004	NV	Esmeralda	32009	minerals	1160.00
2004	NV	Eureka	32011	oilgas	750403.38
2004	NV	Eureka	32011	renewables	8230.17
2004	NV	Humboldt	32013	renewables	7953.00
2004	NV	Lander	32015	renewables	-1832678.59
2004	NV	Lincoln	32017	oilgas	74807.31
2004	NV	Mineral	32021	oilgas	16665.76
2004	NV	Nye	32023	oilgas	2668955.02
2004	NV	Nye	32023	renewables	33432.00
2004	NV	Pershing	32027	renewables	67756.16
2004	NV	Pershing	32027	oilgas	7602.00
2004	NV	Washoe	32031	renewables	86379.59
2004	NV	White Pine	32033	oilgas	556399.43
2004	NV	White Pine	32033	renewables	3738.00
2005	NV	Churchill	32001	renewables	2804169.88
2005	NV	Churchill	32001	minerals	-19836.00
2005	NV	Clark	32003	oilgas	45512.00
2005	NV	Clark	32003	minerals	-1280.00
2005	NV	Clark	32003	other	-93570.02
2005	NV	Elko	32007	oilgas	1930826.92
2005	NV	Elko	32007	renewables	16486.00
2005	NV	Esmeralda	32009	renewables	66106.00
2005	NV	Esmeralda	32009	minerals	1160.00
2005	NV	Eureka	32011	oilgas	2156516.45
2005	NV	Eureka	32011	renewables	9897.63
2005	NV	Humboldt	32013	renewables	11846.00
2005	NV	Lander	32015	renewables	1604828.61
2005	NV	Lincoln	32017	oilgas	111098.81
2005	NV	Lyon	32019	renewables	1272.28
2005	NV	Mineral	32021	oilgas	18596.71
2005	NV	Nye	32023	oilgas	4772964.45
2005	NV	Nye	32023	renewables	30813.00
2005	NV	Pershing	32027	renewables	79224.16
2005	NV	Pershing	32027	oilgas	7602.00
2005	NV	Washoe	32031	renewables	34391.89
2005	NV	White Pine	32033	oilgas	1878081.57
2005	NV	White Pine	32033	renewables	3738.00
2006	NV	Churchill	32001	oilgas	25491.00
2006	NV	Churchill	32001	renewables	2571284.77
2006	NV	Clark	32003	oilgas	43080.00
2006	NV	Clark	32003	other	2.40
2006	NV	Elko	32007	oilgas	3332146.58
2006	NV	Elko	32007	renewables	22283.45
2006	NV	Esmeralda	32009	renewables	45164.00
2006	NV	Esmeralda	32009	minerals	9280.00
2006	NV	Eureka	32011	oilgas	1551986.24
2006	NV	Eureka	32011	renewables	18449.58
2006	NV	Humboldt	32013	renewables	18099.00
2006	NV	Lander	32015	renewables	-985031.69
2006	NV	Lincoln	32017	oilgas	534194.58
2006	NV	Lyon	32019	renewables	4722.14
2006	NV	Mineral	32021	oilgas	27984.23
2006	NV	Nye	32023	oilgas	4666973.56
