Year	State	County	FIPS	Commodity	Product	Type	Revenue
2004	OK	Alfalfa	40003	Oil & Gas		Other Revenues	1817
2004	OK	Alfalfa	40003	Oil & Gas		Other Royalties	-2885
2004	OK	Alfalfa	40003	Oil & Gas		Rents	1344
2004	OK	Alfalfa	40003	Gas	Unprocessed (Wet) Gas	Royalties	15427.63
2004	OK	Alfalfa	40003	Oil	Condensate	Royalties	992.89
2004	OK	Alfalfa	40003	Oil	Oil	Royalties	4042.07
2004	OK	Beaver	40007	Oil & Gas		Bonus	15696
2004	OK	Beaver	40007	Oil & Gas		Other Royalties	-512.58
2004	OK	Beaver	40007	Oil & Gas		Rents	1044
2004	OK	Beaver	40007	Gas	Processed (Residue) Gas	Royalties	13992.45
2004	OK	Beaver	40007	Gas	Unprocessed (Wet) Gas	Royalties	123395.14
2004	OK	Beaver	40007	NGL	Gas Plant Products	Royalties	5895.25
2004	OK	Beaver	40007	Oil	Condensate	Royalties	2420.16
2004	OK	Beaver	40007	Oil	Oil	Royalties	12496.7
2004	OK	Beckham	40009	Oil & Gas		Bonus	726700
2004	OK	Beckham	40009	Oil & Gas		Other Revenues	667.2
2004	OK	Beckham	40009	Oil & Gas		Other Royalties	88091.6
2004	OK	Beckham	40009	Oil & Gas		Rents	5043.5
2004	OK	Beckham	40009	Gas	Processed (Residue) Gas	Royalties	11555.88
2004	OK	Beckham	40009	Gas	Unprocessed (Wet) Gas	Royalties	1783282.11
2004	OK	Beckham	40009	NGL	Gas Plant Products	Royalties	2438.39
2004	OK	Beckham	40009	Oil	Condensate	Royalties	3231.41
2004	OK	Beckham	40009	Oil	Oil	Royalties	2352.45
2004	OK	Blaine	40011	Oil & Gas		Bonus	72
2004	OK	Blaine	40011	Oil & Gas		Other Royalties	-1135.66
2004	OK	Blaine	40011	Oil & Gas		Rents	10598.82
2004	OK	Blaine	40011	Gas	Unprocessed (Wet) Gas	Royalties	141463.05
2004	OK	Blaine	40011	NGL	Gas Plant Products	Royalties	5713.29
