Year	State	County	FIPS	Resource	Revenue
2004	TX	Angelina	48005	oilgas	4376.00
2004	TX	Armstrong	48011	oilgas	400.00
2004	TX	Bastrop	48021	oilgas	14924.00
2004	TX	Bee	48025	oilgas	600.00
2004	TX	Bowie	48037	oilgas	49473.11
2004	TX	Brazos	48041	oilgas	6107.95
2004	TX	Burleson	48051	oilgas	1006.00
2004	TX	Chambers	48071	oilgas	12090.92
2004	TX	Coleman	48083	oilgas	2836.00
2004	TX	Dallam	48111	oilgas	240.00
2004	TX	Denton	48121	oilgas	12571.46
2004	TX	Freestone	48161	oilgas	80761.09
2004	TX	Galveston	48167	oilgas	1181860.36
2004	TX	Gray	48179	oilgas	1807.32
2004	TX	Grayson	48181	oilgas	18433.89
2004	TX	Harris	48201	oilgas	121.50
2004	TX	Harrison	48203	oilgas	12558.00
2004	TX	Hemphill	48211	oilgas	8348.24
2004	TX	Hidalgo	48215	oilgas	89197.42
2004	TX	Houston	48225	oilgas	640168.19
2004	TX	Jackson	48239	oilgas	8238.35
2004	TX	Jasper	48241	oilgas	-3758.51
2004	TX	Jones	48253	oilgas	1972.33
2004	TX	Karnes	48255	oilgas	3387.00
2004	TX	Kleberg	48273	oilgas	5272.00
2004	TX	Lee	48287	oilgas	64832.62
2004	TX	Live Oak	48297	oilgas	160500.98
2004	TX	Mcmullen	48311	oilgas	602.20
2004	TX	Montague	48337	oilgas	520.92
2004	TX	Montgomery	48339	oilgas	61455.09
2004	TX	Nacogdoches	48347	oilgas	3840.00
2004	TX	Newton	48351	oilgas	418.28
2004	TX	Nueces	48355	oilgas	3602.00
2004	TX	Ochiltree	48357	oilgas	988.39
2004	TX	Parker	48367	oilgas	14657.93
2004	TX	Pecos	48371	oilgas	-12.00
2004	TX	Sabine	48403	oilgas	86885.22
2004	TX	San Augustin	48405	oilgas	10626.26
2004	TX	San Jacinto	48407	oilgas	285682.79
2004	TX	Shelby	48419	oilgas	7124433.32
2004	TX	Sherman	48421	oilgas	10284.93
2004	TX	Starr	48427	oilgas	6782157.44
2004	TX	Tarrant	48439	oilgas	10560.50
2004	TX	Taylor	48441	oilgas	6500.15
2004	TX	Trinity	48455	oilgas	100794.07
2004	TX	Walker	48471	oilgas	31791.78
2004	TX	Washington	48477	oilgas	75874.26
2004	TX	Wheeler	48483	oilgas	167795.71
2004	TX	Willacy	48489	oilgas	237.00
2004	TX	Wise	48497	oilgas	494197.43
2004	TX	Zapata	48505	oilgas	199183.65
2005	TX	Angelina	48005	oilgas	3626.00
2005	TX	Armstrong	48011	oilgas	400.00
2005	TX	Bastrop	48021	oilgas	3444.00
2005	TX	Bee	48025	oilgas	300.00
2005	TX	Bowie	48037	oilgas	95317.00
2005	TX	Brazos	48041	oilgas	19674.07
2005	TX	Burleson	48051	oilgas	117790.50
2005	TX	Chambers	48071	oilgas	7000.99
2005	TX	Dallam	48111	oilgas	320.00
2005	TX	Denton	48121	oilgas	232058.51
2005	TX	Freestone	48161	oilgas	81263.32
2005	TX	Galveston	48167	oilgas	1794915.11
2005	TX	Gray	48179	oilgas	6128.53
2005	TX	Grayson	48181	oilgas	194100.01
2005	TX	Harris	48201	oilgas	40.50
2005	TX	Harrison	48203	oilgas	492.00
2005	TX	Hemphill	48211	oilgas	10396.09
2005	TX	Hidalgo	48215	oilgas	89531.70
2005	TX	Houston	48225	oilgas	959622.47
2005	TX	Jackson	48239	oilgas	6104.36
2005	TX	Jasper	48241	oilgas	2478.45
2005	TX	Jefferson	48245	oilgas	213476.00
2005	TX	Jones	48253	oilgas	3534.46
2005	TX	Karnes	48255	oilgas	3387.00
2005	TX	Kleberg	48273	oilgas	4396.00
2005	TX	Lee	48287	oilgas	58944.07
2005	TX	Live Oak	48297	oilgas	105171.79
2005	TX	Mcmullen	48311	oilgas	602.20
2005	TX	Montague	48337	oilgas	520.92
2005	TX	Montgomery	48339	oilgas	30875.61
2005	TX	Nacogdoches	48347	oilgas	8360.00
2005	TX	Newton	48351	oilgas	429.16
2005	TX	Nueces	48355	oilgas	201376.17
2005	TX	Ochiltree	48357	oilgas	1643.56
2005	TX	Parker	48367	oilgas	13816.45
2005	TX	Pecos	48371	oilgas	200.00
2005	TX	Sabine	48403	oilgas	85874.92
2005	TX	San Augustin	48405	oilgas	9714.26
2005	TX	San Jacinto	48407	oilgas	200387.21
2005	TX	Shelby	48419	oilgas	10242339.75
2005	TX	Sherman	48421	oilgas	13895.95
2005	TX	Starr	48427	oilgas	9034710.42
2005	TX	Tarrant	48439	oilgas	11911553.59
2005	TX	Taylor	48441	oilgas	6094.09
2005	TX	Trinity	48455	oilgas	91124.49
2005	TX	Walker	48471	oilgas	30235.05
2005	TX	Washington	48477	oilgas	72143.02
2005	TX	Wheeler	48483	oilgas	211343.15
2005	TX	Willacy	48489	oilgas	237.00
2005	TX	Wise	48497	oilgas	618942.69
2005	TX	Zapata	48505	oilgas	396675.83
2006	TX	Angelina	48005	oilgas	4376.00
2006	TX	Armstrong	48011	oilgas	400.00
2006	TX	Bastrop	48021	oilgas	3444.00
2006	TX	Bee	48025	oilgas	300.00
2006	TX	Bosque	48035	oilgas	29875.47
2006	TX	Bowie	48037	oilgas	58257.05
2006	TX	Brazos	48041	oilgas	9596.93
2006	TX	Burleson	48051	oilgas	1472.50
2006	TX	Chambers	48071	oilgas	8579.31
2006	TX	Coleman	48083	oilgas	1418.00
2006	TX	Dallam	48111	oilgas	320.00
2006	TX	Denton	48121	oilgas	643651.50
2006	TX	Freestone	48161	oilgas	82438.56
