Year	State	County	FIPS	Resource	Revenue
2004	UT	Beaver	49001	renewables	128855.46
2004	UT	Box Elder	49003	minerals	1280.00
2004	UT	Carbon	49007	coal	11968806.73
2004	UT	Carbon	49007	oilgas	15748639.52
2004	UT	Daggett	49009	oilgas	1083054.85
2004	UT	Daggett	49009	minerals	9737.00
2004	UT	Duchesne	49013	oilgas	7815085.06
2004	UT	Emery	49015	coal	12574194.41
2004	UT	Emery	49015	oilgas	2852822.91
2004	UT	Garfield	49017	minerals	480.00
2004	UT	Garfield	49017	oilgas	874432.42
2004	UT	Grand	49019	oilgas	3617564.48
2004	UT	Grand	49019	minerals	400.00
2004	UT	Iron	49021	renewables	229.00
2004	UT	Iron	49021	oilgas	2188.50
2004	UT	Juab	49023	oilgas	82692.51
2004	UT	Kane	49025	oilgas	87267.00
2004	UT	Millard	49027	renewables	7309.52
2004	UT	Millard	49027	oilgas	41682.00
2004	UT	Morgan	49029	oilgas	17632.43
2004	UT	Piute	49031	minerals	2228.59
2004	UT	Piute	49031	other	-897.46
2004	UT	Rich	49033	oilgas	79276.27
2004	UT	Salt Lake	49035	oilgas	11290.50
2004	UT	San Juan	49037	oilgas	5378841.12
2004	UT	San Pete	49039	oilgas	183830.84
2004	UT	Sevier	49041	oilgas	178041.50
2004	UT	Sevier	49041	coal	7953341.63
2004	UT	Sevier	49041	renewables	1190.40
2004	UT	Summit	49043	oilgas	731575.70
2004	UT	Tooele	49045	minerals	4894.74
2004	UT	Tooele	49045	oilgas	17920.00
2004	UT	Uintah	49047	oilgas	66762073.20
2004	UT	Uintah	49047	minerals	391436.96
2004	UT	Utah	49049	oilgas	129255.50
2004	UT	Utah	49049	minerals	840.00
2004	UT	Wasatch	49051	oilgas	49858.50
2004	UT	Wayne	49055	oilgas	1908.00
2005	UT	Beaver	49001	renewables	258176.07
2005	UT	Box Elder	49003	minerals	3520.00
2005	UT	Carbon	49007	coal	14112232.86
2005	UT	Carbon	49007	oilgas	19296868.07
