Year	State	Resource	Revenue
2004	WA	oilgas	2841990.25
2004	WA	coal	25517.65
2005	WA	oilgas	941714.50
2005	WA	coal	5218.70
2006	WA	oilgas	5611230.01
2006	WA	coal	12234.65
2007	WA	oilgas	1036468.00
2007	WA	coal	-45938.18
2008	WA	oilgas	988029.00
2008	WA	coal	207864.90
2009	WA	oilgas	1049563.00
2009	WA	coal	2406.00
2010	WA	oilgas	540031.00
2010	WA	coal	726.00
2011	WA	oilgas	379638.50
2011	WA	coal	1566.00
2011	WA	renewables	16874.00
2012	WA	oilgas	9555.50
2012	WA	coal	1566.00
2013	WA	coal	2406.00
2013	WA	renewables	8437.00
