Year	Region	Resource	Revenue
2004	AK	oilgas	75018699.23
2004	AK	coal	2560.00
2004	AL	oilgas	1564832.28
2004	AL	minerals	12267.93
2004	AL	coal	8165.29
2004	AR	oilgas	5844157.86
2004	AR	minerals	1727.17
2004	AZ	oilgas	100248.50
2004	AZ	minerals	158.85
2004	CA	oilgas	28060596.10
2004	CA	renewables	17582795.50
2004	CA	minerals	1038123.76
2004	CO	oilgas	123717245.33
2004	CO	coal	42474432.08
2004	CO	other	14359638.35
2004	CO	minerals	-32383.90
2004	FL	minerals	1364.00
2004	FL	other	-0.02
2004	FL	oilgas	10016.05
2004	ID	oilgas	7605.50
2004	ID	minerals	680249.50
2004	ID	renewables	2467.00
2004	IL	oilgas	174788.57
2004	IL	minerals	-366.00
2004	KS	oilgas	7741602.88
2004	KS	other	57.39
2004	KY	oilgas	136586.86
2004	KY	coal	9996.00
2004	LA	oilgas	12800273.76
2004	MD	oilgas	10541.27
2004	MI	oilgas	1705165.05
2004	MI	minerals	-293.50
2004	MN	minerals	37930.00
2004	MO	minerals	177752.67
2004	MS	oilgas	2745758.85
2004	MT	oilgas	32003213.45
2004	MT	coal	33719147.31
2004	MT	minerals	5571.86
2004	NC	minerals	474.00
2004	ND	oilgas	30870583.63
2004	ND	minerals	298.70
2004	ND	coal	503971.13
2004	NE	oilgas	177258.91
2004	NM	oilgas	756387187.94
2004	NM	minerals	342858.13
2004	NM	other	4546956.85
2004	NM	renewables	56000.00
2004	NM	coal	14556618.08
2004	NV	renewables	1103239.80
2004	NV	oilgas	4583445.49
2004	NV	minerals	840.00
2004	NY	oilgas	8639.84
2004	OH	oilgas	576172.63
2004	OK	oilgas	11205469.31
2004	OK	coal	698504.06
2004	OR	oilgas	71549.00
2004	PA	oilgas	59320.47
2004	SC	minerals	408.00
2004	SD	oilgas	918507.64
2004	TX	oilgas	17851403.54
2004	UT	renewables	137584.38
2004	UT	minerals	411297.29
2004	UT	coal	32496342.77
2004	UT	oilgas	105746932.81
2004	UT	other	113300.38
2004	VA	oilgas	49878.92
2004	WA	oilgas	2841990.25
2004	WA	coal	25517.65
2004	WV	oilgas	941014.59
2004	WY	oilgas	750526439.08
2004	WY	coal	478480021.90
2004	WY	minerals	-259063.64
2004	WY	other	6479489.47
2005	AK	oilgas	22684399.33
2005	AK	coal	7680.00
2005	AL	oilgas	1724344.65
2005	AL	minerals	12854.36
2005	AL	coal	822574.71
2005	AR	oilgas	21094444.97
2005	AR	minerals	1106.15
2005	AZ	oilgas	170081.00
2005	AZ	minerals	257.65
2005	CA	oilgas	36898058.84
2005	CA	renewables	7497025.82
2005	CA	minerals	282435.44
2005	CA	other	3275775.47
2005	CO	oilgas	197196671.83
2005	CO	coal	39855068.97
2005	CO	other	19613274.49
2005	CO	minerals	-2106.52
2005	FL	minerals	122.00
2005	FL	oilgas	5053.50
2005	ID	minerals	89541.81
2005	ID	oilgas	1730.50
2005	ID	renewables	2467.00
2005	IL	oilgas	188782.69
2005	IL	minerals	-1147.00
2005	KS	oilgas	8230085.26
2005	KY	oilgas	231247.36
2005	KY	coal	16489.00
2005	LA	oilgas	42976859.35
2005	MD	oilgas	10551.21
2005	MI	oilgas	2476087.08
2005	MI	minerals	965.50
2005	MN	minerals	37701.50
2005	MO	minerals	21530.00
2005	MS	oilgas	3269835.99
2005	MT	minerals	3026.45
2005	MT	coal	33335011.04
2005	MT	oilgas	45039715.01
2005	ND	oilgas	77968281.57
2005	ND	minerals	35.03
2005	ND	coal	567955.07
2005	NE	oilgas	245469.40
2005	NM	oilgas	998948057.92
2005	NM	coal	17950111.83
2005	NM	renewables	6560.00
2005	NM	minerals	695102.19
2005	NM	other	4647705.66
2005	NV	renewables	4662773.45
2005	NV	minerals	-19956.00
2005	NV	oilgas	10921198.91
2005	NV	other	-93331.52
2005	NY	oilgas	20149.72
2005	OH	oilgas	680401.74
2005	OK	oilgas	12500607.32
2005	OK	coal	306076.35
2005	OR	oilgas	52178.50
2005	PA	oilgas	74193.03
2005	SC	minerals	1110.00
2005	SD	oilgas	1480483.21
2005	TX	oilgas	37197008.42
2005	UT	renewables	258405.07
2005	UT	minerals	446617.51
2005	UT	coal	30995623.62
2005	UT	oilgas	178441503.76
2005	VA	oilgas	590584.18
2005	WA	oilgas	941714.50
2005	WA	coal	5218.70
2005	WV	oilgas	1123590.02
2005	WY	oilgas	1114103167.52
2005	WY	coal	766905569.11
2005	WY	minerals	200880.95
2005	WY	other	16243590.51
2006	AK	oilgas	25142185.13
2006	AK	coal	5120.00
2006	AL	oilgas	1662181.33
2006	AL	minerals	21392.20
2006	AL	coal	70724.33
2006	AR	oilgas	16853171.92
2006	AR	minerals	1300.00
2006	AZ	oilgas	61945.50
2006	AZ	renewables	4168.00
2006	AZ	minerals	88.47
2006	CA	oilgas	101626260.32
2006	CA	renewables	11370284.97
2006	CA	minerals	331493.37
2006	CO	oilgas	235359742.85
2006	CO	coal	49167915.06
2006	CO	other	24641515.91
2006	CO	minerals	-26255.00
2006	FL	oilgas	12116.50
2006	ID	oilgas	2712.50
2006	ID	minerals	123816.85
2006	IL	oilgas	272019.90
2006	KS	oilgas	9436410.20
2006	KS	other	-57.39
2006	KY	coal	1982492.02
2006	KY	oilgas	267304.26
2006	LA	oilgas	38600548.43
2006	MD	oilgas	7655.59
2006	MI	oilgas	2486058.36
2006	MN	minerals	55791.00
2006	MO	minerals	20389.65
2006	MS	oilgas	3907080.43
2006	MT	oilgas	46231063.93
2006	MT	minerals	17212.99
2006	MT	coal	30401779.76
2006	ND	oilgas	66296191.72
2006	ND	minerals	91.57
2006	ND	coal	904580.35
2006	NE	oilgas	320933.09
2006	NM	oilgas	1051562858.71
2006	NM	renewables	-4676.86
2006	NM	minerals	743853.03
2006	NM	other	6583908.41
2006	NM	coal	10125324.38
2006	NV	oilgas	13589533.64
2006	NV	renewables	1803898.11
2006	NV	other	2341.82
2006	NV	minerals	9280.00
2006	NY	oilgas	13365.04
2006	OH	oilgas	815228.14
2006	OK	oilgas	15316179.03
2006	OK	coal	661032.30
2006	OK	minerals	959.00
2006	OR	renewables	3111.00
2006	OR	oilgas	1314905.00
2006	PA	oilgas	196978.89
2006	SC	minerals	1110.00
2006	SD	oilgas	1656500.78
2006	TX	oilgas	24936512.94
2006	UT	oilgas	310979832.64
2006	UT	renewables	226675.28
2006	UT	coal	31669030.60
2006	UT	minerals	547128.96
2006	VA	oilgas	361929.72
2006	VA	minerals	32358.77
2006	WA	oilgas	5611230.01
2006	WA	coal	12234.65
2006	WV	oilgas	1046551.75
2006	WY	oilgas	1208154652.13
2006	WY	coal	824611914.68
2006	WY	minerals	90158.71
2006	WY	other	24912548.41
2007	AK	oilgas	42240485.73
2007	AK	coal	5120.00
2007	AL	oilgas	2340066.22
2007	AL	minerals	13385.34
2007	AL	coal	84220.75
2007	AR	oilgas	27762870.50
2007	AR	minerals	1512.40
2007	AZ	oilgas	529234.00
2007	AZ	renewables	2084.00
2007	AZ	minerals	839.88
2007	CA	oilgas	111432946.33
2007	CA	renewables	17193085.75
2007	CA	minerals	876404.81
2007	CO	oilgas	203831926.08
2007	CO	coal	50195367.07
2007	CO	other	22995290.82
2007	CO	minerals	6561.00
2007	FL	minerals	884.00
2007	FL	oilgas	9089.50
2007	ID	oilgas	115238.00
2007	ID	renewables	5727012.00
2007	ID	minerals	158718.40
2007	IL	oilgas	259427.81
2007	KS	oilgas	8263664.21
2007	KY	oilgas	337933.99
2007	KY	coal	2631010.92
2007	LA	oilgas	39791057.09
2007	MD	oilgas	12036.91
2007	MI	oilgas	2863023.05
2007	MN	minerals	47503.00
2007	MO	minerals	20191.50
