State	Commodity	HS6	Year	Value	Share	Resource
AL	Coal	270112	2011	2195.16	12.2445	coal
AL	Coal	270112	2012	1671.93	8.5401	coal
AL	Coal	270112	2013	1238.48	6.42	coal
AL	Coal	270112	2014	1122.26	5.75	coal
AK	Mining	260800	2011	972.36	18.4897	other
AK	Mining	260800	2012	795.97	17.5192	other
AK	Mining	260800	2013	813.8	17.9739	other
AK	Mining	260800	2014	1073.12	20.8247	other
AK	Mining	260700	2011	494.84	9.4094	other
AK	Mining	260700	2012	428.07	9.4217	other
AK	Mining	260700	2013	389.33	8.599	other
AK	Mining	260700	2014	350.77	6.807	other
AK	Oil	271111	2011	210.19	3.9968	oilgas
AK	Oil	271111	2012	144.92	3.1896	oilgas
AK	Oil	271111	2013	0	0	oilgas
AK	Oil	271111	2014	216.98	4.2107	oilgas
AK	Oil	271019	2011	125.37	2.384	oilgas
AK	Oil	271019	2012	177.96	3.9168	oilgas
AK	Oil	271019	2013	284.88	6.292	oilgas
AK	Oil	271019	2014	216.33	4.198	oilgas
AK	Mining	260300	2011	199.28	3.7894	other
AK	Mining	260300	2012	169.49	3.7305	other
AK	Mining	260300	2013	150.2	3.3175	other
AK	Mining	260300	2014	186.23	3.614	other
AK	Mining	261690	2011	142.12	2.7024	other
AK	Mining	261690	2012	107.99	2.377	other
AK	Mining	261690	2013	140.29	3.0986	other
AK	Mining	261690	2014	139.94	2.7156	other
AK	Oil	270900	2011	0.02	0.0003	oilgas
AK	Oil	270900	2012	0	0	oilgas
AK	Oil	270900	2013	50.44	1.1141	oilgas
AK	Oil	270900	2014	85	1.6495	oilgas
AK	Coal	270119	2011	30.86	0.5867	coal
AK	Coal	270119	2012	30.63	0.6741	coal
AK	Coal	270119	2013	26.71	0.59	coal
AK	Coal	270119	2014	17.08	0.3314	coal
AK	Oil	271012	2011	0	0	oilgas
AK	Oil	271012	2012	1.99	0.0437	oilgas
AK	Oil	271012	2013	23.68	0.523	oilgas
AK	Oil	271012	2014	16.55	0.3212	oilgas
AZ	Mining	260300	2011	757.03	4.2329	other
AZ	Mining	260300	2012	889.67	4.8338	other
AZ	Mining	260300	2013	1547.69	7.9736	other
AZ	Mining	260300	2014	2177.73	10.3095	other
AZ	Oil	271121	2011	376.98	2.1078	oilgas
AZ	Oil	271121	2012	372.75	2.0252	oilgas
AZ	Oil	271121	2013	540.04	2.7822	oilgas
AZ	Oil	271121	2014	643.1	3.0445	oilgas
AZ	Mining	261390	2011	183.4	1.0255	other
AZ	Mining	261390	2012	203.84	1.1075	other
AZ	Mining	261390	2013	228.15	1.1754	other
AZ	Mining	261390	2014	185.71	0.8792	other
CA	Oil	271019	2011	2920.94	1.8322	oilgas
CA	Oil	271019	2012	3620.11	2.2381	oilgas
CA	Oil	271019	2013	4024.63	2.395	oilgas
CA	Oil	271019	2014	4983.04	2.8617	oilgas
CA	Oil	271012	2011	0	0	oilgas
CA	Oil	271012	2012	974.26	0.6023	oilgas
CA	Oil	271012	2013	1285.5	0.765	oilgas
CA	Oil	271012	2014	1497.29	0.8599	oilgas
CO	Mining	261390	2011	146.55	1.9971	other
CO	Mining	261390	2012	125.93	1.5419	other
CO	Mining	261390	2013	157.63	1.8444	other
CO	Mining	261390	2014	163.44	1.9532	other
CO	Oil	270900	2011	46.81	0.6379	oilgas
CO	Oil	270900	2012	84.61	1.036	oilgas
CO	Oil	270900	2013	111.88	1.309	oilgas
CO	Oil	270900	2014	93.97	1.123	oilgas
CT	Oil	271019	2011	151.21	0.9315	oilgas
CT	Oil	271019	2012	155.32	0.9786	oilgas
CT	Oil	271019	2013	4.55	0.0277	oilgas
CT	Oil	271019	2014	130.48	0.8185	oilgas
DE	Oil	271019	2011	234.69	4.2545	oilgas
DE	Oil	271019	2012	159.54	3.1199	oilgas
DE	Oil	271019	2013	387.37	7.2504	oilgas
DE	Oil	271019	2014	106.09	2.0046	oilgas
DE	Oil	271311	2011	40.08	0.7265	oilgas
DE	Oil	271311	2012	36.52	0.7143	oilgas
DE	Oil	271311	2013	28.63	0.5358	oilgas
DE	Oil	271311	2014	27.74	0.5241	oilgas
GA	Mining	250700	2011	511.21	1.4663	other
GA	Mining	250700	2012	495.99	1.375	other
GA	Mining	250700	2013	508.07	1.3542	other
GA	Mining	250700	2014	528.03	1.3414	other
HI	Oil	271019	2011	10.13	1.145	oilgas
HI	Oil	271019	2012	0.15	0.0205	oilgas
HI	Oil	271019	2013	27.4	4.5824	oilgas
HI	Oil	271019	2014	298.01	20.5227	oilgas
HI	Oil	271012	2011	0	0	oilgas
HI	Oil	271012	2012	65.18	8.9084	oilgas
HI	Oil	271012	2013	69.06	11.5479	oilgas
HI	Oil	271012	2014	127.9	8.8081	oilgas
ID	Mining	260700	2011	163.2	2.76	other
ID	Mining	260700	2012	14.16	0.2314	other
ID	Mining	260700	2013	64.65	1.1182	other
ID	Mining	260700	2014	104.43	2.0335	other
IL	Oil	271012	2011	0	0	oilgas
IL	Oil	271012	2012	2493.71	3.6588	oilgas
IL	Oil	271012	2013	3930.03	5.9466	oilgas
IL	Oil	271012	2014	4959.8	7.2743	oilgas
IL	Oil	270900	2011	0.7	0.0011	oilgas
IL	Oil	270900	2012	0.68	0.001	oilgas
IL	Oil	270900	2013	215.27	0.3257	oilgas
IL	Oil	270900	2014	1129.22	1.6562	oilgas
IA	Mining	261310	2011	148.61	1.116	other
IA	Mining	261310	2012	171.71	1.1741	other
IA	Mining	261310	2013	140.28	1.0101	other
IA	Mining	261310	2014	195.89	1.2972	other
LA	Oil	271019	2011	13750.25	25.0136	oilgas
