Year	State	Commodity	Product	Volume
2004	AK	Gas	Processed (Residue) Gas (mcf)	359139.39
2004	AK	Gas	Unprocessed (Wet) Gas (mcf)	36816022.75
2004	AK	NGL	Gas Plant Products (gal)	3256192.40
2004	AK	Oil	Oil (bbl)	212316.67
2004	AL	Gas	Processed (Residue) Gas (mcf)	187406.26
2004	AL	NGL	Gas Plant Products (gal)	5.92
2004	AL	Oil	Other Liquid Hydrocarbons (bbl)	2358.93
2004	AL	Sulfur	Sulfur (lton)	223.87
2004	AL	Clay	Clay (ton)	36709.00
2004	AL	Oil	Oil (bbl)	258984.75
2004	AL	Gas	Unprocessed (Wet) Gas (mcf)	745186.80
2004	AL	Coal	Coal (ton)	829.00
2004	AL	Gas	Fuel Gas (mcf)	-0.01
2004	AL	Oil	Condensate (bbl)	0.46
2004	AL	Gas	Coal Bed Methane (mcf)	124495.76
2004	AR	Gas	Processed (Residue) Gas (mcf)	8402.76
2004	AR	Oil	Oil (bbl)	58.64
2004	AR	Gas	Unprocessed (Wet) Gas (mcf)	8043762.57
2004	AR	Quartz Crystal	Quartz Crystal (lb)	7956.00
2004	AR	Gas	Coal Bed Methane (mcf)	2455.70
2004	AZ	Salt	Salt (ton)	138.00
2004	CA	Gas	Processed (Residue) Gas (mcf)	1681213.89
2004	CA	Gas	Unprocessed (Wet) Gas (mcf)	1801342.98
2004	CA	Oil	Condensate (bbl)	103314.95
2004	CA	NGL	Gas Plant Products (gal)	1154025.53
2004	CA	Oil	Oil (bbl)	13807660.86
2004	CA	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	1042669135.30
2004	CA	Geothermal	Geothermal - Electrical Generation, Other (mmbtu)	212770.98
2004	CA	Gas	Gas Lost - Flared or Vented (mcf)	33533.12
2004	CA	Oil	Fuel Oil (bbl)	82.15
2004	CA	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	52942153.03
2004	CA	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	165884.74
2004	CA	Anhydrous Sodium Sulfate	Anhydrous Sodium Sulfate (ton)	170391.00
2004	CA	Borax-Decahydrate	Borax-Decahydrate (ton)	11424.00
2004	CA	Borax-Pentahydrate	Borax-Pentahydrate (ton)	10528.00
2004	CA	Boric Acid	Boric Acid (ton)	17904.00
2004	CA	Salt	Salt (ton)	70234.00
2004	CA	Soda Ash	Soda Ash (ton)	793855.00
2004	CA	Sodium Bi-Carbonate	Sodium Bi-Carbonate (ton)	13114.00
2004	CO	Oil	Condensate (bbl)	347054.80
2004	CO	Oil	Oil (bbl)	3772152.54
2004	CO	Gas	Coal Bed Methane (mcf)	6450807.05
2004	CO	Gas	Unprocessed (Wet) Gas (mcf)	118241449.48
2004	CO	NGL	Gas Plant Products (gal)	43749022.45
2004	CO	Coal	Coal (ton)	22040582.00
2004	CO	Gas	Processed (Residue) Gas (mcf)	27015682.90
2004	CO	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2) (mcf)	263120733.23
2004	CO	Oil	Drip or Scrubber Condensate (bbl)	40469.88
2004	CO	Carbon Dioxide	Carbon Dioxide (ton)	121.00
2004	CO	Soda Ash	Soda Ash (ton)	188834.00
2004	CO	Sodium Bi-Carbonate	Sodium Bi-Carbonate (ton)	135488.00
2004	FL	Oil	Oil (bbl)	449.53
2004	ID	Phosphate Raw Ore	Phosphate Raw Ore (ton)	4293007.00
2004	ID	Gold	Gold (ton)	26.00
2004	IL	Oil	Oil (bbl)	36874.15
2004	IN	Oil	Oil (bbl)	1588.12
2004	KS	Gas	Unprocessed (Wet) Gas (mcf)	8310051.99
2004	KS	Oil	Oil (bbl)	130104.44
2004	KS	Gas	Fuel Gas (mcf)	6469.17
2004	KS	Gas	Processed (Residue) Gas (mcf)	1578857.62
2004	KS	NGL	Gas Plant Products (gal)	3498856.06
2004	KS	Oil	Condensate (bbl)	167.52
2004	KY	Gas	Unprocessed (Wet) Gas (mcf)	264034.46
2004	KY	Oil	Oil (bbl)	11656.87
2004	LA	Gas	Processed (Residue) Gas (mcf)	11754016.09
2004	LA	Gas	Unprocessed (Wet) Gas (mcf)	5871847.17
2004	LA	NGL	Gas Plant Products (gal)	5184490.11
2004	LA	Oil	Oil (bbl)	374018.89
2004	LA	Oil	Condensate (bbl)	126086.07
2004	LA	Oil	Drip or Scrubber Condensate (bbl)	331.77
2004	MI	Gas	Processed (Residue) Gas (mcf)	1747500.13
2004	MI	Oil	Oil (bbl)	23917.35
2004	MI	Gas	Unprocessed (Wet) Gas (mcf)	2385900.10
2004	MI	Oil	Condensate (bbl)	69.26
2004	MI	NGL	Gas Plant Products (gal)	739451.02
2004	MO	Copper Concentrate	Copper Concentrate (ton)	15754.00
2004	MO	Lead Concentrate	Lead Concentrate (ton)	244868.00
2004	MO	Zinc Concentrate	Zinc Concentrate (ton)	61656.00
2004	MS	Oil	Oil (bbl)	260414.10
2004	MS	Gas	Unprocessed (Wet) Gas (mcf)	746632.60
2004	MS	Oil	Condensate (bbl)	214825.24
2004	MS	NGL	Gas Plant Products (gal)	162.30
2004	MS	Gas	Processed (Residue) Gas (mcf)	135919.00
2004	MT	Coal	Coal (ton)	26080150.00
2004	MT	Gas	Coal Bed Methane (mcf)	2522194.00
2004	MT	Gas	Fuel Gas (mcf)	1513.12
2004	MT	Gas	Processed (Residue) Gas (mcf)	286360.35
2004	MT	Gas	Unprocessed (Wet) Gas (mcf)	22688150.27
2004	MT	NGL	Gas Plant Products (gal)	3789079.07
2004	MT	Oil	Oil (bbl)	3729334.79
2004	MT	Oil	Condensate (bbl)	34540.01
