Reporting Companies	Royalties Government	Royalties Company	Royalties Variance $	Royalties Variance %	Rents Government	Rents Company	Rents Variance $	Rents Variance %	Bonus Government	Bonus Company	Bonus Variance $	Bonus Variance %	Other Revenue Government	Other Revenue Company	Other Revenue Variance $	Other Revenue Variance %	Offshore Inspection Fee Government	Offshore Inspection Fee Company	Offshore Inspection Fee Variance $	Offshore Inspection Fee Variance %	ONRR Civil Penalties Government	ONRR Civil Penalties Company	ONRR Civil Penalties Variance $	ONRR Civil Penalties Variance %	Bonus & 1st Year Rental Government	Bonus & 1st Year Rental Company	Bonus & 1st Year Rental Variance $	Bonus & 1st Year Rental Variance %	Permit Fees Government	Permit Fees Company	Permit Fees Variance $	Permit Fees Variance %	Renewables Government	Renewables Company	Renewables Variance $	Renewables Variance %	AML Fees Government	AML Fees Company	AML Fees Variance $	AML Fees Variance %	OSMRE Civil Penalties Government	OSMRE Civil Penalties Company	OSMRE Civil Penalties Variance $	OSMRE Civil Penalties Variance %	Corporate Income Tax Company
Alpha Natural Resources, Inc.	 $26,797,927 	 $26,797,927 	 $- 	0.00%	 $47,388 	 $38,796 	 $8,592 	18.13%	 $42,129,612 	 $42,129,612 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $93,519 	 $93,389 	 $130 	0.14%	 $- 	 $- 	 $- 	0.00%	 $16,478,459 	 $16,442,458 	 $36,001 	0.22%	 $- 	 $- 	 $- 	0.00%	 DNR 
Anadarko Petroleum Corporation	 $163,746,846 	 $163,776,660 	 $29,814 	0.02%	 $13,674,714 	 $13,422,581 	 $252,133 	1.84%	 $2,400,166 	 $2,400,167 	 $1 	0.00%	 $(13,402,016)	 $(13,238,338)	 $163,678 	1.22%	 $2,074,000 	 $2,235,000 	 $161,000 	7.76%	 $- 	 $- 	 $- 	0.00%	 $571,200 	 $571,200 	 $- 	0.00%	 $784,639 	 $783,902 	 $737 	0.09%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 DNR 
Apache Corporation	 $47,551,091 	 DNP 	 N/A 	N/A	 $2,198,426 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $313,908 	 DNP 	 N/A 	N/A	 $91,500 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $455,180 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
Arch Coal, Inc. 	 $171,684,441 	 $171,684,441 	 $- 	0.00%	 $226,280 	 $226,280 	 $- 	0.00%	 $59,126,642 	 $59,126,642 	 $- 	0.00%	 $5,405,649 	 $5,360,237 	 $45,412 	0.84%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $34,106,552 	 $34,106,552 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 DNR 
Arena Energy, LLC	 $59,601,092 	 $59,601,092 	 $- 	0.00%	 $968,761 	 $968,761 	 $- 	0.00%	 $560,000 	 $560,000 	 $- 	0.00%	 $1,004,278 	 $1,004,278 	 $- 	0.00%	 $2,168,800 	 $2,168,800 	 $- 	0.00%	 $80,000 	 $80,000 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 N/A 
BHP Billiton LTD	 $169,862,626 	 $208,040,223 	 $38,177,597 	22.48%	 $11,162,157 	 $10,918,663 	 $243,494 	2.18%	 $40,220,086 	 $30,295,086 	 $9,925,000 	24.68%	 $14,941,480 	 $1,310 	 $14,940,170 	99.99%	 $340,000 	 $340,000 	 $- 	0.00%	 $- 	 $221 	 $221 	0.00%	 $82 	 $82 	 $- 	0.00%	 $168,056 	 $168,056 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $677,741 	 $677,741 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $2,666,092 
BOPCO, LP	 $37,875,857 	 DNP 	 N/A 	N/A	 $50,945 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $34,691 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $167,750 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 $- 	 DNP 	 N/A 	N/A	 DNP 
BP America	 $481,882,126 	 $480,734,249 	 $1,147,877 	0.24%	 $22,247,796 	 $21,107,348 	 $1,140,448 	5.13%	 $9,453,524 	 $5,616,215 	 $3,837,309 	40.59%	 $2,599,481 	 $3,690,198 	 $1,090,717 	41.96%	 $2,724,000 	 $2,726,628 	 $2,628 	0.10%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $323,090 	 $180,996 	 $142,094 	43.98%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $100,316,502 
Chevron Corporation	 $389,992,166 	 $390,329,483 	 $337,317 	0.09%	 $17,823,173 	 $17,816,231 	 $6,942 	0.04%	 $133,248,821 	 $133,248,821 	 $- 	0.00%	 $(3,936,283)	 $(3,961,553)	 $25,270 	0.64%	 $1,787,100 	 $1,787,100 	 $- 	0.00%	 $350,000 	 $350,000 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $199,578 	 $198,578 	 $1,000 	0.50%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 DNR 
Cimarex Energy Co.	 $72,283,770 	 $72,283,770 	 $- 	0.00%	 $32,888 	 $33,812 	 $924 	2.81%	 $- 	 $- 	 $- 	0.00%	 $(1,781,323)	 $(1,782,980)	 $1,657 	0.09%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $179,920 	 $180,220 	 $300 	0.17%	 $178,770 	 $188,000 	 $9,230 	5.16%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 	 $- 	 $- 	0.00%	 $- 
