Label	Label_en	Value	cat	cat_en	unit	unit_en
Steinkohle	Steinkohle EN	557	Energierohstoffe	Energierohstoffe EN	Mio. €	M €
Erdöl	Erdöl EN	1353	Energierohstoffe	Energierohstoffe EN	Mio. €	M €
Braunkohle	Braunkohle EN	2484	Energierohstoffe	Energierohstoffe EN	Mio. €	M €
Erdgas	Erdgas EN	2787	Energierohstoffe	Energierohstoffe EN	Mio. €	M €
Naturwerksteine	Naturwerksteine EN	57	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	Mio. €	M €
REA-Gips	REA-Gips EN	60	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	Mio. €	M €
Quarzsand	Quarzsand EN	205	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	Mio. €	M €
Kaolin	Kaolin EN	513	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	Mio. €	M €
Steinsalz und Industriesole	Steinsalz und Industriesole EN	551	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	Mio. €	M €
Kalk-,Mergel- und Dolomitstein	Kalk-,Mergel- und Dolomitstein EN	556	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	Mio. €	M €
Kalisalz	Kalisalz EN	795	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	Mio. €	M €
Schwefel	Schwefel EN	79	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	Mio. €	M €
Spezialtone	Spezialtone EN	162	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	Mio. €	M €
Torf	Torf EN	182	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	Mio. €	M €
gebrochene Natursteine	gebrochene Natursteine EN	1467	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	Mio. €	M €
Bausande und -kiese	Bausande und -kiese EN	1502	Industrieminerale, Steine und Erden	Industrieminerale, Steine und Erden EN	Mio. €	M €
