Year	Region	Commodity	Product	Product_en	Volume
2014	Bayern		Erdöl (t)	Erdöl (t) EN	42717
2014	Bayern		Erdgas (m³)	Erdgas (m³) EN	6548000
2014	Brandenburg		Braunkohle (t)	Braunkohle (t) EN	35661147
2014	Brandenburg		Erdöl (t)	Erdöl (t) EN	8898
2014	Hamburg		Erdöl (t)	Erdöl (t) EN	11023
2014	Mecklenburg-Vorpommern		Erdöl (t)	Erdöl (t) EN	4686
2014	Niedersachsen		Braunkohle (t)	Braunkohle (t) EN	1812295
2014	Niedersachsen		Erdöl (t)	Erdöl (t) EN	825088
2014	Niedersachsen		Erdgas (m³)	Erdgas (m³) EN	9477235000
2014	Nordrhein-Westfalen		Steinkohle (t)	Steinkohle (t) EN	7639849
2014	Nordrhein-Westfalen		Braunkohle (t)	Braunkohle (t) EN	93620738
2014	Rheinland-Pfalz		Erdöl (t)	Erdöl (t) EN	192497
2014	Sachsen		Braunkohle (t)	Braunkohle (t) EN	38174376
2014	Sachsen-Anhalt		Braunkohle (t)	Braunkohle (t) EN	8909147
2014	Sachsen-Anhalt		Erdgas (m³)	Erdgas (m³) EN	436871000
2014	Schleswig-Holstein		Erdöl (t)	Erdöl (t) EN	134488
2014	Schleswig-Holstein		Erdgas (m³)	Erdgas (m³) EN	119571000
2014	Thüringen		Erdgas (m³)	Erdgas (m³) EN	19800000
