Region	Commodity	Product	Product_en	Volume
Bayern		Erdöl (t)	Erdöl (t) EN	42717
Bayern		Erdgas (m³)	Erdgas (m³) EN	6548
Brandenburg		Braunkohle (t)	Braunkohle (t) EN	35661147
Brandenburg		Erdöl (t)	Erdöl (t) EN	8898
Hamburg		Erdöl (t)	Erdöl (t) EN	11023
Mecklenburg-Vorpommern		Erdöl (t)	Erdöl (t) EN	4686
Niedersachsen		Braunkohle (t)	Braunkohle (t) EN	1812295
Niedersachsen		Erdöl (t)	Erdöl (t) EN	825088
Niedersachsen		Erdgas (m³)	Erdgas (m³) EN	9477235
Nordrhein-Westfalen		Steinkohle (t)	Steinkohle (t) EN	7639849
Nordrhein-Westfalen		Braunkohle (t)	Braunkohle (t) EN	93620738
Rheinland-Pfalz		Erdöl (t)	Erdöl (t) EN	192497
Sachsen		Braunkohle (t)	Braunkohle (t) EN	38174376
Sachsen-Anhalt		Braunkohle (t)	Braunkohle (t) EN	8909147
Sachsen-Anhalt		Erdgas (m³)	Erdgas (m³) EN	436871
Schleswig-Holstein		Erdöl (t)	Erdöl (t) EN	134488
Schleswig-Holstein		Erdgas (m³)	Erdgas (m³) EN	119571
Thüringen		Erdgas (m³)	Erdgas (m³) EN	198
