CY,St,Commodity,Revenue Type,Sum of Total
2016,AK,Gas,Royalties,7243250.7
,,Geothermal,Rents,7680
,,NGL,Royalties,20897.46
,,Oil,Royalties,2518813.08
,,Oil & Gas (Non-Royalty),Bonus,788680
,,,Other Revenues,215438.57
,,,Rents,3199177.74
,AL,Coal,Other Revenues,145960.78
,,,Rents,4830
,,,Royalties,59038.86
,,Gas,Royalties,114999.22
,,NGL,Royalties,1046.99
,,Oil,Royalties,250122.63
,,Oil & Gas (Non-Royalty),Bonus,-240
,,,Other Revenues,-15430.15
,,,Rents,112109.5
,,Sulfur,Royalties,1350.48
,AR,Gas,Royalties,3273280.74
,,Hardrock,Other Revenues,1235.5
,,,Rents,140
,,,Royalties,138.5
,,NGL,Royalties,8.71
,,Oil,Royalties,5.34
,,Oil & Gas (Non-Royalty),Bonus,38
,,,Other Revenues,95516.6
,,,Rents,92394.24
,AZ,Oil & Gas (Non-Royalty),Rents,13332
,,Sodium,Rents,-12
,CA,Gas,Royalties,1200758.62
,,Geothermal,Other Revenues,36708.24
,,,Rents,86812
,,,Royalties,7773885.57
,,Hardrock,Rents,42
,,NGL,Royalties,364447.99
,,Oil,Royalties,44023454.1
,,Oil & Gas (Non-Royalty),Other Revenues,253647.18
,,,Rents,160455
,,Sodium,Other Revenues,-2571.08
,,,Rents,49
,,,Royalties,9922697.04
,CO,CO2,Royalties,44342735.48
,,Coal,Bonus,319296
,,,Other Revenues,59228.99
,,,Rents,149553.54
,,,Royalties,36299727.15
,,Gas,Royalties,63008750.24
,,Geothermal,Rents,27462
,,Helium,Royalties,60.89
,,NGL,Royalties,10835982.22
,,Oil,Royalties,23589207.97
,,Oil  ,Rents,932
,,Oil & Gas (Non-Royalty),Bonus,10251733
,,,Other Revenues,5860836.6
,,,Rents,2256112.12
,,Potassium,Rents,4360.5
,,Sodium,Other Revenues,40316.81
,,,Rents,13326
,,,Royalties,2056107.18
,FL,Phosphate,Other Revenues,1951
,,,Royalties,1076705.37
,ID,Gas,Royalties,50762.46
,,Geothermal,Rents,153636
,,Hardrock,Other Revenues,366
,,,Rents,81
,,NGL,Royalties,13723.86
,,Oil,Royalties,45386.96
,,Oil & Gas (Non-Royalty),Bonus,352427
,,,Other Revenues,184.12
,,,Rents,31015.5
,,Phosphate,Other Revenues,115979.59
,,,Rents,4630
,,,Royalties,9512611.44
,IL,Oil,Royalties,78377.28
,,Oil & Gas (Non-Royalty),Other Revenues,140
,IN,Oil & Gas (Non-Royalty),Other Revenues,729.06
,,,Rents,22588
,KS,Gas,Royalties,783052.76
,,Helium,Royalties,666.2
,,NGL,Royalties,348838.75
,,Oil,Royalties,737930.44
,,Oil & Gas (Non-Royalty),Other Revenues,77407.71
,,,Rents,46893.93
,KY,Coal,Bonus,17435
,,,Other Revenues,231.15
,,,Rents,9697
,,,Royalties,326279.88
,,Gas,Royalties,20812.72
,,Oil,Royalties,43235.13
,,Oil & Gas (Non-Royalty),Bonus,2760
,,,Other Revenues,112504.79
,,,Rents,7948
,LA,Gas,Royalties,2814236.97
,,NGL,Royalties,259914.18
,,Oil,Royalties,2180216.04
,,Oil & Gas (Non-Royalty),Bonus,652309
,,,Other Revenues,-13882.74277
,,,Rents,483319
,MD,Oil & Gas (Non-Royalty),Other Revenues,16271.61
,,,Rents,496
,MI,Gas,Royalties,331687.11
,,Hardrock,Other Revenues,48660
,,,Rents,5569
,,NGL,Royalties,21394.28
,,Oil,Royalties,76351.3
,,Oil & Gas (Non-Royalty),Bonus,457512
,,,Other Revenues,10097.34
,,,Rents,150629.5
,MO,Hardrock,Other Revenues,47514
,,,Rents,28003
,,,Royalties,7632271.2
,MS,Gas,Royalties,25889.3
,,Oil,Royalties,2142809.81
,,Oil & Gas (Non-Royalty),Bonus,69682
,,,Other Revenues,5164.1
,,,Rents,489951
,MT,Coal,Other Revenues,77.31
,,,Rents,111576
,,,Royalties,29402069.96
,,Gas,Royalties,859817.97
,,Hardrock,Other Revenues,-474
,,,Rents,97
,,NGL,Royalties,45703.11
,,Oil,Royalties,6910888.45
,,Oil & Gas (Non-Royalty),Bonus,38072
,,,Other Revenues,348763.27
,,,Rents,719577.5
,,Phosphate,Other Revenues,4227
,,Sulfur,Royalties,870.92
,ND,Coal,Rents,31188
,,,Royalties,2804094.53
,,Gas,Royalties,8387222.41
,,NGL,Royalties,260886.37
,,Oil,Other Revenues,-12816.46
,,,Royalties,100414406.1
,,Oil & Gas (Non-Royalty),Bonus,36400
,,,Other Revenues,483459.5
,,,Rents,385792.54
,NE,Gas,Royalties,660.91
,,Oil,Royalties,91252.46
,,Oil & Gas (Non-Royalty),Other Revenues,32597.09
,,,Rents,2247
,NM,CO2,Royalties,679168.56
,,Coal,Bonus,460000
,,,Other Revenues,51784.92
,,,Rents,78234
,,,Royalties,12440845.41
,,Gas,Royalties,187532672
,,Geothermal,Other Revenues,2723.63
,,,Rents,27630
,,,Royalties,26388.55
,,NGL,Other Revenues,-13.57
,,,Royalties,46540146.95
,,Oil,Royalties,366395661
,,Oil & Gas (Non-Royalty),Bonus,28525050
,,,Other Revenues,603895.56
,,,Rents,1141587.13
,,Potassium,Bonus,292376
,,,Other Revenues,332194.17
,,,Rents,27954.5
,,,Royalties,9549574.84
,,Sodium,Other Revenues,265.31
,,,Royalties,716012.16
,NV,Geothermal,Other Revenues,233428.77
,,,Rents,901736.72
,,,Royalties,3440869.3
,,Oil,Royalties,1154270.35
,,Oil & Gas (Non-Royalty),Bonus,24740
,,,Other Revenues,9818.53
,,,Rents,1599337
,,Potassium,Other Revenues,7503
,,,Rents,2501
