CY	St	Commodity	Revenue Type	Total
2006	AK	Coal	Rents	$5,120.00 
		Gas	Other Revenues	$180,625.92 
			Royalties	$13,993,320.68 
		NGL	Royalties	$139,228.34 
		Oil	Other Revenues	($11.60)
			Royalties	$1,810,092.43 
		Oil & Gas (Non-Royalty)	Other Revenues	$50,883.13 
			Rents	$8,968,619.75 
	AL	Clay	Royalties	$20,117.10 
		Coal	Bonus	$64,113.60 
			Rents	$4,830.00 
			Royalties	$1,780.73 
		Gas	Royalties	$780,638.16 
		Hardrock	Other Revenues	$123.00 
			Rents	($41.00)
		NGL	Royalties	$9.45 
		Oil	Royalties	$648,227.90 
		Oil & Gas (Non-Royalty)	Bonus	$175,620.00 
			Other Revenues	$13,553.30 
			Rents	$47,055.50 
		Sulfur	Royalties	$1,193.10 
	AR	Gas	Royalties	$8,274,401.21 
		Hardrock	Other Revenues	$1,291.00 
			Rents	$9.00 
			Royalties	$267.00 
		Oil	Royalties	$243.75 
		Oil & Gas (Non-Royalty)	Bonus	$7,120,378.99 
			Other Revenues	($185,484.64)
			Rents	$1,485,824.50 
	AZ	Geothermal	Rents	$4,168.00 
		Oil & Gas (Non-Royalty)	Rents	$61,945.50 
		Sodium	Other Revenues	$12.00 
			Rents	$4.00 
			Royalties	$72.47 
	CA	Gas	Royalties	$5,228,800.99 
		Geothermal	Other Revenues	$22,517.18 
			Rents	$120,067.24 
			Royalties	$11,387,545.97 
		NGL	Royalties	$294,589.25 
		Oil	Royalties	$93,078,519.83 
		Oil & Gas (Non-Royalty)	Bonus	$2,237,089.75 
			Other Revenues	$569,618.57 
			Rents	$558,366.48 
		Sodium	Other Revenues	($139.23)
			Rents	$3,087.00 
			Royalties	$4,883,871.58 
	CO	CO2	Royalties	$24,279,648.79 
		Coal	Bonus	$555,142.87 
			Other Revenues	$3,549.37 
			Rents	$188,146.40 
			Royalties	$48,424,625.79 
		Gas	Royalties	$162,935,102.33 
		NGL	Royalties	$4,601,849.20 
		Oil	Other Revenues	$19,814.62 
			Rents	$15,241.10 
			Royalties	$33,952,941.97 
		Oil & Gas (Non-Royalty)	Bonus	$27,263,502.50 
			Other Revenues	$265,694.15 
			Rents	$6,432,194.33 
		Sodium	Other Revenues	($18,031.00)
			Rents	($8,224.00)
			Royalties	$361,867.12 
	FL	Oil & Gas (Non-Royalty)	Other Revenues	$6,070.80 
			Rents	$12,116.50 
		Phosphate	Royalties	$1,398.10 
	ID	Hardrock	Other Revenues	$929.20 
			Rents	($100.00)
			Royalties	$3,464.85 
		Oil & Gas (Non-Royalty)	Rents	$2,712.50 
		Phosphate	Other Revenues	$100,083.00 
			Rents	$7,924.00 
			Royalties	$2,064,495.78 
	IL	Oil	Royalties	$271,844.90 
		Oil & Gas (Non-Royalty)	Other Revenues	$175.00 
	KS	Gas	Other Revenues	$216.83 
			Royalties	$4,935,394.68 
		Helium	Royalties	($57.39)
		NGL	Royalties	$456,079.31 
		Oil	Rents	($160.00)
			Royalties	$3,940,260.63 
		Oil & Gas (Non-Royalty)	Bonus	$56,720.00 
			Other Revenues	$15,539.67 
			Rents	$33,568.40 
	KY	Coal	Bonus	$501,002.81 
			Other Revenues	$20,000.00 
			Rents	$30,135.00 
			Royalties	$1,420,959.21 
		Gas	Royalties	$181,435.89 
		Oil	Royalties	$6,002.08 
		Oil & Gas (Non-Royalty)	Bonus	$39,629.00 
			Other Revenues	$27,210.36 
			Rents	$19,535.30 
	LA	Gas	Royalties	$34,130,980.06 
		NGL	Royalties	$1,229,701.38 
		Oil	Royalties	$3,319,581.35 
		Oil & Gas (Non-Royalty)	Bonus	$595,815.00 
			Other Revenues	($673,135.01)
			Rents	$48,149.00 
	MD	Oil & Gas (Non-Royalty)	Other Revenues	$11,799.33 
			Rents	$496.00 
	MI	Gas	Royalties	$2,124,034.76 
		NGL	Royalties	$102,903.75 
		Oil	Royalties	$214,631.89 
		Oil & Gas (Non-Royalty)	Bonus	$8,160.00 
			Other Revenues	$12,272.66 
			Rents	$36,434.50 
	MN	Hardrock	Other Revenues	$48,685.16 
			Rents	$4,070.00 
	MO	Hardrock	Other Revenues	$139,552.00 
			Rents	$9,741.00 
			Royalties	$10,348,011.60 
	MS	Gas	Royalties	$425,134.22 
		Oil	Royalties	$2,009,165.81 
		Oil & Gas (Non-Royalty)	Bonus	$875,076.50 
			Other Revenues	$5,245.72 
			Rents	$602,477.50 
	MT	Coal	Bonus	$456,320.00 
			Other Revenues	$742,861.13 
			Rents	$132,630.30 
			Royalties	$29,069,968.33 
		Gas	Royalties	$18,469,949.95 
		Hardrock	Rents	$2,210.50 
		NGL	Royalties	$422,625.68 
		Oil	Other Revenues	($2.50)
			Rents	($59.09)
			Royalties	$22,521,373.98 
		Oil & Gas (Non-Royalty)	Bonus	$926,627.50 
			Other Revenues	$798,041.99 
			Rents	$3,244,275.59 
		Phosphate	Other Revenues	$12,681.00 
		Sulfur	Royalties	$2,321.49 
	ND	Coal	Bonus	$117,536.00 
			Rents	$33,558.00 
			Royalties	$767,025.06 
		Gas	Royalties	$5,457,309.31 
		NGL	Royalties	$478,298.09 
		Oil	Royalties	$43,951,093.81 
		Oil & Gas (Non-Royalty)	Bonus	$14,602,862.50 
			Other Revenues	$764,253.27 
			Rents	$1,058,140.68 
		Sulfur	Royalties	$91.57 
	NE	Oil	Other Revenues	($6.00)
			Royalties	$280,939.69 
		Oil & Gas (Non-Royalty)	Other Revenues	$148,709.74 
			Rents	$17,602.00 
	NM	CO2	Royalties	$661,304.77 
		Coal	Bonus	$16,060.00 
			Other Revenues	$2,713,214.45 
			Rents	$87,396.00 
			Royalties	$7,406,158.15 
		Gas	Other Revenues	$2,422.17 
			Royalties	$680,609,202.10 
		Geothermal	Other Revenues	$560.00 
			Rents	$4,603.00 
			Royalties	($7,956.86)
		NGL	Other Revenues	$487,458.94 
			Royalties	$108,848,909.86 
		Oil	Other Revenues	($527.35)
			Rents	($2.00)
			Royalties	$174,694,242.10 
		Oil & Gas (Non-Royalty)	Bonus	$78,379,647.00 
			Other Revenues	$38,123,888.78 
			Rents	$3,385,217.09 
		Potassium	Bonus	$9,638.54 
			Other Revenues	$514,881.36 
			Rents	$8,708.00 
			Royalties	$5,922,227.16 
		Sodium	Other Revenues	$5,571.38 
			Rents	$1,760.00 
			Royalties	$238,378.41 
	NV	Geothermal	Other Revenues	($59,310.04)
			Rents	$516,146.00 
			Royalties	$1,295,189.54 
		Oil	Royalties	$2,732,321.10 
		Oil & Gas (Non-Royalty)	Bonus	$3,855,798.25 
			Other Revenues	$5,624.61 
			Rents	$6,988,189.00 
		Potassium	Other Revenues	$6,960.00 
			Rents	$2,320.00 
			Royalties	$2,339.42 
		Sand & Gravel	Royalties	$2.40 
	NY	Gas	Royalties	$13,365.04 
		Oil & Gas (Non-Royalty)	Other Revenues	$187.34 
	OH	Gas	Royalties	$596,130.95 
		Oil	Royalties	$191,104.48 
		Oil & Gas (Non-Royalty)	Other Revenues	$36,078.45 
			Rents	$7,958.09 
	OK	Asphalt	Rents	$959.00 
		Coal	Bonus	$158,197.75 
			Other Revenues	$295,984.90 
			Rents	$48,051.00 
			Royalties	$426,020.56 
		Gas	Royalties	$10,897,536.96 
		NGL	Royalties	$359,716.41 
		Oil	Other Revenues	($127.51)
			Royalties	$982,741.47 
		Oil & Gas (Non-Royalty)	Bonus	$2,775,870.00 
			Other Revenues	$56,976.12 
			Rents	$270,443.53 
	OR	Geothermal	Rents	$3,111.00 
		Oil & Gas (Non-Royalty)	Bonus	$893,603.00 
			Rents	$421,302.00 
	PA	Gas	Royalties	$67,242.09 
		Oil & Gas (Non-Royalty)	Bonus	$114,805.00 
			Other Revenues	$16,057.71 
			Rents	$153.00 
	SC	Hardrock	Rents	$1,110.00 
	SD	Gas	Royalties	$130,031.12 
		Oil	Royalties	$1,308,521.66 
		Oil & Gas (Non-Royalty)	Bonus	$45,968.00 
			Other Revenues	$3,056.30 
			Rents	$172,880.00 
	TX	Gas	Royalties	$19,219,211.07 
		NGL	Royalties	$143,345.04 
		Oil	Royalties	$2,591,405.08 
		Oil & Gas (Non-Royalty)	Bonus	$2,301,402.00 
			Other Revenues	$137,240.90 
			Rents	$601,829.76 
	UT	Clay	Other Revenues	$163.94 
			Rents	$314.00 
			Royalties	$3,219.45 
		Coal	Bonus	$4,264,820.00 
			Other Revenues	($479,838.62)
			Rents	$237,027.00 
			Royalties	$27,167,183.60 
		Gas	Royalties	$153,622,021.19 
		Geothermal	Other Revenues	$2,166.34 
			Rents	$23,457.00 
			Royalties	$203,218.28 
		Gilsonite	Other Revenues	$10,686.24 
			Rents	$1,489.50 
			Royalties	$499,699.59 
		Hardrock	Rents	$1,489.00 
