CY	Land Category	St	Revenue Type	Commodity	Total
2006	Fed Onshore	AK	Other Revenues	Gas	159455.96
2006	Fed Onshore	AK	Other Revenues	Oil	-11.6
2006	Fed Onshore	AK	Other Revenues	Oil & Gas (Non-Royalty)	199732.78
2006	Fed Onshore	AK	Rents	Coal	10240
2006	Fed Onshore	AK	Rents	Oil & Gas (Non-Royalty)	5508095.74
2006	Fed Onshore	AK	Royalties	Gas	13444911.66
2006	Fed Onshore	AK	Royalties	NGL	229226.63
2006	Fed Onshore	AK	Royalties	Oil	1884609.29
2006	Fed Onshore	AL	Bonus	Coal	64113.6
2006	Fed Onshore	AL	Bonus	Oil & Gas (Non-Royalty)	175620
2006	Fed Onshore	AL	Other Revenues	Hardrock	123
2006	Fed Onshore	AL	Other Revenues	Oil & Gas (Non-Royalty)	11207.22
2006	Fed Onshore	AL	Rents	Coal	13494
2006	Fed Onshore	AL	Rents	Hardrock	-41
2006	Fed Onshore	AL	Rents	Oil & Gas (Non-Royalty)	46793.5
2006	Fed Onshore	AL	Royalties	Clay	21525.3
2006	Fed Onshore	AL	Royalties	Coal	1980.4
2006	Fed Onshore	AL	Royalties	Gas	915535.73
2006	Fed Onshore	AL	Royalties	NGL	14.14
2006	Fed Onshore	AL	Royalties	Oil	729977
2006	Fed Onshore	AL	Royalties	Sulfur	1156.13
2006	Fed Onshore	AR	Bonus	Oil & Gas (Non-Royalty)	6002003
2006	Fed Onshore	AR	Other Revenues	Hardrock	1452.5
2006	Fed Onshore	AR	Other Revenues	Oil & Gas (Non-Royalty)	-63242.6
2006	Fed Onshore	AR	Rents	Hardrock	89
2006	Fed Onshore	AR	Rents	Oil & Gas (Non-Royalty)	1449716
2006	Fed Onshore	AR	Royalties	Gas	8974165.09
2006	Fed Onshore	AR	Royalties	Hardrock	345.5
2006	Fed Onshore	AR	Royalties	Oil	243.99
2006	Fed Onshore	AZ	Bonus	Oil & Gas (Non-Royalty)	58275
2006	Fed Onshore	AZ	Other Revenues	Oil & Gas (Non-Royalty)	440.09
2006	Fed Onshore	AZ	Other Revenues	Sodium	12
2006	Fed Onshore	AZ	Rents	Geothermal	4168
2006	Fed Onshore	AZ	Rents	Oil & Gas (Non-Royalty)	109698
2006	Fed Onshore	AZ	Rents	Sodium	4
2006	Fed Onshore	AZ	Royalties	Sodium	72.47
2006	Fed Onshore	CA	Bonus	Oil & Gas (Non-Royalty)	659159.75
2006	Fed Onshore	CA	Other Revenues	Geothermal	-122574.07
2006	Fed Onshore	CA	Other Revenues	Oil & Gas (Non-Royalty)	572668.38
2006	Fed Onshore	CA	Other Revenues	Sodium	-240
2006	Fed Onshore	CA	Rents	Geothermal	114955.24
2006	Fed Onshore	CA	Rents	Oil & Gas (Non-Royalty)	536748.98
2006	Fed Onshore	CA	Rents	Sodium	707
2006	Fed Onshore	CA	Royalties	Gas	5719014.12
2006	Fed Onshore	CA	Royalties	Geothermal	10367876.4
2006	Fed Onshore	CA	Royalties	NGL	266006.44
2006	Fed Onshore	CA	Royalties	Oil	81217961.3
2006	Fed Onshore	CA	Royalties	Sodium	4851694.22
2006	Fed Onshore	CO	Bonus	Coal	561142.87
2006	Fed Onshore	CO	Bonus	Oil & Gas (Non-Royalty)	30810201.51
2006	Fed Onshore	CO	Other Revenues	Coal	3391.67
2006	Fed Onshore	CO	Other Revenues	Oil	-25.38
2006	Fed Onshore	CO	Other Revenues	Oil & Gas (Non-Royalty)	392130.39
2006	Fed Onshore	CO	Other Revenues	Sodium	6641
2006	Fed Onshore	CO	Rents	Coal	212926.4
2006	Fed Onshore	CO	Rents	Oil	-22.9
2006	Fed Onshore	CO	Rents	Oil & Gas (Non-Royalty)	6515800.55
2006	Fed Onshore	CO	Royalties	CO2	23385811.89
2006	Fed Onshore	CO	Royalties	Coal	46300543.39
2006	Fed Onshore	CO	Royalties	Gas	178794889.2
2006	Fed Onshore	CO	Royalties	NGL	4759219.2
2006	Fed Onshore	CO	Royalties	Oil	34014923.05
2006	Fed Onshore	CO	Royalties	Sodium	425276.22
2006	Fed Onshore	FL	Other Revenues	Oil & Gas (Non-Royalty)	4789.8
2006	Fed Onshore	FL	Rents	Oil & Gas (Non-Royalty)	12116.5
2006	Fed Onshore	FL	Royalties	Phosphate	16619.15
2006	Fed Onshore	ID	Other Revenues	Hardrock	929.2
2006	Fed Onshore	ID	Other Revenues	Phosphate	101199
2006	Fed Onshore	ID	Rents	Hardrock	59
2006	Fed Onshore	ID	Rents	Oil & Gas (Non-Royalty)	2712.5
2006	Fed Onshore	ID	Rents	Phosphate	8980
2006	Fed Onshore	ID	Royalties	Hardrock	1367.65
2006	Fed Onshore	ID	Royalties	Phosphate	2053021.61
2006	Fed Onshore	IL	Other Revenues	Oil & Gas (Non-Royalty)	175
2006	Fed Onshore	IL	Rents	Hardrock	-1147
2006	Fed Onshore	IL	Royalties	Oil	264448.54
2006	Fed Onshore	KS	Bonus	Oil & Gas (Non-Royalty)	56000
2006	Fed Onshore	KS	Other Revenues	Gas	460.28
2006	Fed Onshore	KS	Other Revenues	Oil & Gas (Non-Royalty)	-24951.91
2006	Fed Onshore	KS	Rents	Oil	-160
2006	Fed Onshore	KS	Rents	Oil & Gas (Non-Royalty)	35004.3
2006	Fed Onshore	KS	Royalties	Gas	5697953.43
2006	Fed Onshore	KS	Royalties	Helium	-57.39
2006	Fed Onshore	KS	Royalties	NGL	457268.14
2006	Fed Onshore	KS	Royalties	Oil	3625872.27
2006	Fed Onshore	KY	Bonus	Coal	1002005.62
2006	Fed Onshore	KY	Bonus	Oil & Gas (Non-Royalty)	39593
2006	Fed Onshore	KY	Other Revenues	Coal	12000
2006	Fed Onshore	KY	Other Revenues	Oil & Gas (Non-Royalty)	20664.52
2006	Fed Onshore	KY	Rents	Coal	30135
2006	Fed Onshore	KY	Rents	Oil & Gas (Non-Royalty)	14241.8
2006	Fed Onshore	KY	Royalties	Coal	676018.58
2006	Fed Onshore	KY	Royalties	Gas	259146.18
2006	Fed Onshore	KY	Royalties	Oil	7333.44
2006	Fed Onshore	LA	Bonus	Oil & Gas (Non-Royalty)	493355
2006	Fed Onshore	LA	Other Revenues	Oil & Gas (Non-Royalty)	-45670.89
2006	Fed Onshore	LA	Rents	Oil & Gas (Non-Royalty)	72562.5
2006	Fed Onshore	LA	Royalties	Gas	41990018.49
2006	Fed Onshore	LA	Royalties	NGL	1240983.32
2006	Fed Onshore	LA	Royalties	Oil	3059945.15
2006	Fed Onshore	MD	Other Revenues	Oil & Gas (Non-Royalty)	11799.33
2006	Fed Onshore	MD	Rents	Oil & Gas (Non-Royalty)	992
