State	Commodity	HS6	Year	Value	Share	Resource
AL	Coal	270112	2011	2195160000	0.122445	coal
AL	Coal	270112	2012	1671930000	0.085401	coal
AL	Coal	270112	2013	1238480000	0.0642	coal
AL	Coal	270112	2014	1122260000	0.0575	coal
AK	Gas	271111	2011	210190000	0.039968	oilgas
AK	Gas	271111	2012	144920000	0.031896	oilgas
AK	Gas	271111	2014	216980000	0.042107	oilgas
AK	Copper	260300	2011	199280000	0.037894000000000004	minerals
AK	Copper	260300	2012	169490000	0.037305000000000005	minerals
AK	Copper	260300	2013	150200000	0.033174999999999996	minerals
AK	Copper	260300	2014	186230000	0.03614	minerals
AK	Gold	261690	2011	142120000	0.027024	minerals
AK	Gold	261690	2012	107990000	0.02377	minerals
AK	Gold	261690	2013	140290000	0.030986	minerals
AK	Gold	261690	2014	139940000	0.027156	minerals
AK	Oil	270900	2011	20000	0.0000029999999999999997	oilgas
AK	Oil	270900	2013	50440000	0.011141000000000002	oilgas
AK	Oil	270900	2014	85000000	0.016495	oilgas
AK	Coal	270119	2011	30860000	0.005867	coal
AK	Coal	270119	2012	30630000	0.0067410000000000005	coal
AK	Coal	270119	2013	26710000	0.0059	coal
AK	Coal	270119	2014	17080000	0.0033139999999999997	coal
AZ	Copper	260300	2011	757030000	0.042329	minerals
AZ	Copper	260300	2012	889670000	0.048338	minerals
AZ	Copper	260300	2013	1547690000	0.079736	minerals
AZ	Copper	260300	2014	2177730000	0.10309499999999999	minerals
AZ	Gas	271121	2011	376980000	0.021078	oilgas
AZ	Gas	271121	2012	372750000	0.020252	oilgas
AZ	Gas	271121	2013	540040000	0.027822	oilgas
AZ	Gas	271121	2014	643100000	0.030445000000000003	oilgas
CO	Oil	270900	2011	46810000	0.006379	oilgas
CO	Oil	270900	2012	84610000	0.010360000000000001	oilgas
CO	Oil	270900	2013	111880000	0.01309	oilgas
CO	Oil	270900	2014	93970000	0.01123	oilgas
IL	Oil	270900	2011	700000	0.000011000000000000001	oilgas
IL	Oil	270900	2012	680000	0.00001	oilgas
IL	Oil	270900	2013	215270000	0.003257	oilgas
IL	Oil	270900	2014	1129220000	0.016562	oilgas
LA	Oil	270900	2012	60000	0.000001	oilgas
LA	Oil	270900	2013	392250000	0.006193	oilgas
LA	Oil	270900	2014	398720000	0.006126	oilgas
LA	Coal	270112	2011	1585420000	0.028841000000000002	coal
LA	Coal	270112	2012	1003150000	0.015954	coal
LA	Coal	270112	2013	506550000	0.007996999999999999	coal
LA	Coal	270112	2014	287240000	0.004413	coal
ME	Gas	271121	2011	5110000	0.001493	oilgas
ME	Gas	271121	2012	22160000	0.007269	oilgas
ME	Gas	271121	2013	133860000.00000001	0.049825999999999995	oilgas
