Year	State	Commodity	Type	Revenue
2004	AK	Oil & Gas	Bonus	53904491.00
2004	AK	Oil & Gas	Rents	8894470.54
2004	AK	Oil & Gas	Other Revenues	10052.54
2004	AK	Gas	Other Royalties	224935.20
2004	AK	Oil & Gas	Other Royalties	265932.36
2004	AK	Gas	Royalties	10403406.96
2004	AK	NGL	Royalties	371339.82
2004	AK	Oil	Royalties	944070.81
2004	AK	Coal	Rents	2560.00
2004	AL	Oil & Gas	Other Revenues	-49.16
2004	AL	Oil & Gas	Other Royalties	19401.00
2004	AL	Gas	Royalties	524443.03
2004	AL	NGL	Royalties	0.32
2004	AL	Oil	Royalties	823485.59
2004	AL	Oil & Gas	Bonus	164678.00
2004	AL	Oil & Gas	Rents	32873.50
2004	AL	Hardrock	Other Revenues	123.00
2004	AL	Coal	Rents	4826.52
2004	AL	Coal	Royalties	3338.77
2004	AL	Clay	Royalties	11440.80
2004	AL	Sulfur	Royalties	704.13
2004	AR	Gas	Royalties	3884705.48
2004	AR	Oil	Royalties	243.10
2004	AR	Oil & Gas	Bonus	618180.00
2004	AR	Oil & Gas	Rents	1241687.50
2004	AR	Oil & Gas	Other Revenues	5137.33
2004	AR	Oil & Gas	Other Royalties	94204.45
2004	AR	Hardrock	Other Revenues	2121.50
2004	AR	Hardrock	Rents	-414.33
2004	AR	Quartz	Rents	20.00
2004	AR	Quartz Crystal	Royalties	235.50
2004	AZ	Oil & Gas	Rents	100248.50
2004	AZ	Sodium	Other Revenues	36.00
2004	AZ	Sodium	Rents	4.00
2004	AZ	Salt	Royalties	118.85
2004	CA	Oil & Gas	Other Royalties	10677.60
2004	CA	Oil & Gas	Rents	428225.51
2004	CA	Gas	Royalties	4212311.85
2004	CA	Oil & Gas	Other Revenues	31517.74
2004	CA	NGL	Royalties	95701.32
2004	CA	Oil	Royalties	23214441.58
2004	CA	Oil & Gas	Bonus	67720.50
2004	CA	Geothermal	Other Revenues	8320.00
2004	CA	Potassium	Other Revenues	3996.00
2004	CA	Sodium	Other Revenues	72.39
2004	CA	Geothermal	Other Royalties	7484696.97
2004	CA	Geothermal	Rents	227815.00
2004	CA	Geothermal	Royalties	9861963.53
2004	CA	Anhydrous Sodium Sulfate	Royalties	191938.20
2004	CA	Borax-Anhydrous	Royalties	30980.53
2004	CA	Borax-Decahydrate	Royalties	109756.82
2004	CA	Borax-Pentahydrate	Royalties	100538.21
2004	CA	Boric Acid	Royalties	300944.95
2004	CA	Boric Oxide	Royalties	-328.08
2004	CA	Salt	Royalties	39989.97
2004	CA	Salt-Waste	Royalties	-52.69
2004	CA	Soda Ash	Royalties	2421272.34
2004	CA	Soda Ash-Granular	Royalties	260287.46
2004	CA	Sodium Bi-Carbonate	Royalties	37810.73
2004	CO	Oil & Gas	Rents	5798644.45
2004	CO	Oil & Gas	Other Revenues	293253.52
2004	CO	Oil	Royalties	17792465.36
2004	CO	Oil & Gas	Other Royalties	3840304.49
2004	CO	Gas	Royalties	82988954.55
2004	CO	Oil & Gas	Bonus	10799417.00
2004	CO	NGL	Royalties	2204205.96
2004	CO	Coal	Bonus	6107928.58
2004	CO	Sodium	Other Revenues	93390.28
2004	CO	Coal	Rents	240192.41
2004	CO	Sodium	Rents	1349.73
2004	CO	Coal	Royalties	36126311.09
2004	CO	Carbon Dioxide	Royalties	241.00
2004	CO	Carbon Dioxide Gas	Royalties	13124605.98
2004	CO	Soda Ash	Royalties	559202.05
2004	CO	Soda Ash-Granular	Royalties	-127123.91
2004	CO	Sodium Bi-Carbonate	Royalties	704432.51
2004	CO	Sodium Bicarbonate Animal Feed	Royalties	-28843.19
2004	FL	Oil & Gas	Rents	8080.50
2004	FL	Oil	Royalties	1935.55
2004	FL	Phosphate	Other Revenues	2248.00
2004	FL	Phosphate	Rents	-884.00
2004	FL	Phosphate Raw Ore	Royalties	-0.02
2004	ID	Oil & Gas	Rents	7605.50
2004	ID	Phosphate	Bonus	563300.00
2004	ID	Phosphate	Other Revenues	127954.00
2004	ID	Gemstones	Rents	80.00
2004	ID	Geothermal	Rents	2467.00
2004	ID	Gold	Rents	39.00
2004	ID	Hardrock	Rents	42.00
2004	ID	Phosphate	Rents	-11165.50
2004	ID	Phosphate Raw Ore	Royalties	3451909.95
2004	IL	Oil	Royalties	174744.57
2004	IL	Oil & Gas	Other Revenues	44.00
2004	IL	Hardrock	Other Revenues	-549.00
2004	IL	Hardrock	Rents	183.00
2004	KS	Oil & Gas	Rents	40949.50
2004	KS	Oil & Gas	Bonus	7640.00
2004	KS	Gas	Royalties	6924749.18
2004	KS	Oil & Gas	Other Revenues	-3265.06
2004	KS	Gas	Other Royalties	754.83
2004	KS	Oil & Gas	Other Royalties	23561.78
2004	KS	NGL	Royalties	278925.84
2004	KS	Oil	Royalties	468286.81
2004	KS	Helium	Royalties	57.39
2004	KY	Oil & Gas	Rents	10638.00
2004	KY	Gas	Royalties	81428.39
2004	KY	Oil & Gas	Bonus	11356.00
2004	KY	Oil	Royalties	6302.16
2004	KY	Oil & Gas	Other Revenues	26862.31
2004	KY	Coal	Other Revenues	12000.00
2004	KY	Coal	Rents	-2004.00
2004	LA	Oil & Gas	Rents	76692.86
2004	LA	Gas	Royalties	10698126.47
2004	LA	NGL	Royalties	326755.20
2004	LA	Oil	Royalties	1817085.44
2004	LA	Oil & Gas	Bonus	23622.00
2004	LA	Oil & Gas	Other Royalties	-144922.30
2004	LA	Oil & Gas	Other Revenues	2914.09
2004	MD	Oil & Gas	Other Revenues	10279.77
2004	MD	Oil & Gas	Other Royalties	-730.50
2004	MD	Oil & Gas	Rents	992.00
2004	MI	Oil & Gas	Rents	44825.00
2004	MI	Gas	Royalties	1533836.84
