id	name
Baden-Württemberg	Baden-Württemberg
Bayern	Bavaria (Freistaat Bayern)
Berlin	Berlin
Brandenburg	Brandenburg
Bremen	Bremen (Freie Hansestadt Bremen)
Hamburg	Hamburg (Freie und Hansestadt Hamburg)
Hessen	Hesse (Hessen)
Niedersachsen	Lower Saxony (Niedersachsen)
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Nordrhein-Westfalen	North Rhine- Westphalia (Nordrhein-Westfalen)
Rheinland-Pfalz	Rhineland-Palatinate (Rheinland-Pfalz)
Saarland	Saarland
Sachsen	Saxony (Freistaat Sachsen)
Sachsen-Anhalt	Saxony-Anhalt (Sachsen-Anhalt)
Schleswig-Holstein	Schleswig-Holstein
Thüringen	Thuringia (Freistaat Thüringen)
