Calendar Year,Land Class,Revenue Type,Mineral Lease Type,Commodity,Product,Revenue
2003,Native American,Other Revenues,Coal,Coal,,"-$2,313,440.42"
2003,Native American,Other Revenues,Coal,Coal,,"$34,915.51"
2003,Native American,Other Revenues,Copper,Copper,,"$100,000.00"
2003,Native American,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,"-$38,710.70"
2003,Native American,Other Revenues,Oil & Gas,Gas,Flash Gas,-$2.37
2003,Native American,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$188,934.40"
2003,Native American,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$44,053.80"
2003,Native American,Other Revenues,Oil & Gas,Oil,Oil,"-$95,448.89"
2003,Native American,Other Revenues,Oil & Gas,Oil,Inlet Scrubber,-$0.04
2003,Native American,Other Revenues,Oil & Gas,Oil,Condensate,"$36,147.98"
2003,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$1,247,575.12"
2003,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$4,540,198.99"
2003,Native American,Other Revenues,Sand & Gravel,Sand & Gravel,,"$294,170.00"
2003,Native American,Rents,Coal,Coal,,"-$354,950.56"
2003,Native American,Rents,Copper,Copper,,"$6,734.37"
2003,Native American,Rents,Gypsum,Gypsum,,"$1,040.00"
2003,Native American,Rents,Oil & Gas,Oil & Gas,,"$1,110,587.31"
2003,Native American,Rents,Sand & Gravel,Sand & Gravel,,"$1,197.11"
2003,Native American,Royalties,Cinders,Cinders,Cinders,"$6,846.75"
2003,Native American,Royalties,Coal,Coal,Coal-Bituminous-Raw,"$5,814.85"
2003,Native American,Royalties,Coal,Coal,Coal,"$54,528,901.32"
2003,Native American,Royalties,Copper,Copper,Copper Concentrate,"$1,620,359.12"
2003,Native American,Royalties,Oil & Gas,Gas,Flash Gas,$27.53
2003,Native American,Royalties,Oil & Gas,Gas,Fuel Gas,$536.59
2003,Native American,Royalties,Oil & Gas,Gas,Gas Lost - Flared or Vented,"$46,360.42"
2003,Native American,Royalties,Oil & Gas,Gas,Processed (Residue) Gas,"$11,864,694.03"
2003,Native American,Royalties,Oil & Gas,Gas,Coal Bed Methane,"$30,391,512.70"
2003,Native American,Royalties,Oil & Gas,Gas,Unprocessed (Wet) Gas,"$133,972,512.00"
2003,Native American,Royalties,Gypsum,Gypsum,Gypsum,"$269,934.34"
2003,Native American,Royalties,Oil & Gas,NGL,Gas Plant Products,"$4,380,322.57"
2003,Native American,Royalties,Oil & Gas,Oil,Drip or Scrubber Condensate,$180.74
2003,Native American,Royalties,Oil & Gas,Oil,Condensate,"$4,302,879.21"
2003,Native American,Royalties,Oil & Gas,Oil,Oil,"$44,151,991.53"
2003,Native American,Royalties,Phosphate,Phosphate,Ferro Phosphorous Slag,$409.68
2003,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel-Cubic Yards,"$332,782.53"
2003,Native American,Royalties,Sand & Gravel,Sand & Gravel,Sand/Gravel,"$3,533,422.80"
2003,Native American,Royalties,Oil & Gas,Sulfur,Sulfur,-$1.52
2004,Native American,Other Revenues,Coal,Coal,,"$5,962,512.33"
2004,Native American,Other Revenues,Oil & Gas,Gas,Unprocessed (Wet) Gas,"-$34,808.70"
2004,Native American,Other Revenues,Oil & Gas,Gas,Processed (Residue) Gas,"$15,538.73"
2004,Native American,Other Revenues,Oil & Gas,NGL,Gas Plant Products,"$32,769.41"
2004,Native American,Other Revenues,Oil & Gas,Oil,Oil,"-$124,858.13"
2004,Native American,Other Revenues,Oil & Gas,Oil,Condensate,"$38,772.22"
2004,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$3,116,428.78"
2004,Native American,Other Revenues,Oil & Gas,Oil & Gas,,"$11,056,421.96"
2004,Native American,Other Revenues,Phosphate,Phosphate,,"$2,700.00"
