Month,Calendar Year,Land Class,Land Category,Revenue Type,Commodity, Revenue ,,
January,2008,Federal,Offshore,Bonus,Oil & Gas," $352,786,866.00 ",,
January,2008,Federal,Offshore,Other Revenues,Gas," $1,514,528.00 ",,
January,2008,Federal,Offshore,Other Revenues,NGL," $2,386.45 ",,
January,2008,Federal,Offshore,Other Revenues,Oil," $(329,723.66)",,
January,2008,Federal,Offshore,Other Revenues,Oil & Gas," $8,266,265.08 ",,
January,2008,Federal,Offshore,Rents,Oil & Gas," $9,507,514.77 ",,
January,2008,Federal,Offshore,Royalties,Gas," $203,870,092.10 ",,
January,2008,Federal,Offshore,Royalties,NGL," $25,892,029.82 ",,
January,2008,Federal,Offshore,Royalties,Oil," $346,393,039.25 ",,
January,2008,Federal,Offshore,Royalties,Other Products," $5,267.86 ",,
January,2008,Federal,Onshore,Bonus,Coal," $178,563.60 ",,
January,2008,Federal,Onshore,Bonus,Hardrock," $1,147.00 ",,
January,2008,Federal,Onshore,Bonus,Oil & Gas," $32,094,816.00 ",,
January,2008,Federal,Onshore,Other Revenues,Coal," $92,664.99 ",,
January,2008,Federal,Onshore,Other Revenues,Gas," $2,853.55 ",,
January,2008,Federal,Onshore,Other Revenues,Geothermal," $(1,909.90)",,
January,2008,Federal,Onshore,Other Revenues,Gilsonite, $(672.73),,
January,2008,Federal,Onshore,Other Revenues,Hardrock," $(5,714.01)",,
January,2008,Federal,Onshore,Other Revenues,Oil & Gas," $7,946,597.40 ",,
January,2008,Federal,Onshore,Other Revenues,Phosphate," $(5,859.00)",,
January,2008,Federal,Onshore,Other Revenues,Potassium," $101,041.25 ",,
January,2008,Federal,Onshore,Other Revenues,Sand & Gravel, $320.59 ,,
January,2008,Federal,Onshore,Other Revenues,Sodium," $22,731.91 ",,
January,2008,Federal,Onshore,Rents,Coal," $164,169.69 ",,
January,2008,Federal,Onshore,Rents,Geothermal," $54,766.00 ",,
January,2008,Federal,Onshore,Rents,Gilsonite, $(140.00),,
January,2008,Federal,Onshore,Rents,Hardrock," $(32,597.10)",,
January,2008,Federal,Onshore,Rents,Hot Springs, $33.00 ,,
January,2008,Federal,Onshore,Rents,Oil & Gas," $5,573,046.44 ",,
January,2008,Federal,Onshore,Rents,Phosphate," $(8,591.00)",,
January,2008,Federal,Onshore,Rents,Potassium," $(38,471.50)",,
January,2008,Federal,Onshore,Rents,Sodium," $(60,412.00)",,
January,2008,Federal,Onshore,Royalties,Coal," $51,360,872.91 ",,
January,2008,Federal,Onshore,Royalties,Gas," $145,826,013.32 ",,
January,2008,Federal,Onshore,Royalties,NGL," $21,606,560.31 ",,
January,2008,Federal,Onshore,Royalties,Oil," $78,778,364.67 ",,
January,2008,Federal,Onshore,Royalties,Other Products," $5,226,365.56 ",,
January,2008,Federal,,Civil Penalties,," $276,773.57 ",,
January,2008,Federal,,Other Revenues,," $(3,663.59)",,
January,2008,Native American,Onshore,Other Revenues,Coal," $4,788,215.12 ",,
January,2008,Native American,Onshore,Other Revenues,Copper," $150,000.00 ",,
January,2008,Native American,Onshore,Other Revenues,Gas," $2,109.96 ",,
January,2008,Native American,Onshore,Other Revenues,NGL," $3,440.65 ",,
January,2008,Native American,Onshore,Other Revenues,Oil, $(903.44),,
January,2008,Native American,Onshore,Other Revenues,Oil & Gas," $(173,478.26)",,
January,2008,Native American,Onshore,Other Revenues,Sand & Gravel," $25,000.00 ",,
January,2008,Native American,Onshore,Rents,Coal," $(65,234.56)",,
January,2008,Native American,Onshore,Rents,Oil & Gas," $102,668.39 ",,
January,2008,Native American,Onshore,Royalties,Coal," $5,721,721.16 ",,
January,2008,Native American,Onshore,Royalties,Gas," $19,538,176.78 ",,
January,2008,Native American,Onshore,Royalties,NGL," $2,735,749.97 ",,
January,2008,Native American,Onshore,Royalties,Oil," $8,903,597.65 ",,
January,2008,Native American,Onshore,Royalties,Other Products," $80,256.97 ",,
February,2008,Federal,Offshore,Bonus,Oil & Gas," $629,077,931.00 ",,
February,2008,Federal,Offshore,Other Revenues,Gas," $20,090.93 ",,
February,2008,Federal,Offshore,Other Revenues,NGL," $2,883.77 ",,
February,2008,Federal,Offshore,Other Revenues,Oil," $605,129.90 ",,
February,2008,Federal,Offshore,Other Revenues,Oil & Gas," $4,451,287.99 ",,
February,2008,Federal,Offshore,Rents,Oil & Gas," $12,873,314.30 ",,
February,2008,Federal,Offshore,Royalties,Gas," $240,128,191.28 ",,
February,2008,Federal,Offshore,Royalties,NGL," $29,219,160.76 ",,
February,2008,Federal,Offshore,Royalties,Oil," $312,936,211.60 ",,
February,2008,Federal,Offshore,Royalties,Other Products," $11,077.20 ",,
February,2008,Federal,Onshore,Bonus,Coal," $214,677,491.26 ",,
February,2008,Federal,Onshore,Bonus,Oil & Gas," $19,597,975.75 ",,
February,2008,Federal,Onshore,Other Revenues,Coal," $998,859.87 ",,
February,2008,Federal,Onshore,Other Revenues,Gas," $4,061.42 ",,
February,2008,Federal,Onshore,Other Revenues,Geothermal," $(60,057.84)",,
February,2008,Federal,Onshore,Other Revenues,Gilsonite," $1,080.00 ",,
February,2008,Federal,Onshore,Other Revenues,Hardrock, $228.95 ,,
February,2008,Federal,Onshore,Other Revenues,Oil & Gas," $3,861,752.60 ",,
February,2008,Federal,Onshore,Other Revenues,Phosphate," $13,077.00 ",,
February,2008,Federal,Onshore,Other Revenues,Potassium," $22,677.94 ",,
February,2008,Federal,Onshore,Other Revenues,Sodium," $(41,165.40)",,
