Month,Calendar Year,Fund Type,Land Category,Disbursement Type,State ,County,Commodity,Category,Disbursement
October,2018,Bureau of Land Management,Onshore,,,,Gas,Royalties,"28,718.64"
October,2018,Bureau of Land Management,Onshore,,,,Oil,Royalties,"244,780.29"
October,2018,Bureau of Land Management,Onshore,,,,Oil & Gas,Other Distributions,"5,353.54"
October,2018,Bureau of Land Management,Onshore,,,,Oil & Gas,Rents & Bonuses,40
October,2018,Bureau of Ocean Energy Management,Offshore,,,,,Rents & Bonuses,"139,795.17"
October,2018,Bureau of Ocean Energy Management,Offshore,,,,Oil & Gas,Rents & Bonuses,"2,901,671.58"
October,2018,Bureau of Safety & Environmental Enforcement,Offshore,,,,,Other Distributions,"2,522,482.08"
October,2018,Bureau of Safety & Environmental Enforcement,Offshore,,,,,Rents & Bonuses,"-139,795.17"
October,2018,Bureau of Safety & Environmental Enforcement,Offshore,,,,Oil & Gas,Rents & Bonuses,"1,733,821.70"
October,2018,Fish & Wildlife,Onshore,,,,Gas,Royalties,"34,175.04"
October,2018,Fish & Wildlife,Onshore,,,,Oil,Royalties,"62,562.83"
October,2018,Fish & Wildlife,Onshore,,,,Oil & Gas,Other Distributions,-606.4
October,2018,Forest Service,Onshore,,,,Coal,Royalties,"5,987.54"
October,2018,Forest Service,Onshore,,,,Gas,Royalties,"1,929,057.79"
October,2018,Forest Service,Onshore,,,,Hardrock,Other Distributions,622.06
October,2018,Forest Service,Onshore,,,,Hardrock,Rents & Bonuses,-588.41
October,2018,Forest Service,Onshore,,,,Hardrock,Royalties,-118.5
October,2018,Forest Service,Onshore,,,,Lead/Zinc,Royalties,"540,416.00"
October,2018,Forest Service,Onshore,,,,Oil,Other Distributions,"-3,427.49"
October,2018,Forest Service,Onshore,,,,Oil,Royalties,"9,400,437.79"
October,2018,Forest Service,Onshore,,,,Oil & Gas,Other Distributions,"36,797.53"
October,2018,Forest Service,Onshore,,,,Oil & Gas,Rents & Bonuses,"649,455.68"
October,2018,Forest Service,Onshore,,,,Oil & Gas,Royalties,-5.61
October,2018,Forest Service,Onshore,,,,Quartz,Royalties,3.68
October,2018,Land & Water Conservation Fund,Offshore,GoMESA,,,Gas,Royalties,"427,064.68"
October,2018,Land & Water Conservation Fund,Offshore,GoMESA,,,Oil,Royalties,"5,410,423.74"
October,2018,Land & Water Conservation Fund,Offshore,GoMESA,,,Oil & Gas,Rents & Bonuses,"213,919.75"
October,2018,Land & Water Conservation Fund,Offshore,GoMESA,,,Oil & Gas,Royalties,"-370,252.11"
October,2018,Lease Process Improvement (BLM),Onshore,,,,Coal,Rents & Bonuses,"-250,591.23"
October,2018,Lease Process Improvement (BLM),Onshore,,,,Copper,Rents & Bonuses,10
October,2018,Lease Process Improvement (BLM),Onshore,,,,Gilsonite,Rents & Bonuses,10
October,2018,Lease Process Improvement (BLM),Onshore,,,,Oil & Gas,Rents & Bonuses,"463,523.56"
October,2018,Lease Process Improvement (BLM),Onshore,,,,Phosphate,Rents & Bonuses,"-1,037.50"
October,2018,Lease Process Improvement (BLM),Onshore,,,,Sodium,Rents & Bonuses,-649.5
October,2018,Native American Tribes & Allottees,Onshore,,,,,Other Distributions,"2,896,202.96"
