Month,Calendar Year,Land Class,Land Category,Commodity, Volume 
January,2008,Federal,Offshore,Gas Prod Vol (mcf)," 248,490,857 "
January,2008,Federal,Offshore,Oil Prod Vol (bbl)," 42,606,099 "
January,2008,Federal,Onshore,Coal Prod Vol (ton)," 39,826,706 "
January,2008,Federal,Onshore,Gas Prod Vol (mcf)," 312,660,129 "
January,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,220,194 "
January,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,219,944 "
January,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,637,393 "
January,2008,Native American,Onshore,Oil Prod Vol (bbl)," 949,729 "
February,2008,Federal,Offshore,Gas Prod Vol (mcf)," 235,859,125 "
February,2008,Federal,Offshore,Oil Prod Vol (bbl)," 40,962,500 "
February,2008,Federal,Onshore,Coal Prod Vol (ton)," 39,722,690 "
February,2008,Federal,Onshore,Gas Prod Vol (mcf)," 295,539,278 "
February,2008,Federal,Onshore,Oil Prod Vol (bbl)," 7,771,392 "
February,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,110,049 "
February,2008,Native American,Onshore,Gas Prod Vol (mcf)," 23,269,874 "
February,2008,Native American,Onshore,Oil Prod Vol (bbl)," 889,673 "
March,2008,Federal,Offshore,Gas Prod Vol (mcf)," 247,274,634 "
March,2008,Federal,Offshore,Oil Prod Vol (bbl)," 42,829,108 "
March,2008,Federal,Onshore,Coal Prod Vol (ton)," 40,804,536 "
March,2008,Federal,Onshore,Gas Prod Vol (mcf)," 330,378,708 "
March,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,445,189 "
March,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,155,616 "
March,2008,Native American,Onshore,Gas Prod Vol (mcf)," 25,869,768 "
March,2008,Native American,Onshore,Oil Prod Vol (bbl)," 978,417 "
April,2008,Federal,Offshore,Gas Prod Vol (mcf)," 216,578,009 "
April,2008,Federal,Offshore,Oil Prod Vol (bbl)," 41,473,344 "
April,2008,Federal,Onshore,Coal Prod Vol (ton)," 40,910,901 "
April,2008,Federal,Onshore,Gas Prod Vol (mcf)," 320,365,374 "
April,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,203,085 "
April,2008,Native American,Onshore,Coal Prod Vol (ton)," 1,898,899 "
April,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,926,987 "
April,2008,Native American,Onshore,Oil Prod Vol (bbl)," 969,526 "
May,2008,Federal,Offshore,Gas Prod Vol (mcf)," 215,879,011 "
May,2008,Federal,Offshore,Oil Prod Vol (bbl)," 42,487,377 "
May,2008,Federal,Onshore,Coal Prod Vol (ton)," 39,398,953 "
May,2008,Federal,Onshore,Gas Prod Vol (mcf)," 328,688,164 "
May,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,417,004 "
May,2008,Native American,Onshore,Coal Prod Vol (ton)," 1,985,025 "
May,2008,Native American,Onshore,Gas Prod Vol (mcf)," 25,782,062 "
May,2008,Native American,Onshore,Oil Prod Vol (bbl)," 988,234 "
June,2008,Federal,Offshore,Gas Prod Vol (mcf)," 227,474,811 "
June,2008,Federal,Offshore,Oil Prod Vol (bbl)," 42,245,273 "
June,2008,Federal,Onshore,Coal Prod Vol (ton)," 36,648,691 "
June,2008,Federal,Onshore,Gas Prod Vol (mcf)," 318,546,837 "
June,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,122,796 "
June,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,325,913 "
June,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,926,540 "
June,2008,Native American,Onshore,Oil Prod Vol (bbl)," 931,760 "
July,2008,Federal,Offshore,Gas Prod Vol (mcf)," 238,496,588 "
July,2008,Federal,Offshore,Oil Prod Vol (bbl)," 44,768,936 "
July,2008,Federal,Onshore,Coal Prod Vol (ton)," 39,415,274 "
July,2008,Federal,Onshore,Gas Prod Vol (mcf)," 333,959,923 "
July,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,379,267 "
July,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,640,388 "
July,2008,Native American,Onshore,Gas Prod Vol (mcf)," 26,046,689 "
July,2008,Native American,Onshore,Oil Prod Vol (bbl)," 982,151 "
August,2008,Federal,Offshore,Gas Prod Vol (mcf)," 219,912,312 "
August,2008,Federal,Offshore,Oil Prod Vol (bbl)," 41,929,189 "
August,2008,Federal,Onshore,Coal Prod Vol (ton)," 42,988,014 "
August,2008,Federal,Onshore,Gas Prod Vol (mcf)," 333,048,372 "
August,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,408,431 "
August,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,439,253 "
August,2008,Native American,Onshore,Gas Prod Vol (mcf)," 25,588,500 "
August,2008,Native American,Onshore,Oil Prod Vol (bbl)," 995,867 "
September,2008,Federal,Offshore,Gas Prod Vol (mcf)," 69,750,474 "
September,2008,Federal,Offshore,Oil Prod Vol (bbl)," 9,582,637 "
September,2008,Federal,Onshore,Coal Prod Vol (ton)," 40,421,871 "
September,2008,Federal,Onshore,Gas Prod Vol (mcf)," 307,716,137 "
September,2008,Federal,Onshore,Oil Prod Vol (bbl)," 7,991,833 "
September,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,387,588 "
September,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,929,264 "
September,2008,Native American,Onshore,Oil Prod Vol (bbl)," 982,840 "
October,2008,Federal,Offshore,Gas Prod Vol (mcf)," 141,886,453 "
October,2008,Federal,Offshore,Oil Prod Vol (bbl)," 27,187,007 "
October,2008,Federal,Onshore,Coal Prod Vol (ton)," 45,051,206 "
October,2008,Federal,Onshore,Gas Prod Vol (mcf)," 335,787,416 "
October,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,638,501 "
October,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,511,635 "
October,2008,Native American,Onshore,Gas Prod Vol (mcf)," 25,749,156 "
October,2008,Native American,Onshore,Oil Prod Vol (bbl)," 1,040,903 "
November,2008,Federal,Offshore,Gas Prod Vol (mcf)," 165,714,441 "
November,2008,Federal,Offshore,Oil Prod Vol (bbl)," 34,897,915 "
November,2008,Federal,Onshore,Coal Prod Vol (ton)," 42,442,150 "
November,2008,Federal,Onshore,Gas Prod Vol (mcf)," 333,842,804 "
November,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,516,956 "
November,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,153,188 "
November,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,890,411 "
November,2008,Native American,Onshore,Oil Prod Vol (bbl)," 1,006,857 "
December,2008,Federal,Offshore,Gas Prod Vol (mcf)," 182,939,915 "
December,2008,Federal,Offshore,Oil Prod Vol (bbl)," 39,386,554 "
December,2008,Federal,Onshore,Coal Prod Vol (ton)," 39,493,994 "
December,2008,Federal,Onshore,Gas Prod Vol (mcf)," 339,550,361 "
December,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,620,414 "
December,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,125,407 "
December,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,914,074 "
December,2008,Native American,Onshore,Oil Prod Vol (bbl)," 1,008,216 "
January,2009,Federal,Offshore,Gas Prod Vol (mcf)," 203,622,290 "
January,2009,Federal,Offshore,Oil Prod Vol (bbl)," 41,973,019 "
January,2009,Federal,Onshore,Coal Prod Vol (ton)," 40,936,177 "
January,2009,Federal,Onshore,Gas Prod Vol (mcf)," 344,852,891 "
January,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,746,150 "
January,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,052,390 "
January,2009,Native American,Onshore,Gas Prod Vol (mcf)," 24,814,199 "
January,2009,Native American,Onshore,Oil Prod Vol (bbl)," 991,103 "
February,2009,Federal,Offshore,Gas Prod Vol (mcf)," 191,804,668 "
February,2009,Federal,Offshore,Oil Prod Vol (bbl)," 39,012,664 "
February,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,145,606 "
February,2009,Federal,Onshore,Gas Prod Vol (mcf)," 317,362,492 "
February,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,022,838 "
February,2009,Native American,Onshore,Coal Prod Vol (ton)," 1,804,533 "
February,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,261,845 "
February,2009,Native American,Onshore,Oil Prod Vol (bbl)," 927,028 "
March,2009,Federal,Offshore,Gas Prod Vol (mcf)," 213,281,410 "
March,2009,Federal,Offshore,Oil Prod Vol (bbl)," 43,427,740 "
March,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,238,167 "
March,2009,Federal,Onshore,Gas Prod Vol (mcf)," 348,465,709 "
March,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,757,879 "
March,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,147,583 "
March,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,595,627 "
March,2009,Native American,Onshore,Oil Prod Vol (bbl)," 998,759 "
April,2009,Federal,Offshore,Gas Prod Vol (mcf)," 207,810,779 "
April,2009,Federal,Offshore,Oil Prod Vol (bbl)," 46,010,003 "
April,2009,Federal,Onshore,Coal Prod Vol (ton)," 33,485,662 "
April,2009,Federal,Onshore,Gas Prod Vol (mcf)," 331,667,322 "
April,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,441,209 "
April,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,319,185 "
April,2009,Native American,Onshore,Gas Prod Vol (mcf)," 24,527,956 "
April,2009,Native American,Onshore,Oil Prod Vol (bbl)," 961,711 "
May,2009,Federal,Offshore,Gas Prod Vol (mcf)," 211,607,984 "
May,2009,Federal,Offshore,Oil Prod Vol (bbl)," 50,184,696 "
May,2009,Federal,Onshore,Coal Prod Vol (ton)," 35,278,770 "
May,2009,Federal,Onshore,Gas Prod Vol (mcf)," 338,813,614 "
May,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,681,357 "
May,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,234,668 "
May,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,113,352 "
May,2009,Native American,Onshore,Oil Prod Vol (bbl)," 996,833 "
June,2009,Federal,Offshore,Gas Prod Vol (mcf)," 217,591,316 "
June,2009,Federal,Offshore,Oil Prod Vol (bbl)," 48,912,541 "
June,2009,Federal,Onshore,Coal Prod Vol (ton)," 32,689,883 "
June,2009,Federal,Onshore,Gas Prod Vol (mcf)," 324,421,326 "
June,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,389,179 "
June,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,309,024 "
June,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,403,687 "
June,2009,Native American,Onshore,Oil Prod Vol (bbl)," 959,037 "
July,2009,Federal,Offshore,Gas Prod Vol (mcf)," 230,853,923 "
July,2009,Federal,Offshore,Oil Prod Vol (bbl)," 55,929,870 "
July,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,422,436 "
July,2009,Federal,Onshore,Gas Prod Vol (mcf)," 319,839,782 "
July,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,502,519 "
July,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,345,725 "
July,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,111,605 "
July,2009,Native American,Onshore,Oil Prod Vol (bbl)," 987,911 "
August,2009,Federal,Offshore,Gas Prod Vol (mcf)," 217,192,785 "
August,2009,Federal,Offshore,Oil Prod Vol (bbl)," 55,888,407 "
August,2009,Federal,Onshore,Coal Prod Vol (ton)," 39,778,093 "
August,2009,Federal,Onshore,Gas Prod Vol (mcf)," 331,219,116 "
August,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,556,320 "
August,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,209,028 "
August,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,137,020 "
August,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,005,406 "
September,2009,Federal,Offshore,Gas Prod Vol (mcf)," 206,509,298 "
September,2009,Federal,Offshore,Oil Prod Vol (bbl)," 54,475,256 "
September,2009,Federal,Onshore,Coal Prod Vol (ton)," 39,392,564 "
September,2009,Federal,Onshore,Gas Prod Vol (mcf)," 309,654,311 "
September,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,359,865 "
September,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,364,021 "
September,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,774,673 "
September,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,007,136 "
October,2009,Federal,Offshore,Gas Prod Vol (mcf)," 215,160,066 "
October,2009,Federal,Offshore,Oil Prod Vol (bbl)," 55,603,913 "
October,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,081,263 "
October,2009,Federal,Onshore,Gas Prod Vol (mcf)," 337,866,468 "
October,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,702,033 "
October,2009,Native American,Onshore,Coal Prod Vol (ton)," 1,966,556 "
October,2009,Native American,Onshore,Gas Prod Vol (mcf)," 24,526,007 "
October,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,091,648 "
November,2009,Federal,Offshore,Gas Prod Vol (mcf)," 200,249,927 "
November,2009,Federal,Offshore,Oil Prod Vol (bbl)," 48,913,662 "
November,2009,Federal,Onshore,Coal Prod Vol (ton)," 37,614,021 "
November,2009,Federal,Onshore,Gas Prod Vol (mcf)," 333,990,734 "
November,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,584,570 "
November,2009,Native American,Onshore,Coal Prod Vol (ton)," 1,840,979 "
November,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,547,046 "
November,2009,Native American,Onshore,Oil Prod Vol (bbl)," 1,035,686 "
December,2009,Federal,Offshore,Gas Prod Vol (mcf)," 207,451,176 "
December,2009,Federal,Offshore,Oil Prod Vol (bbl)," 54,072,783 "
December,2009,Federal,Onshore,Coal Prod Vol (ton)," 36,374,086 "
December,2009,Federal,Onshore,Gas Prod Vol (mcf)," 335,530,432 "
December,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,650,743 "
