Month,Calendar Year,Land Class,Land Category,Commodity, Volume ,
January,2008,Federal,Offshore,Gas Prod Vol (mcf)," 248,400,297 "," 248,400,297 "
January,2008,Federal,Offshore,Oil Prod Vol (bbl)," 42,599,202 "," 42,599,202 "
January,2008,Federal,Onshore,Coal Prod Vol (ton)," 39,826,706 "," 39,826,706 "
January,2008,Federal,Onshore,Gas Prod Vol (mcf)," 312,660,017 "," 312,660,017 "
January,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,220,194 "," 8,220,194 "
January,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,219,944 "," 2,219,944 "
January,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,637,393 "," 24,637,393 "
January,2008,Native American,Onshore,Oil Prod Vol (bbl)," 949,729 "," 949,729 "
February,2008,Federal,Offshore,Gas Prod Vol (mcf)," 235,770,383 "," 235,770,383 "
February,2008,Federal,Offshore,Oil Prod Vol (bbl)," 40,956,063 "," 40,956,063 "
February,2008,Federal,Onshore,Coal Prod Vol (ton)," 39,722,690 "," 39,722,690 "
February,2008,Federal,Onshore,Gas Prod Vol (mcf)," 295,539,166 "," 295,539,166 "
February,2008,Federal,Onshore,Oil Prod Vol (bbl)," 7,771,392 "," 7,771,392 "
February,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,110,049 "," 2,110,049 "
February,2008,Native American,Onshore,Gas Prod Vol (mcf)," 23,269,874 "," 23,269,874 "
February,2008,Native American,Onshore,Oil Prod Vol (bbl)," 889,673 "," 889,673 "
March,2008,Federal,Offshore,Gas Prod Vol (mcf)," 247,177,565 "," 247,177,565 "
March,2008,Federal,Offshore,Oil Prod Vol (bbl)," 42,822,573 "," 42,822,573 "
March,2008,Federal,Onshore,Coal Prod Vol (ton)," 40,804,536 "," 40,804,536 "
March,2008,Federal,Onshore,Gas Prod Vol (mcf)," 330,378,607 "," 330,378,607 "
March,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,445,189 "," 8,445,189 "
March,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,155,616 "," 2,155,616 "
March,2008,Native American,Onshore,Gas Prod Vol (mcf)," 25,869,768 "," 25,869,768 "
March,2008,Native American,Onshore,Oil Prod Vol (bbl)," 978,417 "," 978,417 "
April,2008,Federal,Offshore,Gas Prod Vol (mcf)," 216,495,713 "," 216,495,713 "
April,2008,Federal,Offshore,Oil Prod Vol (bbl)," 41,467,617 "," 41,467,617 "
April,2008,Federal,Onshore,Coal Prod Vol (ton)," 40,910,901 "," 40,910,901 "
April,2008,Federal,Onshore,Gas Prod Vol (mcf)," 320,365,275 "," 320,365,275 "
April,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,203,085 "," 8,203,085 "
April,2008,Native American,Onshore,Coal Prod Vol (ton)," 1,898,899 "," 1,898,899 "
April,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,926,987 "," 24,926,987 "
April,2008,Native American,Onshore,Oil Prod Vol (bbl)," 969,526 "," 969,526 "
May,2008,Federal,Offshore,Gas Prod Vol (mcf)," 215,807,069 "," 215,807,069 "
May,2008,Federal,Offshore,Oil Prod Vol (bbl)," 42,482,211 "," 42,482,211 "
May,2008,Federal,Onshore,Coal Prod Vol (ton)," 39,398,953 "," 39,398,953 "
May,2008,Federal,Onshore,Gas Prod Vol (mcf)," 328,688,069 "," 328,688,069 "
May,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,417,004 "," 8,417,004 "
May,2008,Native American,Onshore,Coal Prod Vol (ton)," 1,985,025 "," 1,985,025 "
May,2008,Native American,Onshore,Gas Prod Vol (mcf)," 25,782,062 "," 25,782,062 "
May,2008,Native American,Onshore,Oil Prod Vol (bbl)," 988,234 "," 988,234 "
June,2008,Federal,Offshore,Gas Prod Vol (mcf)," 227,376,555 "," 227,376,555 "
June,2008,Federal,Offshore,Oil Prod Vol (bbl)," 42,239,694 "," 42,239,694 "
June,2008,Federal,Onshore,Coal Prod Vol (ton)," 36,648,691 "," 36,648,691 "
June,2008,Federal,Onshore,Gas Prod Vol (mcf)," 318,546,756 "," 318,546,756 "
June,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,122,796 "," 8,122,796 "
June,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,325,913 "," 2,325,913 "
June,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,926,540 "," 24,926,540 "
June,2008,Native American,Onshore,Oil Prod Vol (bbl)," 931,760 "," 931,760 "
July,2008,Federal,Offshore,Gas Prod Vol (mcf)," 238,394,832 "," 238,394,832 "
July,2008,Federal,Offshore,Oil Prod Vol (bbl)," 44,763,309 "," 44,763,309 "
July,2008,Federal,Onshore,Coal Prod Vol (ton)," 39,415,274 "," 39,415,274 "
July,2008,Federal,Onshore,Gas Prod Vol (mcf)," 333,959,816 "," 333,959,816 "
July,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,379,267 "," 8,379,267 "
July,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,640,388 "," 2,640,388 "
July,2008,Native American,Onshore,Gas Prod Vol (mcf)," 26,046,689 "," 26,046,689 "
July,2008,Native American,Onshore,Oil Prod Vol (bbl)," 982,151 "," 982,151 "
August,2008,Federal,Offshore,Gas Prod Vol (mcf)," 219,812,954 "," 219,812,954 "
August,2008,Federal,Offshore,Oil Prod Vol (bbl)," 41,923,938 "," 41,923,938 "
August,2008,Federal,Onshore,Coal Prod Vol (ton)," 42,988,014 "," 42,988,014 "
August,2008,Federal,Onshore,Gas Prod Vol (mcf)," 333,048,280 "," 333,048,280 "
August,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,408,431 "," 8,408,431 "
August,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,439,253 "," 2,439,253 "
August,2008,Native American,Onshore,Gas Prod Vol (mcf)," 25,588,500 "," 25,588,500 "
August,2008,Native American,Onshore,Oil Prod Vol (bbl)," 995,867 "," 995,867 "
September,2008,Federal,Offshore,Gas Prod Vol (mcf)," 69,647,740 "," 69,647,740 "
September,2008,Federal,Offshore,Oil Prod Vol (bbl)," 9,577,187 "," 9,577,187 "
September,2008,Federal,Onshore,Coal Prod Vol (ton)," 40,421,871 "," 40,421,871 "
September,2008,Federal,Onshore,Gas Prod Vol (mcf)," 307,716,035 "," 307,716,035 "
September,2008,Federal,Onshore,Oil Prod Vol (bbl)," 7,991,833 "," 7,991,833 "
September,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,387,588 "," 2,387,588 "
September,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,929,264 "," 24,929,264 "
September,2008,Native American,Onshore,Oil Prod Vol (bbl)," 982,840 "," 982,840 "
October,2008,Federal,Offshore,Gas Prod Vol (mcf)," 141,790,530 "," 141,790,530 "
October,2008,Federal,Offshore,Oil Prod Vol (bbl)," 27,181,924 "," 27,181,924 "
October,2008,Federal,Onshore,Coal Prod Vol (ton)," 45,051,206 "," 45,051,206 "
October,2008,Federal,Onshore,Gas Prod Vol (mcf)," 335,787,316 "," 335,787,316 "
October,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,638,501 "," 8,638,501 "
October,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,511,635 "," 2,511,635 "
October,2008,Native American,Onshore,Gas Prod Vol (mcf)," 25,749,156 "," 25,749,156 "
October,2008,Native American,Onshore,Oil Prod Vol (bbl)," 1,040,903 "," 1,040,903 "
November,2008,Federal,Offshore,Gas Prod Vol (mcf)," 165,603,446 "," 165,603,446 "
November,2008,Federal,Offshore,Oil Prod Vol (bbl)," 34,892,543 "," 34,892,543 "
November,2008,Federal,Onshore,Coal Prod Vol (ton)," 42,442,150 "," 42,442,150 "
November,2008,Federal,Onshore,Gas Prod Vol (mcf)," 333,842,720 "," 333,842,720 "
November,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,516,956 "," 8,516,956 "
November,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,153,188 "," 2,153,188 "
November,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,890,411 "," 24,890,411 "
November,2008,Native American,Onshore,Oil Prod Vol (bbl)," 1,006,857 "," 1,006,857 "
December,2008,Federal,Offshore,Gas Prod Vol (mcf)," 182,831,320 "," 182,831,320 "
December,2008,Federal,Offshore,Oil Prod Vol (bbl)," 39,381,348 "," 39,381,348 "
December,2008,Federal,Onshore,Coal Prod Vol (ton)," 39,493,994 "," 39,493,994 "
December,2008,Federal,Onshore,Gas Prod Vol (mcf)," 339,550,275 "," 339,550,275 "
December,2008,Federal,Onshore,Oil Prod Vol (bbl)," 8,620,414 "," 8,620,414 "
December,2008,Native American,Onshore,Coal Prod Vol (ton)," 2,125,407 "," 2,125,407 "
December,2008,Native American,Onshore,Gas Prod Vol (mcf)," 24,914,074 "," 24,914,074 "
December,2008,Native American,Onshore,Oil Prod Vol (bbl)," 1,008,216 "," 1,008,216 "
January,2009,Federal,Offshore,Gas Prod Vol (mcf)," 203,532,279 "," 203,532,279 "
January,2009,Federal,Offshore,Oil Prod Vol (bbl)," 41,968,432 "," 41,968,432 "
January,2009,Federal,Onshore,Coal Prod Vol (ton)," 40,936,177 "," 40,936,177 "
January,2009,Federal,Onshore,Gas Prod Vol (mcf)," 344,852,736 "," 344,852,736 "
January,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,746,150 "," 8,746,150 "
January,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,052,390 "," 2,052,390 "
January,2009,Native American,Onshore,Gas Prod Vol (mcf)," 24,814,199 "," 24,814,199 "
January,2009,Native American,Onshore,Oil Prod Vol (bbl)," 991,103 "," 991,103 "
February,2009,Federal,Offshore,Gas Prod Vol (mcf)," 191,727,944 "," 191,727,944 "
February,2009,Federal,Offshore,Oil Prod Vol (bbl)," 39,008,618 "," 39,008,618 "
February,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,145,606 "," 38,145,606 "
February,2009,Federal,Onshore,Gas Prod Vol (mcf)," 317,364,090 "," 317,364,090 "
February,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,022,845 "," 8,022,845 "
February,2009,Native American,Onshore,Coal Prod Vol (ton)," 1,804,533 "," 1,804,533 "
February,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,261,845 "," 23,261,845 "
February,2009,Native American,Onshore,Oil Prod Vol (bbl)," 927,028 "," 927,028 "
March,2009,Federal,Offshore,Gas Prod Vol (mcf)," 213,188,631 "," 213,188,631 "
March,2009,Federal,Offshore,Oil Prod Vol (bbl)," 43,423,086 "," 43,423,086 "
March,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,238,167 "," 38,238,167 "
March,2009,Federal,Onshore,Gas Prod Vol (mcf)," 348,488,404 "," 348,488,404 "
March,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,757,988 "," 8,757,988 "
March,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,147,583 "," 2,147,583 "
March,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,595,627 "," 25,595,627 "
March,2009,Native American,Onshore,Oil Prod Vol (bbl)," 998,759 "," 998,759 "
April,2009,Federal,Offshore,Gas Prod Vol (mcf)," 207,718,687 "," 207,718,687 "
April,2009,Federal,Offshore,Oil Prod Vol (bbl)," 46,005,495 "," 46,005,495 "
April,2009,Federal,Onshore,Coal Prod Vol (ton)," 33,485,662 "," 33,485,662 "
April,2009,Federal,Onshore,Gas Prod Vol (mcf)," 331,688,579 "," 331,688,579 "
April,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,441,292 "," 8,441,292 "
April,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,319,185 "," 2,319,185 "
April,2009,Native American,Onshore,Gas Prod Vol (mcf)," 24,527,956 "," 24,527,956 "
April,2009,Native American,Onshore,Oil Prod Vol (bbl)," 961,711 "," 961,711 "
May,2009,Federal,Offshore,Gas Prod Vol (mcf)," 211,512,189 "," 211,512,189 "
May,2009,Federal,Offshore,Oil Prod Vol (bbl)," 50,180,149 "," 50,180,149 "
May,2009,Federal,Onshore,Coal Prod Vol (ton)," 35,278,770 "," 35,278,770 "
May,2009,Federal,Onshore,Gas Prod Vol (mcf)," 338,836,333 "," 338,836,333 "
May,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,681,461 "," 8,681,461 "
May,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,234,668 "," 2,234,668 "
May,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,113,352 "," 25,113,352 "
May,2009,Native American,Onshore,Oil Prod Vol (bbl)," 996,833 "," 996,833 "
June,2009,Federal,Offshore,Gas Prod Vol (mcf)," 217,496,774 "," 217,496,774 "
June,2009,Federal,Offshore,Oil Prod Vol (bbl)," 48,907,994 "," 48,907,994 "
June,2009,Federal,Onshore,Coal Prod Vol (ton)," 32,689,883 "," 32,689,883 "
June,2009,Federal,Onshore,Gas Prod Vol (mcf)," 324,440,210 "," 324,440,210 "
June,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,389,266 "," 8,389,266 "
June,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,309,024 "," 2,309,024 "
June,2009,Native American,Onshore,Gas Prod Vol (mcf)," 23,403,675 "," 23,403,675 "
June,2009,Native American,Onshore,Oil Prod Vol (bbl)," 959,037 "," 959,037 "
July,2009,Federal,Offshore,Gas Prod Vol (mcf)," 230,755,180 "," 230,755,180 "
July,2009,Federal,Offshore,Oil Prod Vol (bbl)," 55,925,639 "," 55,925,639 "
July,2009,Federal,Onshore,Coal Prod Vol (ton)," 38,422,436 "," 38,422,436 "
July,2009,Federal,Onshore,Gas Prod Vol (mcf)," 319,856,821 "," 319,856,821 "
July,2009,Federal,Onshore,Oil Prod Vol (bbl)," 8,502,606 "," 8,502,606 "
July,2009,Native American,Onshore,Coal Prod Vol (ton)," 2,345,725 "," 2,345,725 "
July,2009,Native American,Onshore,Gas Prod Vol (mcf)," 25,111,605 "," 25,111,605 "
July,2009,Native American,Onshore,Oil Prod Vol (bbl)," 987,911 "," 987,911 "
August,2009,Federal,Offshore,Gas Prod Vol (mcf)," 217,092,121 "," 217,092,121 "
