"Value Added by Industry as a Percentage of Gross Domestic Product"
"[Percent]" 
"Bureau of Economic Analysis" 
"Release Date: November 13, 2014"
"Line","","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"    1","    Gross domestic product",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"    2","Private industries",86.8,86.9,86.8,86.4,85.7,85.7,86.0,86.4,86.8
"    3","  Agriculture, forestry, fishing, and hunting",1.0,0.9,1.0,1.0,1.0,1.1,1.3,1.2,1.4
"    4","    Farms",0.8,0.7,0.8,0.9,0.8,0.9,1.1,1.0,1.1
"    5","    Forestry, fishing, and related activities",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"    6","  Mining",1.7,2.0,2.2,2.7,2.0,2.2,2.6,2.5,2.6
"    7","    Oil and gas extraction",1.2,1.3,1.4,1.9,1.3,1.4,1.6,1.6,1.7
"    8","    Mining, except oil and gas",0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.5
"    9","    Support activities for mining",0.2,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4
"    10","  Utilities",1.5,1.7,1.6,1.6,1.7,1.8,1.8,1.6,1.6
"    11","  Construction",5.0,5.0,4.9,4.4,4.0,3.6,3.5,3.6,3.7
"    12","  Manufacturing",13.0,13.0,12.8,12.3,12.0,12.2,12.3,12.3,12.1
"    13","    Durable goods",7.3,7.3,7.1,6.8,6.1,6.4,6.5,6.5,6.5
"    14","      Wood products",0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2
"    15","      Nonmetallic mineral products",0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2
"    16","      Primary metals",0.4,0.5,0.4,0.5,0.3,0.3,0.4,0.4,0.4
"    17","      Fabricated metal products",0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.9,0.8
"    18","      Machinery",0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,0.9
"    19","      Computer and electronic products",1.6,1.6,1.6,1.6,1.6,1.7,1.6,1.6,1.5
"    20","      Electrical equipment, appliances, and components",0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3
"    21","      Motor vehicles, bodies and trailers, and parts",1.0,1.0,0.9,0.6,0.3,0.6,0.7,0.8,0.8
"    22","      Other transportation equipment",0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.7
"    23","      Furniture and related products",0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
"    24","      Miscellaneous manufacturing",0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5
"    25","    Nondurable goods",5.7,5.8,5.7,5.6,5.9,5.8,5.8,5.8,5.6
"    26","      Food and beverage and tobacco products",1.4,1.4,1.3,1.4,1.7,1.5,1.4,1.4,1.4
"    27","      Textile mills and textile product mills",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"    28","      Apparel and leather and allied products",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"    29","      Paper products",0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3
"    30","      Printing and related support activities",0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2
"    31","      Petroleum and coal products",1.1,1.0,1.1,1.1,0.8,0.9,1.1,1.1,1.0
"    32","      Chemical products",1.7,1.9,1.9,1.9,2.2,2.2,2.2,2.1,2.1
"    33","      Plastics and rubber products",0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"    34","  Wholesale trade",5.8,5.9,5.9,6.0,5.7,5.8,5.8,6.0,6.0
"    35","  Retail trade",6.5,6.3,6.1,5.8,5.8,5.8,5.7,5.8,5.8
"    36","    Motor vehicle and parts dealers",1.2,1.2,1.1,1.0,0.9,1.0,1.0,1.0,1.0
"    37","    Food and beverage stores",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
"    38","    General merchandise stores",1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8
"    39","    Other retail",3.3,3.3,3.2,3.1,3.1,3.0,3.0,3.0,3.0
"    40","  Transportation and warehousing",2.9,2.9,2.8,2.9,2.8,2.8,2.9,2.9,2.9
"    41","    Air transportation",0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5
"    42","    Rail transportation",0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3
"    43","    Water transportation",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"    44","    Truck transportation",0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"    45","    Transit and ground passenger transportation",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"    46","    Pipeline transportation",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
