CY	Onshore/Offshore	County Code	St	County	Revenue Type	Commodity	Product	Royalty/Revenue
2004	Onshore	01003	AL	Baldwin	Other Revenues	Oil & Gas		 $ (48.81)
2004	Onshore	01003	AL	Baldwin	Other Roy Vals	Oil & Gas		 $ 621.00 
2004	Onshore	01003	AL	Baldwin	Royalties	Gas	Fuel Gas	 $ 896.61 
2004	Onshore	01003	AL	Baldwin	Royalties	Gas	Gas Plant Products	 $ 0.01 
2004	Onshore	01003	AL	Baldwin	Royalties	Gas	Processed (Residue) Gas	 $ 19,946.39 
2004	Onshore	01003	AL	Baldwin	Royalties	Oil	Drip or Scrubber Condensate	 $ 2.66 
2004	Onshore	01003	AL	Baldwin	Royalties	Oil	Other Liquid Hydrocarbons	 $ 39.94 
2004	Onshore	01003	AL	Baldwin	Royalties	Other	Sulfur	 $ 221.41 
2004	Onshore	01039	AL	Covington	Royalties	Oil	Oil	 $ 708,785.77 
2004	Onshore	01053	AL	Escambia	Royalties	Oil	Oil	 $ 97,533.34 
2004	Onshore	01057	AL	Fayette	Royalties	Gas	Unprocessed (Wet) Gas	 $ 1,878.72 
2004	Onshore	01075	AL	Lamar	Royalties	Gas	Unprocessed (Wet) Gas	 $ 2,662.04 
2004	Onshore	01075	AL	Lamar	Royalties	Oil	Oil	 $ 5,253.00 
2004	Onshore	01097	AL	Mobile	Other Revenues	Oil & Gas		 $ (0.35)
2004	Onshore	01097	AL	Mobile	Other Roy Vals	Oil & Gas		 $ 3,880.00 
2004	Onshore	01097	AL	Mobile	Royalties	Gas	Fuel Gas	 $ 2,137.46 
2004	Onshore	01097	AL	Mobile	Royalties	Gas	Gas Plant Products	 $ 0.18 
2004	Onshore	01097	AL	Mobile	Royalties	Gas	Processed (Residue) Gas	 $ 47,169.93 
2004	Onshore	01097	AL	Mobile	Royalties	Oil	Drip or Scrubber Condensate	 $ 1.07 
2004	Onshore	01097	AL	Mobile	Royalties	Oil	Oil	 $ 11,817.54 
2004	Onshore	01097	AL	Mobile	Royalties	Oil	Other Liquid Hydrocarbons	 $ 51.43 
2004	Onshore	01097	AL	Mobile	Royalties	Other	Sulfur	 $ 476.63 
2004	Onshore	01125	AL	Tuscaloosa	Other Roy Vals	Oil & Gas		 $ 14,750.00 
2004	Onshore	01125	AL	Tuscaloosa	Royalties	Gas	Coal Bed Methane	 $ 6,080.70 
2004	Onshore	01125	AL	Tuscaloosa	Royalties	Gas	Processed (Residue) Gas	 $ 45,098.73 
2004	Onshore	01125	AL	Tuscaloosa	Royalties	Gas	Unprocessed (Wet) Gas	 $ 395,876.46 
2004	Onshore	01297	AL	Mobile/Water	Other Roy Vals	Oil & Gas		 $ 150.00 
2004	Onshore	01297	AL	Mobile/Water	Royalties	Gas	Gas Plant Products	 $ 0.13 
2004	Onshore	01297	AL	Mobile/Water	Royalties	Gas	Processed (Residue) Gas	 $ 2,695.99 
2004	Onshore	01297	AL	Mobile/Water	Royalties	Oil	Condensate	 $ 0.84 
2004	Onshore	01297	AL	Mobile/Water	Royalties	Other	Sulfur	 $ 6.09 
2004	Onshore	02013	AZ	Maricopa	Other Revenues	Sodium		 $ 24.00 
2004	Onshore	02013	AZ	Maricopa	Royalties	Solids	Salt	 $ (490.05)
2004	Onshore	03027	AR	Columbia	Royalties	Gas	Processed (Residue) Gas	 $ 4,933.74 
2004	Onshore	03027	AR	Columbia	Royalties	Oil	Oil	 $ 243.10 
2004	Onshore	03033	AR	Crawford	Other Revenues	Oil & Gas		 $ 285.25 
