state	name	FIPS
IA	Winnebago	19189
IA	Kossuth	19109
IA	Dickinson	19059
IA	Emmet	19063
IA	Worth	19195
IA	Osceola	19143
IA	Mitchell	19131
IA	Lyon	19119
IA	Howard	19089
IA	Allamakee	19005
IA	Winneshiek	19191
IA	Sioux	19167
IA	"O'Brien"	19141
IA	Cerro Gordo	19033
IA	Hancock	19081
IA	Palo Alto	19147
IA	Clay	19041
IA	Chickasaw	19037
IA	Floyd	19067
IA	Fayette	19065
IA	Clayton	19043
IA	Plymouth	19149
IA	Buena Vista	19021
IA	Cherokee	19035
IA	Pocahontas	19151
IA	Wright	19197
IA	Humboldt	19091
IA	Franklin	19069
IA	Butler	19023
IA	Bremer	19017
IA	Dubuque	19061
IA	Delaware	19055
IA	Webster	19187
IA	Buchanan	19019
IA	Black Hawk	19013
IA	Woodbury	19193
IA	Sac	19161
IA	Ida	19093
IA	Calhoun	19025
IA	Hamilton	19079
IA	Hardin	19083
IA	Grundy	19075
IA	Jackson	19097
IA	Benton	19011
IA	Linn	19113
IA	Tama	19171
IA	Jones	19105
IA	Monona	19133
IA	Marshall	19127
IA	Carroll	19027
IA	Crawford	19047
IA	Boone	19015
IA	Greene	19073
IA	Story	19169
IA	Clinton	19045
IA	Cedar	19031
IA	Harrison	19085
IA	Iowa	19095
IA	Dallas	19049
IA	Shelby	19165
IA	Audubon	19009
IA	Poweshiek	19157
IA	Polk	19153
IA	Jasper	19099
IA	Guthrie	19077
IA	Johnson	19103
IA	Scott	19163
IA	Muscatine	19139
IA	Washington	19183
IA	Warren	19181
IA	Keokuk	19107
IA	Madison	19121
IA	Mahaska	19123
IA	Marion	19125
IA	Pottawattamie	19155
IA	Cass	19029
IA	Adair	19001
IA	Louisa	19115
IA	Jefferson	19101
IA	Henry	19087
IA	Wapello	19179
IA	Clarke	19039
IA	Lucas	19117
IA	Monroe	19135
IA	Mills	19129
IA	Montgomery	19137
IA	Adams	19003
IA	Union	19175
IA	Des Moines	19057
IA	Fremont	19071
IA	Page	19145
IA	Taylor	19173
IA	Van Buren	19177
IA	Davis	19051
IA	Ringgold	19159
IA	Decatur	19053
IA	Wayne	19185
IA	Appanoose	19007
IA	Lee	19111
