state	name	FIPS
IL	Jo Daviess	17085
IL	Stephenson	17177
IL	Winnebago	17201
IL	McHenry	17111
IL	Boone	17007
IL	Lake	17097
IL	Ogle	17141
IL	Carroll	17015
IL	Cook	17031
IL	DeKalb	17037
IL	Kane	17089
IL	DuPage	17043
IL	Whiteside	17195
IL	Lee	17103
IL	Rock Island	17161
IL	Will	17197
IL	Kendall	17093
IL	La Salle	17099
IL	Bureau	17011
IL	Henry	17073
IL	Grundy	17063
IL	Mercer	17131
IL	Putnam	17155
IL	Kankakee	17091
IL	Stark	17175
IL	Knox	17095
IL	Marshall	17123
IL	Livingston	17105
IL	Henderson	17071
IL	Warren	17187
IL	Iroquois	17075
IL	Ford	17053
IL	Peoria	17143
IL	Woodford	17203
IL	McLean	17113
IL	Tazewell	17179
IL	Fulton	17057
IL	Hancock	17067
IL	McDonough	17109
IL	Vermilion	17183
IL	Mason	17125
IL	Champaign	17019
IL	Logan	17107
IL	De Witt	17039
IL	Schuyler	17169
IL	Piatt	17147
IL	Adams	17001
IL	Menard	17129
IL	Cass	17017
IL	Brown	17009
IL	Macon	17115
IL	Sangamon	17167
IL	Edgar	17045
IL	Douglas	17041
IL	Morgan	17137
IL	Pike	17149
IL	Christian	17021
IL	Moultrie	17139
IL	Scott	17171
IL	Coles	17029
IL	Shelby	17173
IL	Montgomery	17135
IL	Macoupin	17117
IL	Greene	17061
IL	Clark	17023
IL	Calhoun	17013
IL	Cumberland	17035
IL	Jersey	17083
IL	Fayette	17051
IL	Effingham	17049
IL	Crawford	17033
IL	Jasper	17079
IL	Bond	17005
IL	Madison	17119
IL	Clay	17025
IL	Lawrence	17101
IL	Richland	17159
IL	Marion	17121
IL	Clinton	17027
IL	Saint Clair	17163
IL	Wayne	17191
IL	Edwards	17047
IL	Wabash	17185
IL	Monroe	17133
IL	Washington	17189
IL	Jefferson	17081
IL	White	17193
IL	Hamilton	17065
IL	Randolph	17157
IL	Perry	17145
IL	Franklin	17055
IL	Jackson	17077
IL	Gallatin	17059
IL	Saline	17165
IL	Williamson	17199
IL	Hardin	17069
IL	Pope	17151
IL	Johnson	17087
IL	Union	17181
IL	Massac	17127
IL	Alexander	17003
IL	Pulaski	17153
