Year	State	County	FIPS	Commodity	Product	Type	Revenue
2004	IL	Clinton	17027	Oil	Oil	Royalties	118871.61
2004	IL	Fayette	17051	Oil & Gas		Other Revenues	44
2004	IL	Franklin	17055	Oil	Oil	Royalties	55872.96
2004	IL	Hardin	17069	Hardrock		Other Revenues	-549
2004	IL	Hardin	17069	Hardrock		Rents	183
2005	IL	Clinton	17027	Oil	Oil	Royalties	125072.68
2005	IL	Fayette	17051	Oil & Gas		Other Revenues	175
2005	IL	Franklin	17055	Oil	Oil	Royalties	63535.01
2005	IL	Hardin	17069	Hardrock		Rents	-1147
2006	IL	Clinton	17027	Oil	Oil	Royalties	169751.55
2006	IL	Fayette	17051	Oil & Gas		Other Revenues	175
2006	IL	Fayette	17051	Oil	Oil	Royalties	871.28
2006	IL	Franklin	17055	Oil	Oil	Royalties	101222.07
2007	IL	Clinton	17027	Oil	Oil	Royalties	139747.76
2007	IL	Fayette	17051	Oil	Oil	Royalties	1392.98
2007	IL	Franklin	17055	Oil	Oil	Royalties	118287.07
2008	IL	Clinton	17027	Oil	Oil	Royalties	233600.46
2008	IL	Fayette	17051	Oil	Oil	Royalties	583.17
2008	IL	Franklin	17055	Oil	Oil	Royalties	181222.65
2008	IL	Hardin	17069	Hardrock		Bonus	1147
2008	IL	Union	17181	Hardrock		Rents	120
2009	IL	Clinton	17027	Oil	Oil	Royalties	129044.46
2009	IL	Franklin	17055	Oil	Oil	Royalties	78396.33
2010	IL	Clinton	17027	Oil	Oil	Royalties	170492.88
2010	IL	Fayette	17051	Oil & Gas		Other Revenues	175
2010	IL	Fayette	17051	Oil	Oil	Royalties	295.07
2010	IL	Franklin	17055	Oil	Oil	Royalties	176718.75
2010	IL	Union	17181	Hardrock		Rents	-60
2011	IL	Clinton	17027	Oil	Oil	Royalties	178685.75
2011	IL	Franklin	17055	Oil	Oil	Royalties	114743.31
2011	IL	Union	17181	Hardrock		Rents	-60
2012	IL	Clinton	17027	Oil	Oil	Royalties	200859.37
2012	IL	Franklin	17055	Oil	Oil	Royalties	111641.75
2013	IL	Clinton	17027	Oil	Oil	Royalties	197690.01
2013	IL	Fayette	17051	Oil	Oil	Royalties	792.97
2013	IL	Franklin	17055	Oil	Oil	Royalties	103941.66
