Year	State	County	FIPS	Commodity	Product	Type	Revenue
2004	KS	Barber	20007	Oil & Gas		Rents	80
2004	KS	Cheyenne	20023	Oil & Gas		Bonus	320
2004	KS	Cheyenne	20023	Oil & Gas		Rents	2767.5
2004	KS	Clark	20025	Oil & Gas		Rents	36.78
2004	KS	Comanche	20033	Oil & Gas		Rents	160
2004	KS	Comanche	20033	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	5286.07
2004	KS	Ellsworth	20053	Oil & Gas		Rents	3165
2004	KS	Ellsworth	20053	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	16671.52
2004	KS	Finney	20055	Oil & Gas		Other Revenues	-410.34
2004	KS	Finney	20055	Gas (mcf)	Processed (Residue) Gas	Other Roy Vals	565.78
2004	KS	Finney	20055	Gas (mcf)	Unprocessed (Wet) Gas	Other Roy Vals	114.23
2004	KS	Finney	20055	Oil & Gas		Other Roy Vals	-423.41
2004	KS	Finney	20055	Oil & Gas		Rents	1280
2004	KS	Finney	20055	Gas (mcf)	Fuel Gas	Royalties	1462.18
2004	KS	Finney	20055	Gas (mcf)	Processed (Residue) Gas	Royalties	94093.98
2004	KS	Finney	20055	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	805812.87
2004	KS	Finney	20055	NGL (gal)	Gas Plant Products	Royalties	11017.77
2004	KS	Finney	20055	Oil (bbl)	Oil	Royalties	138535.81
2004	KS	Gove	20063	Oil & Gas		Rents	2560
2004	KS	Gove	20063	Oil (bbl)	Oil	Royalties	9028.75
2004	KS	Grant	20067	Oil & Gas		Other Revenues	-298.94
2004	KS	Grant	20067	Oil & Gas		Other Roy Vals	7
2004	KS	Grant	20067	Gas (mcf)	Processed (Residue) Gas	Royalties	7694.58
2004	KS	Grant	20067	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	31863.56
2004	KS	Grant	20067	NGL (gal)	Gas Plant Products	Royalties	5240.68
2004	KS	Greeley	20071	Oil & Gas		Rents	1040
2004	KS	Hamilton	20075	Oil & Gas		Rents	6938
2004	KS	Hamilton	20075	Gas (mcf)	Processed (Residue) Gas	Royalties	730.97
2004	KS	Hamilton	20075	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	19797.03
2004	KS	Hamilton	20075	NGL (gal)	Gas Plant Products	Royalties	278.35
