state	name	FIPS
ND	Rolette	38079
ND	Bottineau	38009
ND	Pembina	38067
ND	Towner	38095
ND	Cavalier	38019
ND	Divide	38023
ND	Burke	38013
ND	Renville	38075
ND	Ward	38101
ND	Williams	38105
ND	McHenry	38049
ND	Mountrail	38061
ND	Pierce	38069
ND	Ramsey	38071
ND	Walsh	38099
ND	Benson	38005
ND	Nelson	38063
ND	Grand Forks	38035
ND	McKenzie	38053
ND	McLean	38055
ND	Eddy	38027
ND	Wells	38103
ND	Sheridan	38083
ND	Dunn	38025
ND	Steele	38091
ND	Griggs	38039
ND	Traill	38097
ND	Foster	38031
ND	Mercer	38057
ND	Billings	38007
ND	Golden Valley	38033
ND	Kidder	38043
ND	Stutsman	38093
ND	Burleigh	38015
ND	Oliver	38065
ND	Barnes	38003
ND	Cass	38017
ND	Stark	38089
ND	Morton	38059
ND	Grant	38037
ND	Emmons	38029
ND	Logan	38047
ND	Slope	38087
ND	LaMoure	38045
ND	Hettinger	38041
ND	Ransom	38073
ND	Richland	38077
ND	Sioux	38085
ND	Adams	38001
ND	Sargent	38081
ND	McIntosh	38051
ND	Dickey	38021
ND	Bowman	38011
