Year	State	County	FIPS	Commodity	Product	Type	Revenue
2004	UT	Beaver	49001	Geothermal		Bonus	3306.54
2004	UT	Beaver	49001	Geothermal		Rents	-87048.73
2004	UT	Beaver	49001	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds	Royalties	212597.65
2004	UT	Box Elder	49003	Hardrock		Other Revenues	1920
2004	UT	Box Elder	49003	Hardrock		Rents	-640
2004	UT	Carbon	49007	Coal		Bonus	2389260
2004	UT	Carbon	49007	Oil & Gas		Bonus	-201967
2004	UT	Carbon	49007	Oil & Gas		Other Revenues	11872.68
2004	UT	Carbon	49007	Oil & Gas		Other Royalties	481577.91
2004	UT	Carbon	49007	Coal		Rents	60652.45
2004	UT	Carbon	49007	Oil & Gas		Rents	382183.36
2004	UT	Carbon	49007	Coal (ton)	Coal	Royalties	416.41
2004	UT	Carbon	49007	Coal (ton)	Coal-Bituminous-Raw	Royalties	-317589.49
2004	UT	Carbon	49007	Gas (mcf)	Coal Bed Methane	Royalties	2580032.1
2004	UT	Carbon	49007	Gas (mcf)	Processed (Residue) Gas	Royalties	28903.18
2004	UT	Carbon	49007	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	12449786.26
2004	UT	Carbon	49007	Oil (bbl)	Condensate	Royalties	1145.29
2004	UT	Carbon	49007	Oil (bbl)	Oil	Royalties	15105.74
2004	UT	Daggett	49009	Oil & Gas		Other Revenues	494853.78
2004	UT	Daggett	49009	Phosphate		Other Revenues	9737
2004	UT	Daggett	49009	Oil & Gas		Other Royalties	1526.48
2004	UT	Daggett	49009	Oil & Gas		Rents	9265.5
2004	UT	Daggett	49009	Gas (mcf)	Processed (Residue) Gas	Royalties	4729.79
2004	UT	Daggett	49009	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	569005.46
2004	UT	Daggett	49009	Oil (bbl)	Condensate	Royalties	3673.84
2004	UT	Duchesne	49013	Oil & Gas		Bonus	203575
2004	UT	Duchesne	49013	Oil & Gas		Other Revenues	14350.47
2004	UT	Duchesne	49013	Oil & Gas		Other Royalties	1284.03
2004	UT	Duchesne	49013	Oil & Gas		Rents	362887.06
2004	UT	Duchesne	49013	Tar Sands		Rents	12190
2004	UT	Duchesne	49013	Gas (mcf)	Processed (Residue) Gas	Royalties	-600.06
2004	UT	Duchesne	49013	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	1429632.91
2004	UT	Duchesne	49013	NGL (gal)	Gas Plant Products	Royalties	240336.9
2004	UT	Duchesne	49013	Oil (bbl)	Condensate	Royalties	1163.39
2004	UT	Duchesne	49013	Oil (bbl)	Oil	Royalties	5550265.36
2004	UT	Emery	49015	Coal		Bonus	1330459.41
2004	UT	Emery	49015	Oil & Gas		Other Revenues	12996.29
2004	UT	Emery	49015	Oil & Gas		Other Royalties	231139.43
2004	UT	Emery	49015	Coal		Rents	124511.93
2004	UT	Emery	49015	Oil & Gas		Rents	238419.37
2004	UT	Emery	49015	Gas (mcf)	Coal Bed Methane	Royalties	228538.48
2004	UT	Emery	49015	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	2135632.99
2004	UT	Emery	49015	Oil (bbl)	Oil	Royalties	6096.35
2004	UT	Garfield	49017	Hardrock		Other Revenues	240
2004	UT	Garfield	49017	Oil & Gas		Other Revenues	3960
2004	UT	Garfield	49017	Oil & Gas		Other Royalties	90000
2004	UT	Garfield	49017	Hardrock		Rents	240
2004	UT	Garfield	49017	Oil & Gas		Rents	21896.5
2004	UT	Garfield	49017	Oil (bbl)	Oil	Royalties	758575.92
2004	UT	Grand	49019	Oil & Gas		Bonus	108377.25
2004	UT	Grand	49019	Oil & Gas		Other Revenues	16208.15
2004	UT	Grand	49019	Potassium		Other Revenues	400
2004	UT	Grand	49019	Oil & Gas		Other Royalties	4095
2004	UT	Grand	49019	Oil & Gas		Rents	454533.73
2004	UT	Grand	49019	Gas (mcf)	Processed (Residue) Gas	Royalties	170061.39
2004	UT	Grand	49019	Gas (mcf)	Unprocessed (Wet) Gas	Royalties	2488246.97
2004	UT	Grand	49019	NGL (gal)	Gas Plant Products	Royalties	4886.62
2004	UT	Grand	49019	Oil (bbl)	Condensate	Royalties	4570.34
2004	UT	Grand	49019	Oil (bbl)	Oil	Royalties	366585.03
2004	UT	Iron	49021	Geothermal		Rents	229
