Year	State	County	FIPS	Commodity	Product	Type	Volume
2004	AK	Kenai Peninsula Borough	02122	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	359139.39
2004	AK	Kenai Peninsula Borough	02122	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	36816022.75
2004	AK	Kenai Peninsula Borough	02122	NGL (gal)	Gas Plant Products (gal)	Royalties	3256192.4
2004	AK	Kenai Peninsula Borough	02122	Oil (bbl)	Oil (bbl)	Royalties	209355.36
2004	AK	North Slope Borough	02185	Oil (bbl)	Oil (bbl)	Royalties	2961.31
2004	AL	Baldwin	01003	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	32021.1
2004	AL	Baldwin	01003	NGL (gal)	Gas Plant Products (gal)	Royalties	1.53
2004	AL	Baldwin	01003	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	Royalties	654.57
2004	AL	Baldwin	01003	Other Products	Sulfur (lton)	Royalties	63.95
2004	AL	Bibb	01007	Other Products	Clay (ton)	Royalties	36709
2004	AL	Covington	01039	Oil (bbl)	Oil (bbl)	Royalties	229228.1
2004	AL	Escambia	01053	Oil (bbl)	Oil (bbl)	Royalties	22690.33
2004	AL	Fayette	01057	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	3313.66
2004	AL	Jefferson	01073	Coal (ton)	Coal (ton)	Royalties	829
2004	AL	Lamar	01075	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	5982
2004	AL	Lamar	01075	Oil (bbl)	Oil (bbl)	Royalties	1677.08
2004	AL	Mobile	01097	Gas (mcf)	Fuel Gas (mcf)	Royalties	-0.01
2004	AL	Mobile	01097	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	79540.88
2004	AL	Mobile	01097	NGL (gal)	Gas Plant Products (gal)	Royalties	3.81
2004	AL	Mobile	01097	Oil (bbl)	Oil (bbl)	Royalties	5389.24
2004	AL	Mobile	01097	Oil (bbl)	Other Liquid Hydrocarbons (bbl)	Royalties	1704.36
2004	AL	Mobile	01097	Other Products	Sulfur (lton)	Royalties	158.85
2004	AL	Mobile/Water	01297	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	2702.08
2004	AL	Mobile/Water	01297	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	0.01
2004	AL	Mobile/Water	01297	NGL (gal)	Gas Plant Products (gal)	Royalties	0.58
2004	AL	Mobile/Water	01297	Oil (bbl)	Condensate (bbl)	Royalties	0.46
2004	AL	Mobile/Water	01297	Other Products	Sulfur (lton)	Royalties	1.07
2004	AL	Tuscaloosa	01125	Gas (mcf)	Coal Bed Methane (mcf)	Royalties	124495.76
2004	AL	Tuscaloosa	01125	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	73142.2
2004	AL	Tuscaloosa	01125	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	735891.13
2004	AR	Columbia	05027	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	6755.76
2004	AR	Columbia	05027	Oil (bbl)	Oil (bbl)	Royalties	58.64
2004	AR	Conway	05029	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	15214.06
2004	AR	Crawford	05033	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	125520.89
2004	AR	Franklin	05047	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	252772.91
2004	AR	Johnson	05071	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	1647
2004	AR	Johnson	05071	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	869578.12
2004	AR	Logan	05083	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	631898.62
2004	AR	Montgomery	05097	Other Products	Quartz Crystal (lb)	Royalties	7956
2004	AR	Pope	05115	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	14345.51
2004	AR	Sebastian	05131	Gas (mcf)	Coal Bed Methane (mcf)	Royalties	2455.7
2004	AR	Sebastian	05131	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	4540852.53
2004	AR	Yell	05149	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	1593579.93
2004	AZ	Maricopa	04013	Other Products	Salt (ton)	Royalties	138
2004	CA	Contra Costa	06013	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	4020
2004	CA	Contra Costa	06013	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	6361.93
2004	CA	Contra Costa	06013	Oil (bbl)	Condensate (bbl)	Royalties	7.67
2004	CA	Fresno	06019	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	84812.64
2004	CA	Fresno	06019	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	444314.3
2004	CA	Fresno	06019	NGL (gal)	Gas Plant Products (gal)	Royalties	120040.2
2004	CA	Fresno	06019	Oil (bbl)	Oil (bbl)	Royalties	40131.01
2004	CA	Glenn	06021	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	8283.08
2004	CA	Imperial	06025	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	389985151.7
2004	CA	Imperial	06025	Geothermal	Geothermal - Electrical Generation, Other (mmbtu)	Royalties	212770.98
2004	CA	Inyo	06027	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	556536252.6
2004	CA	Kern	06029	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	Royalties	20076
2004	CA	Kern	06029	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	1069003.56
2004	CA	Kern	06029	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	227626.87
2004	CA	Kern	06029	NGL (gal)	Gas Plant Products (gal)	Royalties	689651.2
2004	CA	Kern	06029	Oil (bbl)	Condensate (bbl)	Royalties	5173.6
2004	CA	Kern	06029	Oil (bbl)	Fuel Oil (bbl)	Royalties	82.15
2004	CA	Kern	06029	Oil (bbl)	Oil (bbl)	Royalties	12753474.34
2004	CA	Kings	06031	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	113758.18
2004	CA	Kings	06031	NGL (gal)	Gas Plant Products (gal)	Royalties	159983.99
2004	CA	Kings	06031	Oil (bbl)	Oil (bbl)	Royalties	32084.87
2004	CA	Lake	06033	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	Royalties	23664571.71
2004	CA	Lassen	06035	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	Royalties	165884.74
2004	CA	Los Angeles	06037	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	Royalties	7906
2004	CA	Los Angeles	06037	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	486.03
2004	CA	Los Angeles	06037	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	44390.52
2004	CA	Los Angeles	06037	Oil (bbl)	Condensate (bbl)	Royalties	95910.69
2004	CA	Los Angeles	06037	Oil (bbl)	Oil (bbl)	Royalties	518462.41
2004	CA	Mono	06051	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	Royalties	96147731
2004	CA	Monterey	06053	Oil (bbl)	Oil (bbl)	Royalties	4354.5
2004	CA	San Benito	06069	Oil (bbl)	Oil (bbl)	Royalties	2826.53
2004	CA	San Bernardn	06071	Other Products	Anhydrous Sodium Sulfate (ton)	Royalties	170391
2004	CA	San Bernardn	06071	Other Products	Borax-Decahydrate (ton)	Royalties	11424
2004	CA	San Bernardn	06071	Other Products	Borax-Pentahydrate (ton)	Royalties	10528
2004	CA	San Bernardn	06071	Other Products	Boric Acid (ton)	Royalties	17904
2004	CA	San Bernardn	06071	Other Products	Salt (ton)	Royalties	70234
2004	CA	San Bernardn	06071	Other Products	Soda Ash (ton)	Royalties	793855
2004	CA	San Bernardn	06071	Other Products	Sodium Bi-Carbonate (ton)	Royalties	13114
2004	CA	San Joaquin	06077	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	4444.56
2004	CA	San Luis Ob.	06079	Oil (bbl)	Condensate (bbl)	Royalties	1284.74
2004	CA	San Luis Ob.	06079	Oil (bbl)	Oil (bbl)	Royalties	17912.23
2004	CA	Santa Barbar	06083	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	172415.83
2004	CA	Santa Barbar	06083	Oil (bbl)	Oil (bbl)	Royalties	78616.73
2004	CA	Solano	06095	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	581127.84
2004	CA	Solano	06095	Oil (bbl)	Condensate (bbl)	Royalties	323.05
2004	CA	Sonoma	06097	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	Royalties	29277581.32
2004	CA	Ventura	06111	Gas (mcf)	Gas Lost - Flared or Vented (mcf)	Royalties	5551.12
2004	CA	Ventura	06111	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	236717.65
2004	CA	Ventura	06111	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	484793.88
2004	CA	Ventura	06111	NGL (gal)	Gas Plant Products (gal)	Royalties	184350.14
2004	CA	Ventura	06111	Oil (bbl)	Condensate (bbl)	Royalties	615.2
2004	CA	Ventura	06111	Oil (bbl)	Oil (bbl)	Royalties	359798.24
2004	CO	Arapahoe	08005	Oil (bbl)	Condensate (bbl)	Royalties	20.61
2004	CO	Arapahoe	08005	Oil (bbl)	Oil (bbl)	Royalties	81.92
2004	CO	Archuleta	08007	Gas (mcf)	Coal Bed Methane (mcf)	Royalties	17834.5
2004	CO	Archuleta	08007	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	249353
2004	CO	Baca	08009	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	61045.02
2004	CO	Baca	08009	Oil (bbl)	Oil (bbl)	Royalties	39366.21
2004	CO	Bent	08011	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	44411.17
2004	CO	Bent	08011	Oil (bbl)	Condensate (bbl)	Royalties	23.33
2004	CO	Broomfield	08014	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	457.58
2004	CO	Broomfield	08014	Oil (bbl)	Oil (bbl)	Royalties	25.11
2004	CO	Cheyenne	08017	NGL (gal)	Gas Plant Products (gal)	Royalties	240701.28
2004	CO	Cheyenne	08017	Oil (bbl)	Oil (bbl)	Royalties	41309.24
2004	CO	Delta	08029	Coal (ton)	Coal (ton)	Royalties	3400422.58
2004	CO	Delta	08029	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	15647.6
2004	CO	Dolores	08033	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	137002.97
2004	CO	Dolores	08033	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	165887.97
2004	CO	Dolores	08033	NGL (gal)	Gas Plant Products (gal)	Royalties	278407.54
2004	CO	Dolores	08033	Oil (bbl)	Condensate (bbl)	Royalties	644.63
2004	CO	Dolores	08033	Oil (bbl)	Oil (bbl)	Royalties	45024.67
2004	CO	Dolores	08033	Other Products	Carbon Dioxide Gas (CO2) (mcf)	Royalties	20770811.38
2004	CO	Garfield	08045	Coal (ton)	Coal (ton)	Royalties	295837
2004	CO	Garfield	08045	Gas (mcf)	Coal Bed Methane (mcf)	Royalties	404334.08
2004	CO	Garfield	08045	Gas (mcf)	Processed (Residue) Gas (mcf)	Royalties	440339.89
2004	CO	Garfield	08045	Gas (mcf)	Unprocessed (Wet) Gas (mcf)	Royalties	65145124.45
2004	CO	Garfield	08045	NGL (gal)	Gas Plant Products (gal)	Royalties	73102.35
