Year	Region	FIPS	GDP
2004	United States	00	12208689
2005	United States	00	13023633
2006	United States	00	13782387
2007	United States	00	14401421
2008	United States	00	14636247
2009	United States	00	14328006
2010	United States	00	14862637
2011	United States	00	15431583
2012	United States	00	16141152
2013	United States	00	16701415
2004	Alabama	01	148396
2005	Alabama	01	157520
2006	Alabama	01	164820
2007	Alabama	01	169689
2008	Alabama	01	173251
2009	Alabama	01	169052
2010	Alabama	01	175734
2011	Alabama	01	181848
2012	Alabama	01	189542
2013	Alabama	01	193566
2004	Alaska	02	35527
2005	Alaska	02	40232
2006	Alaska	02	44835
2007	Alaska	02	49194
2008	Alaska	02	54770
2009	Alaska	02	49954
2010	Alaska	02	53251
2011	Alaska	02	58581
2012	Alaska	02	59643
2013	Alaska	02	59355
2004	Arizona	04	204074
2005	Arizona	04	226290
2006	Arizona	04	247833
2007	Arizona	04	262380
2008	Arizona	04	259058
2009	Arizona	04	243331
2010	Arizona	04	247752
2011	Arizona	04	258187
2012	Arizona	04	271503
2013	Arizona	04	279024
2004	Arkansas	05	86813
2005	Arkansas	05	93719
2006	Arkansas	05	99883
2007	Arkansas	05	103592
2008	Arkansas	05	107854
2009	Arkansas	05	105841
2010	Arkansas	05	111355
2011	Arkansas	05	115582
2012	Arkansas	05	118993
2013	Arkansas	05	124218
2004	California	06	1642982
2005	California	06	1759869
2006	California	06	1866312
2007	California	06	1949059
2008	California	06	1978113
2009	California	06	1906376
2010	California	06	1953411
2011	California	06	2030468
2012	California	06	2125717
2013	California	06	2202678
2004	Colorado	08	204354
2005	Colorado	08	221491
2006	Colorado	08	232381
2007	Colorado	08	244349
2008	Colorado	08	254760
2009	Colorado	08	248177
2010	Colorado	08	256628
2011	Colorado	08	266243
2012	Colorado	08	278551
2013	Colorado	08	294443
2012	Connecticut	09	242930
2013	Connecticut	09	249251
2006	Connecticut	09	222953
2007	Connecticut	09	236036
2008	Connecticut	09	236060
2009	Connecticut	09	230005
2010	Connecticut	09	233781
2011	Connecticut	09	235121
2004	Connecticut	09	199394
2005	Connecticut	09	209599
2004	Delaware	10	49495
2005	Delaware	10	51963
2006	Delaware	10	55011
2007	Delaware	10	56381
2008	Delaware	10	54156
2009	Delaware	10	56090
2010	Delaware	10	57628
2011	Delaware	10	58612
2012	Delaware	10	60650
2013	Delaware	10	62703
2004	District of Columbia	11	80753
2005	District of Columbia	11	85403
2006	District of Columbia	11	89861
2007	District of Columbia	11	96625
2008	District of Columbia	11	101571
2009	District of Columbia	11	101927
2010	District of Columbia	11	106615
2011	District of Columbia	11	110702
2012	District of Columbia	11	111870
2013	District of Columbia	11	113362
2004	Florida	12	635769
2005	Florida	12	699197
2006	Florida	12	747470
2007	Florida	12	773521
2008	Florida	12	753012
2009	Florida	12	721684
2010	Florida	12	728604
2011	Florida	12	736347
2012	Florida	12	769007
2013	Florida	12	800492
2004	Georgia	13	352883
2005	Georgia	13	376048
2006	Georgia	13	393840
2007	Georgia	13	409935
2008	Georgia	13	408682
2009	Georgia	13	404045
2010	Georgia	13	410902
2011	Georgia	13	421564
2012	Georgia	13	438324
2013	Georgia	13	454532
2004	Hawaii	15	53325
2005	Hawaii	15	58074
2006	Hawaii	15	61608
2007	Hawaii	15	64793
2008	Hawaii	15	66423
2009	Hawaii	15	65084
2010	Hawaii	15	67285
2011	Hawaii	15	69755
2012	Hawaii	15	72512
2013	Hawaii	15	75235
2004	Idaho	16	44377
2005	Idaho	16	47899
2006	Idaho	16	51632
2007	Idaho	16	54921
2008	Idaho	16	55787
2009	Idaho	16	54063
2010	Idaho	16	55427
2011	Idaho	16	56956
2012	Idaho	16	58231
2013	Idaho	16	62247
2012	Illinois	17	704138
2013	Illinois	17	720692
2006	Illinois	17	623078
2007	Illinois	17	646172
2008	Illinois	17	642245
2009	Illinois	17	636975
2010	Illinois	17	652681
2011	Illinois	17	676911
2004	Illinois	17	560104
2005	Illinois	17	587637
2012	Indiana	18	306838
2013	Indiana	18	317102
2006	Indiana	18	257635
2007	Indiana	18	271176
2008	Indiana	18	274593
2009	Indiana	18	262428
2010	Indiana	18	283289
2011	Indiana	18	292032
2004	Indiana	18	240606
2005	Indiana	18	246995
2004	Iowa	19	118515
2005	Iowa	19	123903
2006	Iowa	19	128085
2007	Iowa	19	136818
2008	Iowa	19	135907
2009	Iowa	19	136511
2010	Iowa	19	141814
2011	Iowa	19	148997
2012	Iowa	19	156606
2013	Iowa	19	165767
2004	Kansas	20	100272
2005	Kansas	20	105773
2006	Kansas	20	112464
2007	Kansas	20	120642
2008	Kansas	20	124215
2009	Kansas	20	120769
2010	Kansas	20	126347
2011	Kansas	20	135336
2012	Kansas	20	138958
2013	Kansas	20	144062
2004	Kentucky	21	135941
2005	Kentucky	21	144170
2006	Kentucky	21	152470
2007	Kentucky	21	155495
2008	Kentucky	21	159051
2009	Kentucky	21	156149
2010	Kentucky	21	166344
2011	Kentucky	21	172517
2012	Kentucky	21	177967
2013	Kentucky	21	183373
2004	Louisiana	22	172825
2005	Louisiana	22	200327
2006	Louisiana	22	207963
2007	Louisiana	22	209013
2008	Louisiana	22	217554
