Fed Onshore Revenues by State,,,,
Calendar Year 2013 by Accounting Year,,,,
State,Revenue Type,Commodity,Revenue,
Alabama,Royalties,Coal," 	3,677,302.59 ",
Alabama,Royalties,Gas," 	200,507.39 ",
Alabama,Royalties,Oil," 	318,163.13 ",
Alabama,Royalties,Other Commodities," 	2,679.68 ",
Alabama,Other Revenues,Hardrock, 	(615.00),
Alabama,Other Revenues,Oil & Gas," 	(4,847.15)",
Alaska,Royalties,Gas," 	6,988,259.54 ",
Alaska,Royalties,Oil," 	6,598,210.68 ",
Alaska,Other Revenues,Oil & Gas," 	(73,738.58)",
Arizona,Royalties,Other Commodities," 	4,224.65 ",
Arkansas,Royalties,Gas," 	5,083,889.58 ",
Arkansas,Royalties,Oil, 	7.87 ,
Arkansas,Royalties,Other Commodities, 	4.45 ,
Arkansas,Other Revenues,Hardrock," 	1,369.55 ",
Arkansas,Other Revenues,Oil & Gas," 	(23,465.30)",
California,Royalties,Gas," 	4,584,038.53 ",
California,Royalties,Geothermal," 	9,306,460.38 ",
California,Royalties,Oil," 	183,762,630.38 ",
California,Royalties,Other Commodities," 	8,742,199.96 ",
California,Other Revenues,Oil & Gas," 	(189,377.55)",
Colorado,Royalties,Coal," 	26,242,242.20 ",
Colorado,Royalties,Gas," 	152,944,370.02 ",
Colorado,Royalties,Oil," 	47,276,400.22 ",
Colorado,Royalties,Other Commodities," 	62,748,536.14 ",
Colorado,Other Revenues,Coal," 	318,684.90 ",
Colorado,Other Revenues,Oil & Gas," 	495,831.46 ",
Colorado,Other Revenues,Sodium," 	29,319.00 ",
Florida,Royalties,Other Commodities," 	285,731.37 ",
Florida,Other Revenues,Phosphate, 	989.00 ,
Idaho,Royalties,Other Commodities," 	9,818,112.10 ",
Idaho,Other Revenues,Phosphate," 	113,544.00 ",
Illinois,Royalties,Oil," 	302,424.64 ",
Indiana,Royalties,Oil," 	17,820.38 ",
Indiana,Other Revenues,Oil & Gas," 	13,037.54 ",
Kansas,Royalties,Gas," 	3,090,359.21 ",
Kansas,Royalties,Oil," 	2,628,624.21 ",
Kansas,Royalties,Other Commodities, 	(0.22),
Kansas,Other Revenues,Oil & Gas," 	(34,647.24)",
Kentucky,Royalties,Coal," 	1,499,102.72 ",
