Offshore Revenues by Planning Area,,,,
Calendar Year 2013 by Accounting Year,,,,
Region,Planning Area,Revenue Type,Commodity,Revenue
Alaska,Beaufort Sea,Other Revenues,Oil & Gas,"-7,500.82"
Alaska,Beaufort Sea,Rents,Oil & Gas,"5,136,075.00"
Alaska,Beaufort Sea,Royalties,Oil,"10,565,860.56"
Alaska,Chukchi Sea,Rents,Oil & Gas,"7,551,790.59"
Atlantic,Mid-Atlantic,Bonus,Wind,"1,624,107.50"
Atlantic,Mid-Atlantic,Rents,Wind,"747,778.00"
Atlantic,North Atlantic,Bonus,Wind,"3,089,461.00"
Atlantic,North Atlantic,Rents,Wind,"358,887.92"
Gulf,Central Gulf of Mexico,Bonus,Oil & Gas,"1,199,052,037.00"
Gulf,Central Gulf of Mexico,Other Revenues,Oil & Gas,"28,842,979.73"
Gulf,Central Gulf of Mexico,Other Revenues,Sulfur,"11,186.00"
Gulf,Central Gulf of Mexico,Rents,Oil & Gas,"164,510,032.01"
Gulf,Central Gulf of Mexico,Royalties,Gas,"596,435,849.73"
Gulf,Central Gulf of Mexico,Royalties,Oil,"5,040,578,020.19"
Gulf,Central Gulf of Mexico,Royalties,Other Commodities,"4,122.09"
Gulf,Central/Eastern Gulf of Mexico,Rents,Oil & Gas,"437,760.00"
Gulf,Eastern Gulf of Mexico,Other Revenues,Oil & Gas,"35,513.08"
Gulf,Eastern Gulf of Mexico,Rents,Oil & Gas,"2,357,959.62"
Gulf,Eastern Gulf of Mexico,Royalties,Gas,"-2,257,596.49"
Gulf,Eastern Gulf of Mexico,Royalties,Oil,"56,755.13"
Gulf,Western Gulf of Mexico,Bonus,Oil & Gas,"233,906,420.00"
Gulf,Western Gulf of Mexico,Other Revenues,Oil & Gas,"-551,460.57"
Gulf,Western Gulf of Mexico,Rents,Oil & Gas,"64,801,751.96"
Gulf,Western Gulf of Mexico,Royalties,Gas,"63,687,293.07"
Gulf,Western Gulf of Mexico,Royalties,Oil,"180,540,899.97"
Pacific,Southern California,Other Revenues,Oil & Gas,"-200,640.96"
Pacific,Southern California,Rents,Oil & Gas,"1,290.00"
Pacific,Southern California,Royalties,Gas,"8,174,949.10"
Pacific,Southern California,Royalties,Oil,"287,819,066.73"
Pacific,Southern California,Royalties,Other Commodities,"20,444.25"
