Company Name,Revenue Type,Commodity,Revenue,
ABJNF PRODUCTS,Royalties,Gas,15816.06,
ABJNF PRODUCTS,Royalties,Oil,345304.84,
ACXII INC,Rents,Oil & Gas,21822,
ACXII INC,Bonus,Oil & Gas,101737,
ADLOZ EXPLORATION,Royalties,Gas,38463.15,
ADLOZ EXPLORATION,Bonus,Oil & Gas,214470,
ADLOZ EXPLORATION,Rents,Oil & Gas,588465,
ADLOZ EXPLORATION,Royalties,Oil,770663.98,
AFWZX RESOURCES,Other Revenues,Oil & Gas,14785,
AFWZX RESOURCES,Rents,Oil & Gas,112295.5,
AFWZX RESOURCES,Royalties,Oil,382312.34,
AFWZX RESOURCES,Royalties,Gas,947593.81,
AGDVA CORP,Royalties,Gas,41042.38,
AGDVA CORP,Royalties,Oil,68140.53,
AGHJS INC,Royalties,Gas,8767.68,
AGHJS INC,Rents,Oil & Gas,35643,
AGHJS INC,Royalties,Oil,47728.58,
AGHJS INC,Bonus,Oil & Gas,92610,
AGPSA LLC,Other Revenues,Oil & Gas,5929,
AGPSA LLC,Rents,Oil & Gas,16605.5,
AGPSA LLC,Royalties,Oil,216795.22,
AGPSA LLC,Royalties,Gas,1407550.99,
AIHZS CORP,Rents,Oil & Gas,6073920,
AIHZS CORP,Bonus,Oil & Gas,24344024,
AIKHS ENERGY COMPANY,Other Revenues,Oil & Gas,36,
AIKHS ENERGY COMPANY,Rents,Oil & Gas,28280.5,
AIKHS ENERGY COMPANY,Royalties,Gas,214389.36,
AIKHS ENERGY COMPANY,Bonus,Oil & Gas,1368900,
AIKHS ENERGY COMPANY,Royalties,Oil,2407978.34,
AKBQG PRODUCTION COMPANY,Royalties,Gas,143617.43,
AKBQG PRODUCTION COMPANY,Royalties,Oil,4103916.79,
ALEBI CORP,Rents,Sodium,-6561,
ALEBI CORP,Rents,Oil Shale,932,
ALEBI CORP,Other Revenues,Sodium,6561,
ALEBI CORP,Other Revenues,Oil & Gas,615401.61,
ALEBI CORP,Rents,Oil & Gas,28263801.79,
ALEBI CORP,Royalties,Gas,92673878.74,
ALEBI CORP,Bonus,Oil & Gas,500238320,
ALEBI CORP,Royalties,Oil,676006789.25,
ANKXK EXPLORATION,Bonus,Oil & Gas,126350,
ANKXK EXPLORATION,Other Revenues,Oil & Gas,148125.79,
ANKXK EXPLORATION,Rents,Oil & Gas,211020,
ANKXK EXPLORATION,Royalties,Gas,6058565.8,
ANKXK EXPLORATION,Royalties,Oil,52591151.01,
ANMWS EXPLORATION,Other Revenues,Oil & Gas,339320.44,
ANMWS EXPLORATION,Rents,Oil & Gas,488393,
ANMWS EXPLORATION,Bonus,Oil & Gas,903710,
ANMWS EXPLORATION,Royalties,Oil,30048227.67,
ANMWS EXPLORATION,Royalties,Gas,61875672.14,
APTGD MANAGEMENT CORP,Royalties,Gas,26333.05,
APTGD MANAGEMENT CORP,Rents,Oil & Gas,30516,
APTGD MANAGEMENT CORP,Royalties,Oil,2486953.76,
AREHF MANAGEMENT CORP,Rents,Oil & Gas,51210,
AREHF MANAGEMENT CORP,Bonus,Oil & Gas,487145,
ARICM PARTNERS,Rents,Oil & Gas,10898,
ARICM PARTNERS,Other Revenues,Oil & Gas,25835.46,
ARICM PARTNERS,Royalties,Oil,615477.67,
ARICM PARTNERS,Royalties,Gas,1865461.99,
ARUHF ENERGY COMPANY,Rents,Oil & Gas,633600,
ARUHF ENERGY COMPANY,Bonus,Oil & Gas,67811424,
AUAGJ MANAGEMENT CORP,Rents,Oil & Gas,152586,
AXGCY ENERGY COMPANY,Other Revenues,Sodium,-93851.54,
AXGCY ENERGY COMPANY,Royalties,Other Commodities,6592161.28,
BAAZK HOLDINGS,Royalties,Oil,224315.69,
BAAZK HOLDINGS,Royalties,Gas,847086.62,
BBWIW EXPLORATION,Royalties,Other Commodities,182270.52,
BDMGM PRODUCTION COMPANY,Rents,Oil & Gas,263692,
BDMGM PRODUCTION COMPANY,Bonus,Oil & Gas,1458314,
BHSVB ENERGY COMPANY,Rents,Oil & Gas,167737,
BJCTB RESOURCES,Royalties,Oil,473511.44,
BJCTB RESOURCES,Royalties,Gas,637342.94,
BJJGP MANAGEMENT CORP,Bonus,Oil & Gas,25760,
BJJGP MANAGEMENT CORP,Royalties,Oil,135632.46,
BJJGP MANAGEMENT CORP,Rents,Oil & Gas,162870.5,
BKLMO MANAGEMENT CORP,Rents,Oil & Gas,5102.5,
BKLMO MANAGEMENT CORP,Bonus,Oil & Gas,1064000,
BLZYQ EXPLORATION,Royalties,Oil,13783946.48,
BNWOU PARTNERS,Rents,Oil & Gas,964,
BNWOU PARTNERS,Royalties,Gas,236741.68,
BNWOU PARTNERS,Royalties,Oil,464275.78,
BOHVG INC,Royalties,Gas,158668.49,
BOHVG INC,Royalties,Oil,4067757.25,
BONNF LLC,Rents,Oil & Gas,58506,
BONNF LLC,Bonus,Oil & Gas,67580,
