Company Name,Revenue Type,Commodity,Revenue,
CHEVRON CORP,Bonus,Oil & Gas,101636143.00,
CHEVRON CORP,Other Revenues,Oil & Gas,1790334.34,
CHEVRON CORP,Rents,Coal,23598.00,
CHEVRON CORP,Rents,Oil & Gas,19059494.47,
CHEVRON CORP,Rents,Oil Shale,304.00,
CHEVRON CORP,Royalties,Coal,598650.40,
CHEVRON CORP,Royalties,Gas,118284944.65,
CHEVRON CORP,Royalties,Oil,708123645.93,
CHEVRON CORP,Royalties,Other Commodities,390526.29,
SHELL,Bonus,Oil & Gas,142512509.00,
SHELL,Other Revenues,Oil & Gas,423648.59,
SHELL,Other Revenues,Sodium,6561.00,
SHELL,Rents,Oil & Gas,26634017.79,
SHELL,Rents,Oil Shale,932.00,
SHELL,Rents,Sodium,-6561.00,
SHELL,Royalties,Gas,91335088.57,
SHELL,Royalties,Oil,645998965.92,
BP AMERICA INC,Other Revenues,Oil & Gas,-5290543.47,
BP AMERICA INC,Rents,Oil & Gas,26868489.00,
BP AMERICA INC,Royalties,Gas,91086143.07,
BP AMERICA INC,Royalties,Oil,756069921.96,
EXXON MOBIL CORP,Bonus,Oil & Gas,227070145.00,
EXXON MOBIL CORP,Other Revenues,Oil & Gas,23514979.81,
EXXON MOBIL CORP,Rents,Oil & Gas,16649658.13,
EXXON MOBIL CORP,Royalties,Gas,98400761.63,
EXXON MOBIL CORP,Royalties,Oil,355196599.27,
EXXON MOBIL CORP,Royalties,Other Commodities,20912447.29,
FIELDWOOD ENERGY LLC,Bonus,Oil & Gas,39559425.00,
FIELDWOOD ENERGY LLC,Other Revenues,Oil & Gas,2477762.07,
FIELDWOOD ENERGY LLC,Rents,Oil & Gas,7945847.57,
FIELDWOOD ENERGY LLC,Royalties,Gas,80949269.54,
FIELDWOOD ENERGY LLC,Royalties,Oil,405249119.21,
PEABODY ENERGY CORP,Bonus,Coal,276787575.70,
PEABODY ENERGY CORP,Other Revenues,Coal,336597.03,
PEABODY ENERGY CORP,Rents,Coal,191849.03,
PEABODY ENERGY CORP,Royalties,Coal,188093580.43,
PEABODY ENERGY CORP,Royalties,Gas,2557.74,
PEABODY ENERGY CORP,Royalties,Oil,34263.10,
ANADARKO PETROLEUM CORP,Bonus,Oil & Gas,49651370.00,
ANADARKO PETROLEUM CORP,Other Revenues,Oil & Gas,3060950.31,
ANADARKO PETROLEUM CORP,Rents,Oil & Gas,19579135.77,
ANADARKO PETROLEUM CORP,Royalties,Gas,168489293.74,
ANADARKO PETROLEUM CORP,Royalties,Oil,215665608.45,
BHP BILLITON LTD,Bonus,Oil & Gas,121705398.00,
BHP BILLITON LTD,Other Revenues,Coal,25449.02,
BHP BILLITON LTD,Other Revenues,Oil & Gas,18580.50,
BHP BILLITON LTD,Rents,Coal,52716.00,
BHP BILLITON LTD,Rents,Oil & Gas,11477674.00,
BHP BILLITON LTD,Royalties,Coal,14827533.41,
BHP BILLITON LTD,Royalties,Gas,9202424.26,
BHP BILLITON LTD,Royalties,Oil,266913554.86,
CONOCOPHILLIPS,Bonus,Oil & Gas,131941971.00,
CONOCOPHILLIPS,Other Revenues,Oil & Gas,-457747.83,
CONOCOPHILLIPS,Rents,Oil & Gas,24278038.43,
CONOCOPHILLIPS,Royalties,Gas,161896487.89,
CONOCOPHILLIPS,Royalties,Oil,99208646.74,
CONOCOPHILLIPS,Royalties,Other Commodities,45333.62,
FREEPORT-MCMORAN O&G LLC,Bonus,Oil & Gas,83880250.00,
FREEPORT-MCMORAN O&G LLC,Other Revenues,Oil & Gas,-325327.87,
FREEPORT-MCMORAN O&G LLC,Other Revenues,Sulfur,11186.00,
FREEPORT-MCMORAN O&G LLC,Rents,Oil & Gas,3843118.93,
FREEPORT-MCMORAN O&G LLC,Royalties,Gas,22361179.66,
FREEPORT-MCMORAN O&G LLC,Royalties,Oil,290582348.61,
FREEPORT-MCMORAN O&G LLC,Royalties,Other Commodities,2658.90,
LLOG EXPLORATION OFFSHORE INC,Bonus,Oil & Gas,122486246.00,
LLOG EXPLORATION OFFSHORE INC,Other Revenues,Oil & Gas,-613.52,
LLOG EXPLORATION OFFSHORE INC,Rents,Oil & Gas,3179129.00,
LLOG EXPLORATION OFFSHORE INC,Royalties,Gas,12221894.03,
LLOG EXPLORATION OFFSHORE INC,Royalties,Oil,178374325.92,
ARCH COAL INC,Bonus,Coal,60436982.34,
ARCH COAL INC,Other Revenues,Coal,3583452.50,
ARCH COAL INC,Rents,Coal,205384.75,
ARCH COAL INC,Rents,Oil & Gas,30196.50,
ARCH COAL INC,Royalties,Coal,182167078.35,
