Company	Revenue Type	Commodity	Revenue	
31 OPERATING LLC	BLM - Permit Fees	Oil & Gas	95	
31 OPERATING LLC	ONRR - Other Revenues	Oil & Gas	23606.56	
31 OPERATING LLC	ONRR - Royalties	Gas	433413.93	
31 OPERATING LLC	ONRR - Royalties	Oil	76030.79	
31 OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	4840	
3PL OPERATING, INC.	BLM - Permit Fees	Locatable Minerals	322377	
A.U. MINES INC	BLM - Permit Fees	Locatable Minerals	137020	
A1 LITHIUM INC	BLM - Permit Fees	Locatable Minerals	648196	
ABRAXAS PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	49950	
ABRAXAS PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	1944.06	
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Gas	597021.64	
ABRAXAS PETROLEUM CORP	ONRR - Royalties	Oil	8506074.91	
ABRAXAS PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	1360	
ABU DHABI NATIONAL ENERGY COMPANY PJSC	ONRR - Other Revenues	Oil & Gas	1672.19	
ABU DHABI NATIONAL ENERGY COMPANY PJSC	ONRR - Royalties	Gas	2945.99	
ABU DHABI NATIONAL ENERGY COMPANY PJSC	ONRR - Royalties	Oil	296506.03	
ABU DHABI NATIONAL ENERGY COMPANY PJSC	ONRR/BLM - Rents	Oil & Gas	370	
ADVANCE ENERGY PARTNERS	ONRR - Royalties	Gas	4315.85	
ADVANCE ENERGY PARTNERS	ONRR/BLM - Bonus	Oil & Gas	846800	
ADVANCE ENERGY PARTNERS	ONRR/BLM - Rents	Oil & Gas	2620	
AERA ENERGY LLC	BLM - Permit Fees	Oil & Gas	186270	
AERA ENERGY LLC	ONRR - Other Revenues	Oil & Gas	24386.96	
AERA ENERGY LLC	ONRR - Royalties	Gas	27029.23	
AERA ENERGY LLC	ONRR - Royalties	Oil	18068860.15	
AERA ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	8309	
AETHON ENERGY OPERATING LLC	BLM - Permit Fees	Oil & Gas	147040	
AETHON ENERGY OPERATING LLC	ONRR - Other Revenues	Oil & Gas	179858.39	
AETHON ENERGY OPERATING LLC	ONRR - Royalties	Gas	1943924.77	
AETHON ENERGY OPERATING LLC	ONRR - Royalties	Oil	1115910.82	
AETHON ENERGY OPERATING LLC	ONRR/BLM - Rents	Oil & Gas	258478	
AGC SODA CORP	ONRR - Royalties	Other Commodities	1980265.06	
AGNICO-EAGLE USA LIMITED	BLM - Permit Fees	Locatable Minerals	337669	
AGUA CALIENTE LLC	ONRR - Other Revenues	Geothermal	66744.42	
AGUA CALIENTE LLC	ONRR - Other Revenues	N/A	910.8	
AGUA CALIENTE LLC	ONRR/BLM - Rents	Geothermal	82968	
ALAMO-PALACE MP 59 LLC	ONRR - Other Revenues	Oil & Gas	818.86	
ALAMO-PALACE MP 59 LLC	ONRR - Royalties	Oil	1681572.14	
ALLEGIANT GOLD (US) LTD	BLM - Permit Fees	Locatable Minerals	507835	
ALTA MESA SERVICES LP	ONRR - Other Revenues	Oil & Gas	-77272.93	
ALTA MESA SERVICES LP	ONRR - Royalties	Gas	159047.88	
ALTA MESA SERVICES LP	ONRR - Royalties	Oil	412503.18	
ALTA MESA SERVICES LP	ONRR/BLM - Rents	Oil & Gas	31410	
ALTON COAL DEVELOPMENT LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	171260.66	
ALYESKA PIPELINE SERVICE COMPANY	BLM - Permit Fees	Mineral Materials	117210.7	
AMBRE ENERGY LTD	ONRR - Royalties	Coal	6396282.96	
AMBRE ENERGY LTD	ONRR/BLM - Rents	Coal	46179	
AMBRE ENERGY LTD	OSMRE - AML Fees including Audits and Late Charges 	Coal	1314757.94	
AMEREDEV II LLC	BLM - Permit Fees	Oil & Gas	602650	
AMEREDEV II LLC	ONRR - Royalties	Gas	17652.61	
AMEREDEV II LLC	ONRR - Royalties	Oil	13635.64	
AMEREDEV II LLC	ONRR/BLM - Bonus	Oil & Gas	108276708	
AMEREDEV II LLC	ONRR/BLM - Rents	Oil & Gas	22955	
AMERICAN COBALT CORP	BLM - Permit Fees	Locatable Minerals	310115	
AMERICAN COLLOID CO	BLM - Permit Fees	Locatable Minerals	668205	
AMERICAN ENERGY CORP	OSMRE - AML Fees including Audits and Late Charges 	Coal	574462.51	
AMERICAN GILSONITE COMPANY	BLM - Permit Fees	Other Leasable Minerals	30	
AMERICAN GILSONITE COMPANY	ONRR - Other Revenues	Gilsonite	7824	
AMERICAN GILSONITE COMPANY	ONRR - Royalties	Other Commodities	1556126.99	
AMERICAN GILSONITE COMPANY	ONRR/BLM - Rents	Gilsonite	1710	
AMERICAN LITHIUM CORPORATION	BLM - Permit Fees	Locatable Minerals	191887	
AMERICAS MINING CORP	ONRR - Civil Penalties	N/A	225000	
AMERIKOHL MINING INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	107465.42	
AMPLIFY ENERGY CORP	ONRR - Other Revenues	Oil & Gas	233608.57	
AMPLIFY ENERGY CORP	ONRR - Royalties	Gas	863676.92	
AMPLIFY ENERGY CORP	ONRR - Royalties	Oil	6383627.78	
AMPLIFY ENERGY CORP	ONRR/BLM - Rents	Oil & Gas	170	
ANADARKO PETROLEUM CORP	BLM - Permit Fees	Oil & Gas	1034220	
ANADARKO PETROLEUM CORP	ONRR - Inspection Fees	Oil & Gas	1455500	
ANADARKO PETROLEUM CORP	ONRR - Other Revenues	N/A	586.48	
ANADARKO PETROLEUM CORP	ONRR - Other Revenues	Oil & Gas	185996.95	
ANADARKO PETROLEUM CORP	ONRR - Royalties	Gas	40912673.33	
ANADARKO PETROLEUM CORP	ONRR - Royalties	Oil	301390207.36	
ANADARKO PETROLEUM CORP	ONRR/BLM - Bonus	Oil & Gas	12481890	
ANADARKO PETROLEUM CORP	ONRR/BLM - Rents	Oil & Gas	14520849.5	
ANDERSON OIL LTD	BLM - Permit Fees	Oil & Gas	1285	
ANDERSON OIL LTD	ONRR - Other Revenues	Oil & Gas	17980.52	
ANDERSON OIL LTD	ONRR - Royalties	Gas	15354.88	
ANDERSON OIL LTD	ONRR - Royalties	Oil	736.63	
ANDERSON OIL LTD	ONRR/BLM - Bonus	Oil & Gas	42485	
ANDERSON OIL LTD	ONRR/BLM - Rents	Oil & Gas	55495.5	
ANGLOGOLD ASHANTI NORTH AMERICA INC	BLM - Permit Fees	Locatable Minerals	298153	
ANOVA METALS USA LLC	BLM - Permit Fees	Locatable Minerals	110050	
ANSCHUTZ CORP	BLM - Permit Fees	Oil & Gas	1467205	
ANTELOPE RESOURCES INC.	BLM - Permit Fees	Oil & Gas	150000	
ANTLER ENERGY LLC	BLM - Permit Fees	Oil & Gas	1140	
ANTLER ENERGY LLC	ONRR - Other Revenues	Oil & Gas	27998.93	
ANTLER ENERGY LLC	ONRR - Royalties	Gas	55287.97	
ANTLER ENERGY LLC	ONRR/BLM - Bonus	Oil & Gas	73936	
ANTLER ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	14050	
APACHE CORPORATION	BLM - Permit Fees	Oil & Gas	171285	
APACHE CORPORATION	ONRR - Inspection Fees	Oil & Gas	928200	
APACHE CORPORATION	ONRR - Other Revenues	N/A	607.46	
APACHE CORPORATION	ONRR - Other Revenues	Oil & Gas	566194.51	
APACHE CORPORATION	ONRR - Royalties	Gas	10091507.81	
APACHE CORPORATION	ONRR - Royalties	Oil	43274171.21	
APACHE CORPORATION	ONRR/BLM - Bonus	Oil & Gas	691920	
APACHE CORPORATION	ONRR/BLM - Rents	Oil & Gas	1599701	
APEX ENERGY INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	103717.15	
APEX OIL & GAS INC	ONRR - Other Revenues	N/A	872	
APEX OIL & GAS INC	ONRR - Other Revenues	Oil & Gas	1268.41	
APEX OIL & GAS INC	ONRR - Royalties	Gas	299264.25	
APEX OIL & GAS INC	ONRR - Royalties	Oil	47702	
APEX OIL & GAS INC	ONRR/BLM - Rents	Oil & Gas	2162.7	
ARACOMA COAL CO LLC	OSMRE - AML Fees including Audits and Late Charges 	Coal	152127.9	
ARCH COAL INC	ONRR - Other Revenues	Coal	160526.76	
ARCH COAL INC	ONRR - Royalties	Coal	94701179.4	
ARCH COAL INC	ONRR/BLM - Bonus	Coal	1212000	
ARCH COAL INC	ONRR/BLM - Rents	Coal	134217.06	
ARCH COAL INC	ONRR/BLM - Rents	Oil & Gas	19532	
ARCH COAL INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	22561031.4	
ARCTIC SLOPE REGIONAL CORP	ONRR - Other Revenues	Oil & Gas	19380.54	
ARCTIC SLOPE REGIONAL CORP	ONRR/BLM - Rents	Oil & Gas	1520640	
ARENA ENERGY	ONRR - Civil Penalties	N/A	156650	
ARENA ENERGY	ONRR - Inspection Fees	Oil & Gas	2492000	
ARENA ENERGY	ONRR - Other Revenues	N/A	180.93	
ARENA ENERGY	ONRR - Other Revenues	Oil & Gas	1100900.91	
ARENA ENERGY	ONRR - Royalties	Gas	21359710.15	
ARENA ENERGY	ONRR - Royalties	Oil	116505196.98	
ARENA ENERGY	ONRR/BLM - Bonus	Oil & Gas	1209926	
ARENA ENERGY	ONRR/BLM - Rents	Oil & Gas	425016	
ARGUS ENERGY WV LLC	ONRR - Other Revenues	Coal	1428.37	
ARGUS ENERGY WV LLC	ONRR/BLM - Bonus	Coal	310000	
ARGUS ENERGY WV LLC	ONRR/BLM - Rents	Coal	45851	
ARIZONA LITHIUM COMPANY LTD	BLM - Permit Fees	Locatable Minerals	245162	
ARKOMA DRILLING LP	BLM - Permit Fees	Oil & Gas	95	
ARKOMA DRILLING LP	ONRR - Royalties	Gas	140086.6	
ARKOMA DRILLING LP	ONRR - Royalties	Oil	27.45	
ARM ENERGY MANAGEMENT LLC	ONRR - Royalties	Gas	1574792.4	
ARM ENERGY MANAGEMENT LLC	ONRR - Royalties	Oil	10765.8	
ARMSTRONG COAL CO INC	OSMRE - AML Fees including Audits and Late Charges 	Coal	190473.24	
ARMSTRONG CORP	BLM - Permit Fees	Oil & Gas	570	
ARMSTRONG CORP	ONRR - Other Revenues	Oil & Gas	546.34	
ARMSTRONG CORP	ONRR - Royalties	Gas	75430.06	
ARMSTRONG CORP	ONRR - Royalties	Oil	253271.47	
ARMSTRONG CORP	ONRR/BLM - Rents	Oil & Gas	346777	
ARNELL OIL CO	ONRR - Royalties	Oil	194114.93	
ASARCO LLC	BLM - Permit Fees	Locatable Minerals	476005	
ASCENT ENERGY LLC	BLM - Permit Fees	Oil & Gas	266040	
ASCENT ENERGY LLC	ONRR - Royalties	Gas	2170.33	
ASCENT ENERGY LLC	ONRR - Royalties	Oil	9059.43	
ASCENT ENERGY LLC	ONRR/BLM - Rents	Oil & Gas	3080	
ASH GROVE CEMENT COMPANY	BLM - Permit Fees	Locatable Minerals	27280	
ASH GROVE CEMENT COMPANY	BLM - Permit Fees	Mineral Materials	72925.82	
ATLANTIA PROMETHEUS LLC	ONRR/BLM - Rents	Oil & Gas	274608	
ATLAS ENERGY	ONRR - Other Revenues	N/A	436	
ATLAS ENERGY	ONRR - Other Revenues	Oil & Gas	28.26	
ATLAS ENERGY	ONRR - Royalties	Gas	160874.88	
ATLAS ENERGY	ONRR/BLM - Rents	Oil & Gas	543	
ATOMIC OIL & GAS LLC	BLM - Permit Fees	Oil & Gas	5685	
