Bubble Name,Offshore/Onshore,Year,Total
States,Onshore,2012,2088316004.82
Reclamation Fund,Onshore,2012,1646314405.08
U.S. Treasury,Onshore,2012,489110765.81
American Indian Tribes,Onshore,2012,717556925.09
Other Funds,Onshore,2012,207242579.27
States,Onshore,2013,1964029388.52
Reclamation Fund,Onshore,2013,1592181337.45
U.S. Treasury,Onshore,2013,470191887.48
American Indian Tribes,Onshore,2013,932956397.19
Other Funds,Onshore,2013,181891914.92
States,Offshore,2012,36972093.61
U.S. Treasury,Offshore,2012,5705538389.36
Land & Water Conservation Fund,Offshore,2012,897141112.80
Historic Preservation Fund,Offshore,2012,150000000.00
BOEM/BSEE,Offshore,2012,213426453.00
States,Offshore,2013,40939426.68
U.S. Treasury,Offshore,2013,7781165717.75
Land & Water Conservation Fund,Offshore,2013,895580482.27
Historic Preservation Fund,Offshore,2013,150000000.00
BOEM/BSEE,Offshore,2013,215404308.41
